day,n_gate,k1,n1,k3,n3,k6,n6,k10,n10,k30,n30
16-09-24,10,0.7737073233768055,48365,0.9187378736879328,48365,0.9582402352372537,48365,0.9645232210857918,48365,0.9701941584070604,48365
16-09-25,10,0.7870787917508493,47454,0.9539049443494283,47454,0.9953977234930941,47454,0.9999373898147959,47454,1.0,47454
16-09-26,10,0.7818872418893861,46735,0.9420969042540872,46735,0.9836352250681382,46735,0.9907879835560536,46735,0.9998646781122126,46735
16-09-27,10,0.7514278976073016,46718,0.8841656706256602,46718,0.9302907170872846,46718,0.9612136161038372,46718,0.9999655169362015,46718
16-09-28,10,0.767805732508462,47553,0.9196612201137775,47553,0.9608991253248291,47553,0.9758837076269756,47553,0.9972539811579775,47553
16-09-29,10,0.8001702070008841,47359,0.9509107853146659,47359,0.9929458761631246,47359,0.9993399840814217,47359,0.9998266236922602,47359
16-10-01,10,0.8014226701711629,47010,0.9521573545175246,47010,0.9932874166555287,47010,0.9994681492074703,47010,0.999079505535897,47010
16-10-02,10,0.801235402123311,45518,0.9515797975610774,45518,0.9933843583156581,45518,0.9997225325130434,45518,0.9998667996304722,45518
16-10-03,10,0.8032455131730512,46891,0.9533812335385932,46891,0.9939088418968527,46891,0.9993982967322795,46891,0.9998739287090952,46891
16-10-04,10,0.8035948714904764,46733,0.9515539948667946,46733,0.993528752801699,46733,0.9994313425565201,46733,0.9999353336998489,46733
16-10-05,10,0.8076469126951075,49006,0.9496966218163239,49006,0.9906520297072289,49006,0.9991440461128281,49006,0.9990888230906847,49006
16-10-06,10,0.8069156464394249,48434,0.9492969940919627,48434,0.9914425313399982,48434,0.9995606311764978,48434,1.0,48434
16-10-07,10,0.8008742026466662,49522,0.9457126993488332,49522,0.9881930788382164,49522,0.9978409791546333,49522,0.9998614443875076,49522
16-10-08,10,0.8075527311809877,48579,0.9477202224797535,48579,0.9915298710261903,48579,0.9994364711739155,48579,0.9998726952896906,48579
16-10-09,10,0.7997561011617409,48508,0.9499172206185292,48508,0.991772530755364,48508,0.9993203303322048,48508,0.9999006621470338,48508
16-10-10,10,0.7989506655134677,48460,0.9522619248053348,48460,0.993117127941743,48460,0.999668387299389,48460,0.9999422087765517,48460
