pair,in_full,cross_full,in_len,in_interarrival,in_subwin,in_burst,in_up,in_down,in_singletons,carrier,carrier_str,inverted,hard
AMCRESTWiFiCamera|AmazonAlexaEchoDot1,0.9795540401879178,0.8919698076454834,0.8897455010606039,0.8933299283574673,0.7630619935673564,0.8178107845708581,0.9304487666165122,0.8782859167437388,0.758281223398626,up,0.4304487666165122,False,False
AMCRESTWiFiCamera|AmazonAlexaEchoDot2,0.9773891197217123,0.8794464735005275,0.8835544266986918,0.8838259045042309,0.7471023195247757,0.7956163236383549,0.9319004826783356,0.861684358737214,0.7487910035016035,up,0.4319004826783356,False,False
AMCRESTWiFiCamera|AmazonAlexaEchoSpot,0.9564406986423262,0.849218407596786,0.7882240448922184,0.7816653032521025,0.7223693274778266,0.8228727144866385,0.8620009185108641,0.8550744137317374,0.7158877263985762,up,0.36200091851086413,False,False
AMCRESTWiFiCamera|AmazonAlexaEchoStudio,0.9686489980607628,0.8490593295998701,0.8523765884153078,0.8824388567501003,0.7111232029325849,0.7539705268670271,0.9473010236226914,0.8716912276108105,0.7243255627470073,up,0.4473010236226914,False,False
AMCRESTWiFiCamera|AmazonPlug,0.9975236835712936,0.8855969482996511,0.9477274567488055,0.8131089579228631,0.8894294351029661,0.8326023589106906,0.9569849666675663,0.8292758629996491,0.906163126501309,up,0.4569849666675663,False,False
AMCRESTWiFiCamera|ArloBaseStation,0.9918654427217347,0.9134664394123855,0.9601465629015888,0.6565273389547404,0.5982198558520225,0.6104827836026643,0.8837630844332259,0.9253730914192567,0.4749192869073733,len,0.46014656290158884,False,False
AMCRESTWiFiCamera|ArloQCamera,0.996953107582551,0.9503579254930606,0.9931245372549343,0.7402985238948478,0.8407400067708719,0.6704539511891688,0.9302586418071073,0.9265897099259334,0.8400120004073531,len,0.4931245372549343,False,False
AMCRESTWiFiCamera|AtomiCoffeeMaker,0.9999977367731365,0.9080236993750509,0.9981577333330316,0.9836119742806899,0.988634074691013,0.9435551220218765,1.0,0.9474953999913998,0.960570061582403,up,0.5,False,False
AMCRESTWiFiCamera|BorunSichuanAICamera,0.9920236211573237,0.9002678354029705,0.8530557753164556,0.9001412748643761,0.910837194846293,0.9238500226039783,0.9743218806509946,0.8999773960216999,0.9201797016274864,up,0.47432188065099457,False,False
AMCRESTWiFiCamera|DCS8000LHA1DLinkMiniCamera,1.0,0.9098496265782511,0.999987863635812,0.9547313615786982,0.987463135793779,0.9692949986043181,0.9949634088619732,0.9719407259973056,0.9858611357209607,len,0.49998786363581205,False,False
AMCRESTWiFiCamera|EufyHomeBase2,0.9944788194368795,0.8878191705218733,0.942814658271422,0.8499222931509038,0.8168533083509444,0.8338671140257232,0.812684735324662,0.9222495769697234,0.8366322432587492,len,0.44281465827142197,False,False
AMCRESTWiFiCamera|GlobeLampESPB1680C,1.0,0.9316224332440548,0.998216577231485,0.879059946089936,0.9941359791964186,0.9346119810703706,1.0,0.9504160942588724,0.9967681120387827,up,0.5,False,False
AMCRESTWiFiCamera|GoogleNestMini,1.0,0.9928285041798555,0.9942269439421338,0.9563675406871609,0.9553955696202533,0.9328582730560578,0.9891568716094034,0.998510397830018,0.9222197106690777,down,0.49851039783001805,False,False
AMCRESTWiFiCamera|GosundESP032979Plug,1.0,0.9329437545653763,0.9981916817359855,0.976627486437613,0.9989195298372514,0.9350757233273056,1.0,0.9509222423146474,0.9890664556962026,up,0.5,False,False
AMCRESTWiFiCamera|GosundESP039AAFSocket,1.0,0.9236263290317344,0.9981916817359855,0.9610136540476681,0.9963856266988347,0.9150214893390699,1.0,0.9510124545374303,0.9464181040043272,up,0.5,False,False
AMCRESTWiFiCamera|GosundESP0C3994Plug,1.0,0.9196948299651004,0.9971903254972875,0.8071767631103074,0.9745569620253165,0.9375825045207956,0.9994620253164557,0.9508533001808318,0.9053481012658229,up,0.49946202531645567,False,False
AMCRESTWiFiCamera|GosundESP10ACD8Plug,1.0,0.9222985147309471,0.9981916817359855,0.9886906553626027,0.9926309333321263,0.9353531878681987,1.0,0.949355772473277,0.9905759233399797,up,0.5,False,False
AMCRESTWiFiCamera|GosundESP147FF9Plug,1.0,0.917130103076049,0.998193944962849,0.9757925254669604,0.9990154963143351,0.937848395485315,1.0,0.9510860094104973,0.9963335724809719,up,0.5,False,False
AMCRESTWiFiCamera|GosundESP1ACEE1Socket,1.0,0.9180521061602143,0.9981984629294756,0.9952622061482821,0.9992133815551536,0.9350452079566005,1.0,0.9497344032549728,0.9975723327305606,up,0.5,False,False
AMCRESTWiFiCamera|HeimVisionSmartLifeRadioLamp,1.0,0.9080886291697101,0.9982075045207955,0.9845433996383363,0.9720388788426764,0.9126955244122966,0.9999864376130199,0.9461335895117541,0.9399593128390596,up,0.49998643761301986,False,False
AMCRESTWiFiCamera|HeimVisionSmartWiFiCamera,1.0,0.9866666666666667,0.9979812016376709,0.9744255364413472,0.9912390488110138,0.8805615971139329,0.9993979816542831,0.9222309985130599,0.9261169590378571,up,0.49939798165428306,False,False
AMCRESTWiFiCamera|HomeEyeCamera,0.9998417721518987,0.9386510835159484,0.9865257685352622,0.9627147377938517,0.9948259493670885,0.9535770795660037,0.978616636528029,0.9818625678119348,0.9947965641952984,subwin,0.49482594936708846,False,False
AMCRESTWiFiCamera|LuoheCamDog,0.9883321938159348,0.8854557259962667,0.9429804663288585,0.9132007233273056,0.954060409331689,0.7963054077022856,0.9124818688937311,0.9873321874261177,0.9620412909986645,down,0.4873321874261177,False,False
AMCRESTWiFiCamera|NestIndoorCamera,0.9993150994575045,0.9643470497524551,0.9959697106690777,0.6760849909584087,0.8693422242314646,0.6667043399638337,0.9715935804701628,0.988254972875226,0.7434561482820976,len,0.4959697106690777,False,False
AMCRESTWiFiCamera|NetatmoCamera,0.991308165710416,0.9893807320834348,0.9607255101863633,0.6512835586909661,0.6459243383762839,0.5926930547183712,0.8185133093712559,0.9639737855865376,0.6169701615083707,down,0.46397378558653757,False,False
AMCRESTWiFiCamera|NetatmoWeatherStation,0.9980278028933093,0.991802613424235,0.996366410488246,0.9868230108499096,0.9486200271247741,0.910242992766727,0.932973553345389,0.9755300632911392,0.9216760849909584,len,0.49636641048824603,False,False
AMCRESTWiFiCamera|PhilipsHueBridge,0.9930549051533469,0.8826702378053728,0.8423268949518383,0.7817806531559115,0.6805184325987189,0.7380928366101598,0.7120415264799752,0.9039880261953992,0.705170277299482,down,0.4039880261953992,False,False
AMCRESTWiFiCamera|RingBaseStationAC1236,0.9964684608020423,0.9798392987582176,0.9845282416764174,0.9395117540687162,0.9304807999149027,0.9308211892351878,0.9856291883842144,0.973606531220083,0.9391926390809489,up,0.4856291883842144,False,False
AMCRESTWiFiCamera|SIMCAM1SAMPAKTec,1.0,0.9983929875821768,0.9833612115732367,0.995372965641953,0.96750226039783,0.9332312386980108,0.9997016274864376,0.8930605786618445,0.915499547920434,up,0.49970162748643765,False,False
AMCRESTWiFiCamera|SonosOneSpeaker,0.9863466099903713,0.8814219625030435,0.7549024212677016,0.8474025974025974,0.7033947065592636,0.7429751532373593,0.7118345036518635,0.8131678448134144,0.6855581127733026,interarrival,0.3474025974025974,False,False
AMCRESTWiFiCamera|TeckinPlug1,1.0,0.9080853826799773,0.9978894763739288,0.977585207170375,0.9863123083575753,0.9375294834499568,0.9999877152291846,0.9410674974447677,0.959175249626543,up,0.4999877152291846,False,False
AMCRESTWiFiCamera|TeckinPlug2,1.0,0.9080691502313124,0.9978556951098921,0.9734952989188334,0.982941166829652,0.9375379009303825,0.9999426364296914,0.9486281911900482,0.952546669361844,up,0.4999426364296914,False,False
AMCRESTWiFiCamera|YutronPlug1,1.0,0.9071114357600845,0.9978779938738604,0.9714781288387222,0.9826285461226598,0.9330777260529634,0.9999736396754517,0.9494672578408785,0.9538773401378117,up,0.4999736396754517,False,False
AMCRESTWiFiCamera|YutronPlug2,1.0,0.9077996915834755,0.9978898796533017,0.977497038099395,0.9855284654237076,0.9371216561701066,0.9999925173037351,0.9496427012533516,0.9551162935711167,up,0.49999251730373506,False,False
AMCRESTWiFiCamera|iRobotRoomba,0.9685681047479234,0.8098677055433812,0.8718547330851018,0.9274595304703607,0.8398490825851432,0.7423067335124505,0.9346670834635823,0.7894733718210991,0.8780275481657639,up,0.4346670834635823,False,False
AmazonAlexaEchoDot1|AmazonAlexaEchoDot2,0.5441796321115708,0.48326921516110705,0.5113953473314816,0.5173552434784298,0.5000615089770734,0.4863223458876394,0.5344709256777319,0.5507416687709212,0.49124306405350643,down,0.05074166877092123,True,True
AmazonAlexaEchoDot1|AmazonAlexaEchoSpot,0.7042590573124925,0.7027221816411006,0.6270851003675432,0.5779464033280828,0.570850498808514,0.559983238418353,0.5774995961064664,0.6324897007148915,0.567245749020558,down,0.13248970071489152,False,False
AmazonAlexaEchoDot1|AmazonAlexaEchoStudio,0.7441942132108275,0.7380521061602141,0.6780825072248512,0.655895593704305,0.6089340609996201,0.6033527914982787,0.6863781331675358,0.5659792983546913,0.6071379226969709,up,0.18637813316753582,False,False
AmazonAlexaEchoDot1|AmazonPlug,0.997322547567506,0.9929713497281065,0.9877425847859937,0.847888420492955,0.8114864608256428,0.9098828377197979,0.9675667464205688,0.9051023508412137,0.8343302571113895,len,0.48774258478599375,False,False
AmazonAlexaEchoDot1|ArloBaseStation,0.9932402092258401,0.9941887833779725,0.9747589978842786,0.8320408419196027,0.7769289271309927,0.8080013106955184,0.9255148727533101,0.772812776854088,0.7888708196296882,len,0.47475899788427856,False,False
AmazonAlexaEchoDot1|ArloQCamera,0.9987161165138787,0.955846116386657,0.9978156552453321,0.8662766604312144,0.8748804226164886,0.8577600396590253,0.9686775031855027,0.9616461593874539,0.8658448263174813,len,0.4978156552453321,False,False
AmazonAlexaEchoDot1|AtomiCoffeeMaker,1.0,0.9998863728593458,1.0,0.9946975704363279,0.9769973280850427,0.9803220947303724,0.9956688863624059,0.9755992700799664,0.9844812376794149,len,0.5,False,False
AmazonAlexaEchoDot1|BorunSichuanAICamera,0.9996421755725191,0.9927895463030598,0.9292024491094146,0.970658396946565,0.9379055343511451,0.9773815203562342,0.9240219465648856,0.917567191475827,0.9238668893129771,burst,0.47738152035623416,False,False
AmazonAlexaEchoDot1|DCS8000LHA1DLinkMiniCamera,0.9999829226224021,0.9986000870759235,0.9999316904896084,0.8403606742148675,0.9288044127943713,0.7431050087948494,0.9873115084447635,0.9937838345543658,0.9459671772802568,len,0.4999316904896084,False,False
AmazonAlexaEchoDot1|EufyHomeBase2,0.9924634926474345,0.9843632822011201,0.8981856177892231,0.7775274124487773,0.7081174571057768,0.6498181019242364,0.8732461653228691,0.7884923919596963,0.6884714430240044,len,0.3981856177892231,False,False
AmazonAlexaEchoDot1|GlobeLampESPB1680C,1.0,1.0,1.0,0.9851977822150462,0.9955128388857575,0.9731996420461964,0.9932867738617291,0.9777059110147226,0.997229361128892,len,0.5,False,False
AmazonAlexaEchoDot1|GoogleNestMini,0.9974379770992365,0.9985488190893596,0.98706106870229,0.940868320610687,0.9636450381679388,0.9332967557251908,0.7748346055979645,0.9344656488549619,0.9041221374045801,len,0.48706106870229005,False,False
AmazonAlexaEchoDot1|GosundESP032979Plug,1.0,0.9994708221735249,1.0,0.9995642493638677,0.9974204834605599,0.9730820610687023,0.9987150127226463,0.9777162849872774,0.9974491094147584,len,0.5,False,False
AmazonAlexaEchoDot1|GosundESP039AAFSocket,1.0,0.9998766333901469,1.0,0.9863888384653846,0.9542430582757709,0.9727171687255379,0.9994617954376813,0.9777393497597188,0.9699242373577659,len,0.5,False,False
AmazonAlexaEchoDot1|GosundESP0C3994Plug,0.9991793893129771,0.9995260124989855,0.9999872773536895,0.9985687022900763,0.9899459287531807,0.9732967557251908,0.997824427480916,0.9778832697201019,0.9818670483460561,len,0.49998727735368953,False,False
AmazonAlexaEchoDot1|GosundESP10ACD8Plug,1.0,0.9999902605308011,1.0,0.9993153018881744,0.9957676102762041,0.9725850060667437,0.9981146917106943,0.9777075033359129,0.9971943300627056,len,0.5,False,False
AmazonAlexaEchoDot1|GosundESP147FF9Plug,1.0,0.9994967940913887,1.0,0.9995668886362407,0.9974491014531525,0.9732537809666664,0.9987134044782442,0.9777154649418643,0.9974554707379136,len,0.5,False,False
AmazonAlexaEchoDot1|GosundESP1ACEE1Socket,1.0,0.9999870140410682,0.9999936386768448,0.9995674300254453,0.9973505089058524,0.9731075063613231,0.9987054707379135,0.977727417302799,0.9974173027989821,len,0.49999363867684476,False,False
AmazonAlexaEchoDot1|HeimVisionSmartLifeRadioLamp,0.9999936386768447,0.9998766333901469,0.9999300254452926,0.9872391857506362,0.9731106870229008,0.9726797073791349,0.9943479643765903,0.9733603689567432,0.9738136132315522,len,0.49993002544529264,False,False
AmazonAlexaEchoDot1|HeimVisionSmartWiFiCamera,0.9996624279076581,0.9996461326191055,0.9977516424793078,0.9918887158566528,0.9857901256978346,0.9585678026286039,0.9753413140471391,0.9170305120586484,0.9663542532491314,len,0.4977516424793078,False,False
AmazonAlexaEchoDot1|HomeEyeCamera,0.9999491094147582,0.9914211508806103,0.989277989821883,0.960015903307888,0.9954516539440204,0.8386450381679389,0.8787404580152672,0.8796946564885496,0.9696660305343512,subwin,0.49545165394402035,False,False
