unit,seed,flat,hier,hier_cfg,hier_cfg2,k_base,gw_flat,gw_hier,gw_cfg,gw_cfg2,n_gate,n_gate2
pos_R5,42,0.6736924473442558,0.7247549813159785,0.7366470010375374,0.7817485055328659,10,0.5000149107261477,0.5528007894042428,0.5722981534430196,0.6483155670828843,2,1
jit_R6,42,0.8120437868813024,0.8436579152327038,0.8347044091440499,0.8424984008450245,10,0.7141725970146773,0.7394298587211731,0.7245073485734163,0.7374973347417075,2,1
jit_R7,42,0.8654640093235091,0.8713832683693881,0.8810276970888197,0.8724136064445556,10,0.7938233318401741,0.7856387806156464,0.801712828481366,0.7873560107409262,2,1
pos_R5,43,0.6786117948797019,0.7218449100107458,0.7412756042470994,0.779039851800445,10,0.5046557152217651,0.5499433712959596,0.5820964290292574,0.645993249529803,2,1
jit_R6,43,0.8166252598267034,0.8506664083648914,0.8379180673268436,0.847467925014648,10,0.7210732696372383,0.7511106806081522,0.7298634455447396,0.745779875024413,2,1
jit_R7,43,0.8675269029557873,0.8724540900964952,0.8830595192449635,0.8744598991121691,10,0.7976836319528187,0.7874234834941586,0.8050991987416061,0.7907664985202819,2,1
pos_R5,44,0.6764034797826705,0.7267008136146311,0.7375814311021607,0.7858763331207954,20,0.5022288667931644,0.5509243711772108,0.5688968803105451,0.6499044239261255,2,1
jit_R6,44,0.8127690407798195,0.847193467988151,0.8403944765783067,0.8459279539599109,20,0.7149665776491104,0.7453224466469184,0.7339907942971776,0.7432132565998516,2,1
jit_R7,44,0.8690272423854781,0.874478028244759,0.8845759347727361,0.8769673337980788,20,0.7982091002127119,0.790796713741265,0.8076265579545602,0.7949455563301312,2,1
pos_R5,45,0.6711353797754975,0.7178438720166638,0.7257070190169996,0.7785860843876826,10,0.4941244467908233,0.5441601632511847,0.5571118565385165,0.6460841101878863,1,1
jit_R6,45,0.8173664152033613,0.8421300036724201,0.8391755470848802,0.8414399851078576,10,0.7240159968046683,0.7368833394540335,0.731959245141467,0.735733308513096,1,1
jit_R7,45,0.8685107275069596,0.8697888888888888,0.8724193517174648,0.8728967320271945,10,0.7989524987378385,0.7829814814814814,0.7873655861957749,0.7881612200453242,1,1
pos_R5,46,0.6739383030183856,0.719760495485108,0.727997138797701,0.7805929400424244,10,0.49763611883399667,0.5464392920149888,0.5600341154494827,0.6485660076826081,1,1
jit_R6,46,0.8105129091079994,0.8455519662981601,0.8414856295259284,0.8448345480115804,10,0.7123790418881314,0.7425866104969333,0.7358093825432142,0.7413909133526341,1,1
jit_R7,46,0.8678290066922949,0.8718792912783254,0.8744474508972736,0.8749387916731219,10,0.7974468085106383,0.7864654854638755,0.7907457514954562,0.7915646527885366,1,1
