seed,arm,model,n_cols,macro_f1,acc
42,full,rf,61,0.68878125558684,0.6973400791464209
42,full,xgboost,61,0.6962862950005723,0.6999949907328558
42,full,lightgbm,61,0.6939499665185387,0.7014977708761209
42,drop_down,rf,55,0.6885862497381239,0.6971397084606522
42,drop_down,xgboost,55,0.6959102741778077,0.6997946200470871
42,drop_down,lightgbm,55,0.6924395596112161,0.6996443420327606
42,drop_burst,rf,54,0.6899891917676595,0.698291839903822
42,drop_burst,xgboost,54,0.6964289776833499,0.700646195461604
42,drop_burst,lightgbm,54,0.6944233661285045,0.7020988829334268
42,drop_down_burst,rf,48,0.6875817873777668,0.6962881330461353
42,drop_down_burst,xgboost,48,0.69620193406693,0.6995942493613184
42,drop_down_burst,lightgbm,48,0.6918828585824534,0.699744527375645
43,full,rf,61,0.6951692200503685,0.7038020337624605
43,full,xgboost,61,0.6950883403215337,0.70841055953514
43,full,lightgbm,61,0.690840085831169,0.6962380403746932
43,drop_down,rf,55,0.6931471327400095,0.701848419576216
43,drop_down,xgboost,55,0.6940540403489701,0.7070079647347594
43,drop_down,lightgbm,55,0.6860534520091254,0.6906777538446125
43,drop_burst,rf,54,0.6942896202662803,0.703050643690828
43,drop_burst,xgboost,54,0.6973274678573762,0.7093623202925412
43,drop_burst,lightgbm,54,0.691653624848324,0.6964384110604619
43,drop_down_burst,rf,48,0.6932253004481179,0.7019486049191004
43,drop_down_burst,xgboost,48,0.6953856669331238,0.7074087061062967
43,drop_down_burst,lightgbm,48,0.6896680601295793,0.6936833141311426
44,full,rf,61,0.6837571964900394,0.6942343335170065
44,full,xgboost,61,0.6726794901803989,0.6780544006411862
44,full,lightgbm,61,0.6803124383823395,0.6843159845714571
44,drop_down,rf,55,0.6826248571984971,0.6935831287882582
44,drop_down,xgboost,55,0.6729683473987351,0.6787056053699344
44,drop_down,lightgbm,55,0.6789804069185759,0.683965335871362
44,drop_burst,rf,54,0.684340834848109,0.6950859089315233
44,drop_burst,xgboost,54,0.6820189344507257,0.6871712668436608
44,drop_burst,lightgbm,54,0.6803913289700902,0.6849170966287632
44,drop_down_burst,rf,48,0.6847979315104884,0.6963382257175775
44,drop_down_burst,xgboost,48,0.675829430277711,0.681260331613485
44,drop_down_burst,lightgbm,48,0.6767894358879464,0.682161999699444
