task,arm,macro_f1,accuracy,delta_vs_none,cov_reduction_pct,sa_k,n_features_used,n_nonfinite_after_align,n_src,n_tgt
g0_R2_R3_to_R4,coral_raw,0.6391756710731797,0.6470588235294118,-0.020036065961870686,99.99697316349365,-1,94,0,3653,1853
g0_R2_R3_to_R4,coral_zscore,0.6396333187556114,0.6470588235294118,-0.01957841827943907,99.97984224687076,-1,94,0,3653,1853
g0_R2_R3_to_R4,none_raw,0.6592117370350504,0.7069616837560713,0.0,,-1,94,0,3653,1853
g0_R2_R3_to_R4,sa_raw,0.22335599666512396,0.2234214786832164,-0.43585574036992647,,1,1,0,3653,1853
g0_R2_R3_to_R4,sa_zscore,0.6326888100023066,0.6497571505666486,-0.026522927032743837,,22,22,0,3653,1853
g0_R2_R3_to_R4,zscore,0.6592172118641008,0.7075013491635186,5.474829050333696e-06,,-1,94,0,3653,1853
g0_R2_R4_to_R3,coral_raw,0.6085509498594892,0.6249319542732716,-0.006265181564213851,99.99571570437519,-1,94,0,3669,1837
g0_R2_R4_to_R3,coral_zscore,0.602669047518377,0.6151333696243876,-0.01214708390532604,99.98991646425728,-1,94,0,3669,1837
g0_R2_R4_to_R3,none_raw,0.6148161314237031,0.6336418072945019,0.0,,-1,94,0,3669,1837
g0_R2_R4_to_R3,sa_raw,0.21990641039213726,0.216113228089276,-0.3949097210315658,,1,1,0,3669,1837
g0_R2_R4_to_R3,sa_zscore,0.5675675673228827,0.5759390310288514,-0.047248564100820345,,22,22,0,3669,1837
g0_R2_R4_to_R3,zscore,0.6100432467237493,0.6303756124115406,-0.004772884699953739,,-1,94,0,3669,1837
g0_R3_R4_to_R2,coral_raw,0.7264599801855779,0.7252202643171806,-0.08333914820770405,99.9990647339181,-1,94,0,3690,1816
g0_R3_R4_to_R2,coral_zscore,0.731026150750808,0.7296255506607929,-0.07877297764247393,99.98458283750114,-1,94,0,3690,1816
g0_R3_R4_to_R2,none_raw,0.8097991283932819,0.8083700440528634,0.0,,-1,94,0,3690,1816
g0_R3_R4_to_R2,sa_raw,0.2010072447087825,0.20319383259911894,-0.6087918836844994,,1,1,0,3690,1816
g0_R3_R4_to_R2,sa_zscore,0.6155295930330844,0.6084801762114538,-0.19426953536019753,,23,23,0,3690,1816
g0_R3_R4_to_R2,zscore,0.8150060468877655,0.8138766519823789,0.0052069184944835145,,-1,94,0,3690,1816
