task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm
loro_R2_R4_to_R3,42,A,random,5,5,2,,2,round_group,0.5454822508677128,rf,0.6148161314237031,-0.06933388055599021,0.6148161314237031,0.5331577734068969,0.552736123006713
loro_R2_R4_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.557861225176165,rf,0.6148161314237031,-0.05695490624753807,0.6148161314237031,0.5331577734068969,0.552736123006713
loro_R2_R4_to_R3,42,B,grouped,5,2,2,,2,round_group,0.4907165901894059,rf,0.6148161314237031,-0.12409954123429717,0.6148161314237031,0.5331577734068969,0.552736123006713
loro_R2_R4_to_R3,43,A,random,5,5,2,,2,round_group,0.5476912838194078,rf,0.6095598961469519,-0.06186861232754415,0.6095598961469519,0.5296917551431003,0.552736123006713
loro_R2_R4_to_R3,43,A_prime,random,2,2,2,True,2,round_group,0.5518424046147562,rf,0.6095598961469519,-0.05771749153219574,0.6095598961469519,0.5296917551431003,0.552736123006713
loro_R2_R4_to_R3,43,B,grouped,5,2,2,,2,round_group,0.48744921816376136,rf,0.6095598961469519,-0.12211067798319059,0.6095598961469519,0.5296917551431003,0.552736123006713
loro_R2_R4_to_R3,44,A,random,5,5,2,,2,round_group,0.5438825652539355,rf,0.6222269787634606,-0.07834441350952503,0.6222269787634606,0.5276304111997383,0.552736123006713
loro_R2_R4_to_R3,44,A_prime,random,2,2,2,True,2,round_group,0.5501245894585028,rf,0.6222269787634606,-0.07210238930495771,0.6222269787634606,0.5276304111997383,0.552736123006713
loro_R2_R4_to_R3,44,B,grouped,5,2,2,,2,round_group,0.5143917112934255,rf,0.6222269787634606,-0.10783526747003502,0.6222269787634606,0.5276304111997383,0.552736123006713
loro_R2_R4_to_R3,45,A,random,5,5,2,,2,round_group,0.5431949068330812,rf,0.6007335814901814,-0.057538674657100164,0.6007335814901814,0.5275090863358205,0.552736123006713
loro_R2_R4_to_R3,45,A_prime,random,2,2,2,True,2,round_group,0.550523809442093,rf,0.6007335814901814,-0.05020977204808841,0.6007335814901814,0.5275090863358205,0.552736123006713
loro_R2_R4_to_R3,45,B,grouped,5,2,2,,2,round_group,0.5102490890407803,rf,0.6007335814901814,-0.09048449244940115,0.6007335814901814,0.5275090863358205,0.552736123006713
loro_R2_R4_to_R3,46,A,random,5,5,2,,2,round_group,0.5457936575301179,rf,0.6096824184182065,-0.06388876088808859,0.6096824184182065,0.5327453476863594,0.552736123006713
loro_R2_R4_to_R3,46,A_prime,random,2,2,2,True,2,round_group,0.5562578719890021,rf,0.6096824184182065,-0.053424546429204356,0.6096824184182065,0.5327453476863594,0.552736123006713
loro_R2_R4_to_R3,46,B,grouped,5,2,2,,2,round_group,0.5255200601328427,rf,0.6096824184182065,-0.08416235828536378,0.6096824184182065,0.5327453476863594,0.552736123006713
loro_R2_R3_to_R4,42,A,random,5,5,2,,2,round_group,0.6633973775317822,lightgbm,0.6661799166983895,-0.002782539166607312,0.6592117370350504,0.6618770405744276,0.6661799166983895
loro_R2_R3_to_R4,42,A_prime,random,2,2,2,True,2,round_group,0.6639372752542094,lightgbm,0.6661799166983895,-0.0022426414441800713,0.6592117370350504,0.6618770405744276,0.6661799166983895
loro_R2_R3_to_R4,42,B,grouped,5,2,2,,2,round_group,0.4406293692733776,lightgbm,0.6661799166983895,-0.2255505474250119,0.6592117370350504,0.6618770405744276,0.6661799166983895
loro_R2_R3_to_R4,43,A,random,5,5,2,,2,round_group,0.6625979100912696,rf,0.6694667262819676,-0.006868816190698013,0.6694667262819676,0.6640068246744149,0.6661799166983895
loro_R2_R3_to_R4,43,A_prime,random,2,2,2,True,2,round_group,0.6630536097495797,rf,0.6694667262819676,-0.0064131165323878525,0.6694667262819676,0.6640068246744149,0.6661799166983895
loro_R2_R3_to_R4,43,B,grouped,5,2,2,,2,round_group,0.44752437724580824,rf,0.6694667262819676,-0.22194234903615934,0.6694667262819676,0.6640068246744149,0.6661799166983895
loro_R2_R3_to_R4,44,A,random,5,5,2,,2,round_group,0.6631401024261184,rf,0.669298354700006,-0.0061582522738875545,0.669298354700006,0.6625483023553383,0.6661799166983895
loro_R2_R3_to_R4,44,A_prime,random,2,2,2,True,2,round_group,0.6652274038051075,rf,0.669298354700006,-0.004070950894898506,0.669298354700006,0.6625483023553383,0.6661799166983895
loro_R2_R3_to_R4,44,B,grouped,5,2,2,,2,round_group,0.4464161480400376,rf,0.669298354700006,-0.22288220665996838,0.669298354700006,0.6625483023553383,0.6661799166983895
loro_R2_R3_to_R4,45,A,random,5,5,2,,2,round_group,0.6635690142472948,lightgbm,0.6661799166983895,-0.002610902451094743,0.6593248746488087,0.6648087018489331,0.6661799166983895
loro_R2_R3_to_R4,45,A_prime,random,2,2,2,True,2,round_group,0.6643749440618302,lightgbm,0.6661799166983895,-0.001804972636559321,0.6593248746488087,0.6648087018489331,0.6661799166983895
loro_R2_R3_to_R4,45,B,grouped,5,2,2,,2,round_group,0.44713027767854213,lightgbm,0.6661799166983895,-0.21904963901984736,0.6593248746488087,0.6648087018489331,0.6661799166983895
loro_R2_R3_to_R4,46,A,random,5,5,2,,2,round_group,0.6637671436267208,lightgbm,0.6661799166983895,-0.00241277307166865,0.6580600178979088,0.6638971224640832,0.6661799166983895
loro_R2_R3_to_R4,46,A_prime,random,2,2,2,True,2,round_group,0.6624931709321439,lightgbm,0.6661799166983895,-0.003686745766245614,0.6580600178979088,0.6638971224640832,0.6661799166983895
loro_R2_R3_to_R4,46,B,grouped,5,2,2,,2,round_group,0.44304933968211574,lightgbm,0.6661799166983895,-0.22313057701627376,0.6580600178979088,0.6638971224640832,0.6661799166983895
loro_R3_R4_to_R2,42,A,random,5,5,2,,2,round_group,0.7905353668369289,rf,0.8097991283932819,-0.01926376155635301,0.8097991283932819,0.7752091537055984,0.7934265218076193
