task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
jitter_R2_R3_R4_to_R6,42,-0.005298681962735419,-0.0032511027867025977,-0.08276767969093146,0.002047579176032821,-0.07951657690422886,-0.07746899772819604
jitter_R2_R3_R4_to_R6,43,-0.0036680320920122744,-0.0037585307777716626,-0.07440214913982413,-9.049868575938813e-05,-0.07064361836205246,-0.07073411704781185
jitter_R2_R3_R4_to_R6,44,-0.001953224232341899,-0.005623567279118835,-0.08124620886824341,-0.003670343046776936,-0.07562264158912457,-0.07929298463590151
jitter_R2_R3_R4_to_R6,45,-0.009956353155393116,-0.005734795673208337,-0.08266151816870748,0.004221557482184779,-0.07692672249549914,-0.07270516501331437
jitter_R2_R3_R4_to_R6,46,-0.0013243020751489976,-0.00444459370472694,-0.0817991192630424,-0.0031202916295779426,-0.07735452555831546,-0.0804748171878934
jitter_R2_R3_R4_to_R6_R7,42,-0.00011465893762696577,-0.0007094586800111546,-0.08438587200206116,-0.0005947997423841889,-0.08367641332205,-0.08427121306443419
jitter_R2_R3_R4_to_R6_R7,43,-0.0015644136803172337,0.0002920838885267507,-0.07254092655527045,0.0018564975688439844,-0.0728330104437972,-0.07097651287495321
jitter_R2_R3_R4_to_R6_R7,44,0.001401565093743562,-0.003229334153929675,-0.07936167782676995,-0.004630899247673237,-0.07613234367284027,-0.08076324292051351
jitter_R2_R3_R4_to_R6_R7,45,-0.007907173514768662,-0.004340818368146815,-0.08390340029227317,0.003566355146621847,-0.07956258192412635,-0.0759962267775045
jitter_R2_R3_R4_to_R6_R7,46,0.0011775785265584204,-5.9479326235845065e-05,-0.08368089625263075,-0.0012370578527942655,-0.08362141692639491,-0.08485847477918917
jitter_R2_R3_R4_to_R7,42,-0.0015281429501126098,-0.004558345855733115,-0.0928007146277684,-0.003030202905620505,-0.08824236877203528,-0.09127257167765579
jitter_R2_R3_R4_to_R7,43,-0.00986304247813774,-0.005973450423332527,-0.08160883545724706,0.003889592054805213,-0.07563538503391454,-0.07174579297910932
jitter_R2_R3_R4_to_R7,44,-0.0015886856574381936,-0.007144236859736419,-0.08409371022684708,-0.005555551202298226,-0.07694947336711067,-0.08250502456940889
jitter_R2_R3_R4_to_R7,45,-0.010046795237259376,-0.007171353533532487,-0.08940517498243161,0.0028754417037268887,-0.08223382144889912,-0.07935837974517224
jitter_R2_R3_R4_to_R7,46,-0.0012520844082435367,-0.0005917730186240089,-0.0912440341426044,0.0006603113896195278,-0.0906522611239804,-0.08999194973436087
joint_R2_R3_R4,42,-0.0030168539808874684,-0.003594605380879079,-0.1253289454761285,-0.0005777513999916106,-0.12173434009524942,-0.12231209149524103
joint_R2_R3_R4,43,-0.0011978907394696314,-0.0005686530982069726,-0.09430409005933427,0.0006292376412626588,-0.0937354369611273,-0.09310619931986464
joint_R2_R3_R4,44,0.0036016919556086657,0.004204146827788913,-0.09935247352459375,0.000602454872180247,-0.10355662035238267,-0.10295416548020242
joint_R2_R3_R4,45,-0.003013652999267813,0.0006346649079119748,-0.10392926018287696,0.0036483179071797878,-0.10456392509078893,-0.10091560718360915
joint_R2_R3_R4,46,-0.0024706326225905073,-0.001851437576150916,-0.095362209778733,0.0006191950464395912,-0.09351077220258208,-0.09289157715614249
loro_R2_R3_to_R4,42,-0.002782539166607312,-0.0022426414441800713,-0.2255505474250119,0.0005398977224272405,-0.22330790598083183,-0.2227680082584046
loro_R2_R3_to_R4,43,-0.006868816190698013,-0.0064131165323878525,-0.22194234903615934,0.00045569965831016024,-0.21552923250377148,-0.21507353284546132
loro_R2_R3_to_R4,44,-0.0061582522738875545,-0.004070950894898506,-0.22288220665996838,0.0020873013789890482,-0.21881125576506988,-0.21672395438608083
loro_R2_R3_to_R4,45,-0.002610902451094743,-0.001804972636559321,-0.21904963901984736,0.0008059298145354221,-0.21724466638328804,-0.21643873656875262
loro_R2_R3_to_R4,46,-0.00241277307166865,-0.003686745766245614,-0.22313057701627376,-0.0012739726945769636,-0.21944383125002814,-0.2207178039446051
loro_R2_R4_to_R3,42,-0.06933388055599021,-0.05695490624753807,-0.12409954123429717,0.01237897430845214,-0.0671446349867591,-0.05476566067830696
loro_R2_R4_to_R3,43,-0.06186861232754415,-0.05771749153219574,-0.12211067798319059,0.004151120795348406,-0.06439318645099484,-0.06024206565564644
loro_R2_R4_to_R3,44,-0.07834441350952503,-0.07210238930495771,-0.10783526747003502,0.00624202420456732,-0.03573287816507731,-0.02949085396050999
loro_R2_R4_to_R3,45,-0.057538674657100164,-0.05020977204808841,-0.09048449244940115,0.007328902609011756,-0.04027472040131275,-0.03294581779230099
loro_R2_R4_to_R3,46,-0.06388876088808859,-0.053424546429204356,-0.08416235828536378,0.010464214458884236,-0.030737811856159425,-0.02027359739727519
loro_R3_R4_to_R2,42,-0.01926376155635301,-0.017834323969131427,-0.1727789160991925,0.0014294375872215825,-0.15494459213006107,-0.15351515454283948
loro_R3_R4_to_R2,43,-0.022436081425299625,-0.020954279529354136,-0.1766375571471206,0.0014818018959454893,-0.15568327761776646,-0.15420147572182097
loro_R3_R4_to_R2,44,-0.027422829539480165,-0.03133633395689861,-0.1810312877421968,-0.003913504417418445,-0.14969495378529818,-0.15360845820271662
