task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R3_to_R2,42,A,random,5,5,5,,1,time_block,0.5470845587858053,rf,0.5613424171653618,-0.0142578583795565,0.5613424171653618,0.5417058467165916,0.5500412176962011,1,R2,ood
g0_R3_to_R2,42,A_prime,random,5,5,5,True,1,time_block,0.5470845587858053,rf,0.5613424171653618,-0.0142578583795565,0.5613424171653618,0.5417058467165916,0.5500412176962011,1,R2,ood
g0_R3_to_R2,42,B,grouped,5,5,5,,1,time_block,0.5477103148198859,rf,0.5613424171653618,-0.0136321023454759,0.5613424171653618,0.5417058467165916,0.5500412176962011,1,R2,ood
g0_R4_to_R2,42,A,random,5,5,5,,1,time_block,0.6109601230407729,rf,0.7592176932864217,-0.1482575702456489,0.7592176932864217,0.5605944421727288,0.5780171683154764,1,R2,ood
g0_R4_to_R2,42,A_prime,random,5,5,5,True,1,time_block,0.6109601230407729,rf,0.7592176932864217,-0.1482575702456489,0.7592176932864217,0.5605944421727288,0.5780171683154764,1,R2,ood
g0_R4_to_R2,42,B,grouped,5,5,5,,1,time_block,0.6439354869532243,rf,0.7592176932864217,-0.1152822063331974,0.7592176932864217,0.5605944421727288,0.5780171683154764,1,R2,ood
g0_R5_to_R2,42,A,random,5,5,5,,1,time_block,0.606645115658326,lightgbm,0.6400569402874108,-0.0334118246290847,0.5728903086491407,0.5919777816463475,0.6400569402874108,1,R2,ood
g0_R5_to_R2,42,A_prime,random,5,5,5,True,1,time_block,0.606645115658326,lightgbm,0.6400569402874108,-0.0334118246290847,0.5728903086491407,0.5919777816463475,0.6400569402874108,1,R2,ood
g0_R5_to_R2,42,B,grouped,5,5,5,,1,time_block,0.6116641602645003,lightgbm,0.6400569402874108,-0.0283927800229104,0.5728903086491407,0.5919777816463475,0.6400569402874108,1,R2,ood
g0_R6_to_R2,42,A,random,5,5,5,,1,time_block,0.6254783963425588,rf,0.714596553965434,-0.0891181576228752,0.714596553965434,0.5648223412087962,0.6328523751429024,1,R2,ood
g0_R6_to_R2,42,A_prime,random,5,5,5,True,1,time_block,0.6254783963425588,rf,0.714596553965434,-0.0891181576228752,0.714596553965434,0.5648223412087962,0.6328523751429024,1,R2,ood
g0_R6_to_R2,42,B,grouped,5,5,5,,1,time_block,0.6398995084605067,rf,0.714596553965434,-0.0746970455049272,0.714596553965434,0.5648223412087962,0.6328523751429024,1,R2,ood
g0_R7_to_R2,42,A,random,5,5,5,,1,time_block,0.356580212636403,rf,0.7257204170122593,-0.3691402043758562,0.7257204170122593,0.3730324402864672,0.3088497549999999,1,R2,ood
g0_R7_to_R2,42,A_prime,random,5,5,5,True,1,time_block,0.356580212636403,rf,0.7257204170122593,-0.3691402043758562,0.7257204170122593,0.3730324402864672,0.3088497549999999,1,R2,ood
g0_R7_to_R2,42,B,grouped,5,5,5,,1,time_block,0.37258669269168,rf,0.7257204170122593,-0.3531337243205793,0.7257204170122593,0.3730324402864672,0.3088497549999999,1,R2,ood
g0_R3_R4_to_R2,42,A,random,5,5,2,,2,round_group,0.7905353668369289,rf,0.8097991283932819,-0.019263761556353,0.8097991283932819,0.7752091537055984,0.7934265218076193,2,R2,ood
g0_R3_R4_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.7919648044241505,rf,0.8097991283932819,-0.0178343239691314,0.8097991283932819,0.7752091537055984,0.7934265218076193,2,R2,ood
g0_R3_R4_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6370202122940894,rf,0.8097991283932819,-0.1727789160991925,0.8097991283932819,0.7752091537055984,0.7934265218076193,2,R2,ood
g0_R3_R5_to_R2,42,A,random,5,5,2,,2,round_group,0.5613221925903794,rf,0.6207367074722319,-0.0594145148818524,0.6207367074722319,0.5653073353653785,0.5588174216107366,2,R2,ood
g0_R3_R5_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.561950822849997,rf,0.6207367074722319,-0.0587858846222348,0.6207367074722319,0.5653073353653785,0.5588174216107366,2,R2,ood
g0_R3_R5_to_R2,42,B,grouped,5,2,2,,2,round_group,0.7080770325881451,rf,0.6207367074722319,0.0873403251159132,0.6207367074722319,0.5653073353653785,0.5588174216107366,2,R2,ood
g0_R3_R6_to_R2,42,A,random,5,5,2,,2,round_group,0.6129398549068129,rf,0.7073225692084958,-0.0943827143016828,0.7073225692084958,0.613949241424362,0.5921099635811062,2,R2,ood
g0_R3_R6_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.6232480965164012,rf,0.7073225692084958,-0.0840744726920945,0.7073225692084958,0.613949241424362,0.5921099635811062,2,R2,ood
g0_R3_R6_to_R2,42,B,grouped,5,2,2,,2,round_group,0.7547231674087641,rf,0.7073225692084958,0.0474005982002683,0.7073225692084958,0.613949241424362,0.5921099635811062,2,R2,ood
g0_R3_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.6189509624486883,rf,0.7148402909259551,-0.0958893284772668,0.7148402909259551,0.6275911824003098,0.6049142912555372,2,R2,ood
g0_R3_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.6253761669408199,rf,0.7148402909259551,-0.0894641239851352,0.7148402909259551,0.6275911824003098,0.6049142912555372,2,R2,ood
g0_R3_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6804114235741042,rf,0.7148402909259551,-0.0344288673518509,0.7148402909259551,0.6275911824003098,0.6049142912555372,2,R2,ood
g0_R4_R5_to_R2,42,A,random,5,5,2,,2,round_group,0.8134244064862873,rf,0.8283084671178376,-0.0148840606315502,0.8283084671178376,0.7993515108113058,0.7927690072706021,2,R2,ood
g0_R4_R5_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.8148458233644075,rf,0.8283084671178376,-0.01346264375343,0.8283084671178376,0.7993515108113058,0.7927690072706021,2,R2,ood
g0_R4_R5_to_R2,42,B,grouped,5,2,2,,2,round_group,0.7178728583474508,rf,0.8283084671178376,-0.1104356087703867,0.8283084671178376,0.7993515108113058,0.7927690072706021,2,R2,ood
g0_R4_R6_to_R2,42,A,random,5,5,2,,2,round_group,0.8141936984569262,lightgbm,0.8281204267988839,-0.0139267283419576,0.8166687709491626,0.8102594274305346,0.8281204267988839,2,R2,ood
g0_R4_R6_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.8101722395653782,lightgbm,0.8281204267988839,-0.0179481872335056,0.8166687709491626,0.8102594274305346,0.8281204267988839,2,R2,ood
g0_R4_R6_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6137536651655436,lightgbm,0.8281204267988839,-0.2143667616333402,0.8166687709491626,0.8102594274305346,0.8281204267988839,2,R2,ood
g0_R4_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.7628029353656809,rf,0.8086728434678887,-0.0458699081022078,0.8086728434678887,0.7320151787313458,0.7506933029829205,2,R2,ood
g0_R4_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.7647781068989623,rf,0.8086728434678887,-0.0438947365689263,0.8086728434678887,0.7320151787313458,0.7506933029829205,2,R2,ood
g0_R4_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.5853692484933364,rf,0.8086728434678887,-0.2233035949745523,0.8086728434678887,0.7320151787313458,0.7506933029829205,2,R2,ood
g0_R5_R6_to_R2,42,A,random,5,5,2,,2,round_group,0.7720625213949464,lightgbm,0.7936362431220825,-0.0215737217271361,0.75981701305356,0.7632947238179586,0.7936362431220825,2,R2,ood
g0_R5_R6_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.7812755882754696,lightgbm,0.7936362431220825,-0.0123606548466128,0.75981701305356,0.7632947238179586,0.7936362431220825,2,R2,ood
g0_R5_R6_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6776059878991811,lightgbm,0.7936362431220825,-0.1160302552229013,0.75981701305356,0.7632947238179586,0.7936362431220825,2,R2,ood
g0_R5_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.8011926745144005,rf,0.822070771102662,-0.0208780965882615,0.822070771102662,0.8105112473922343,0.7825029642996664,2,R2,ood
g0_R5_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.8039953435720729,rf,0.822070771102662,-0.0180754275305891,0.822070771102662,0.8105112473922343,0.7825029642996664,2,R2,ood
g0_R5_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6552697820614231,rf,0.822070771102662,-0.1668009890412389,0.822070771102662,0.8105112473922343,0.7825029642996664,2,R2,ood
g0_R6_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.6326188553916359,rf,0.7820875826325645,-0.1494687272409286,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R6_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.6448861452001935,rf,0.7820875826325645,-0.137201437432371,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R6_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6062043498294558,rf,0.7820875826325645,-0.1758832328031087,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R3_R4_R5_to_R2,42,A,random,5,5,3,,3,round_group,0.8256407733432823,lightgbm,0.8270327193708216,-0.0013919460275392,0.8262527671183302,0.8245244631673693,0.8270327193708216,3,R2,ood
g0_R3_R4_R5_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8259121298773342,lightgbm,0.8270327193708216,-0.0011205894934873,0.8262527671183302,0.8245244631673693,0.8270327193708216,3,R2,ood
g0_R3_R4_R5_to_R2,42,B,grouped,5,3,3,,3,round_group,0.7321605397577721,lightgbm,0.8270327193708216,-0.0948721796130495,0.8262527671183302,0.8245244631673693,0.8270327193708216,3,R2,ood
g0_R3_R4_R6_to_R2,42,A,random,5,5,3,,3,round_group,0.8227924085671672,rf,0.8501474198023358,-0.0273550112351685,0.8501474198023358,0.8109949308158892,0.7968963195435247,3,R2,ood
g0_R3_R4_R6_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8227628320226836,rf,0.8501474198023358,-0.0273845877796521,0.8501474198023358,0.8109949308158892,0.7968963195435247,3,R2,ood
g0_R3_R4_R6_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8309346252097537,rf,0.8501474198023358,-0.019212794592582,0.8501474198023358,0.8109949308158892,0.7968963195435247,3,R2,ood
g0_R3_R4_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.816074971972402,rf,0.8502409166824106,-0.0341659447100086,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R4_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8150782083564841,rf,0.8502409166824106,-0.0351627083259264,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R4_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8323739147396736,rf,0.8502409166824106,-0.017867001942737,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R5_R6_to_R2,42,A,random,5,5,3,,3,round_group,0.671506350659942,rf,0.7681483686449703,-0.0966420179850282,0.7681483686449703,0.6554114153830194,0.6515735845164528,3,R2,ood
g0_R3_R5_R6_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.6702747129846538,rf,0.7681483686449703,-0.0978736556603164,0.7681483686449703,0.6554114153830194,0.6515735845164528,3,R2,ood
g0_R3_R5_R6_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8102087815139065,rf,0.7681483686449703,0.0420604128689362,0.7681483686449703,0.6554114153830194,0.6515735845164528,3,R2,ood
g0_R3_R5_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.6893712898004007,rf,0.7818510620403802,-0.0924797722399795,0.7818510620403802,0.6859159944555163,0.6662143696351732,3,R2,ood
g0_R3_R5_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.692690746503273,rf,0.7818510620403802,-0.0891603155371072,0.7818510620403802,0.6859159944555163,0.6662143696351732,3,R2,ood
g0_R3_R5_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8099300118052731,rf,0.7818510620403802,0.0280789497648928,0.7818510620403802,0.6859159944555163,0.6662143696351732,3,R2,ood
g0_R3_R6_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.6678594010419456,rf,0.762434674985844,-0.0945752739438984,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R3_R6_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.6668160953887798,rf,0.762434674985844,-0.0956185795970642,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R3_R6_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.6436768197326087,rf,0.762434674985844,-0.1187578552532353,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R4_R5_R6_to_R2,42,A,random,5,5,3,,3,round_group,0.8522100414489421,rf,0.8603399859788056,-0.0081299445298634,0.8603399859788056,0.8354592471141995,0.8419306325972858,3,R2,ood
g0_R4_R5_R6_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8546831287305331,rf,0.8603399859788056,-0.0056568572482724,0.8603399859788056,0.8354592471141995,0.8419306325972858,3,R2,ood
g0_R4_R5_R6_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8313822420712684,rf,0.8603399859788056,-0.0289577439075371,0.8603399859788056,0.8354592471141995,0.8419306325972858,3,R2,ood
