task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
g0_R2_R3_R4_to_R5,42,-0.0333930466217915,-0.0330130329354152,0.0167861602713151,0.0003800136863763015,0.049799193206730305,0.05017920689310661
g0_R2_R3_R4_to_R6,42,-0.0052986819627354,-0.0032511027867025,-0.0827676796909314,0.0020475791760328995,-0.0795165769042289,-0.077468997728196
g0_R2_R3_R4_to_R7,42,-0.0015281429501126,-0.0045583458557331,-0.0928007146277684,-0.0030302029056204997,-0.0882423687720353,-0.0912725716776558
g0_R2_R3_R5_to_R4,42,-0.0016709049438407,-0.0044393786512286,-0.2320860662066565,-0.0027684737073878996,-0.2276466875554279,-0.2304151612628158
g0_R2_R3_R5_to_R6,42,-0.0384649743068419,-0.0361745612695461,-0.2000680925855786,0.0022904130372957965,-0.1638935313160325,-0.1616031182787367
g0_R2_R3_R5_to_R7,42,-0.0079988171700065,-0.0094500039123929,-0.2197062624108896,-0.001451186742386399,-0.21025625849849672,-0.2117074452408831
g0_R2_R3_R6_to_R4,42,0.002522091119267,0.0038911277763045,-0.0613642487888183,0.0013690366570375,-0.0652553765651228,-0.0638863399080853
g0_R2_R3_R6_to_R5,42,-0.0364830883154325,-0.0345607193600939,0.0399442972094018,0.0019223689553386006,0.07450501656949571,0.0764273855248343
g0_R2_R3_R6_to_R7,42,-0.005332392540651,-0.0043650112936263,-0.1503583984369418,0.0009673812470247,-0.1459933871433155,-0.1450260058962908
g0_R2_R3_R7_to_R4,42,0.0014996669504299,0.0025650207137206,-0.0252708688667668,0.0010653537632907,-0.0278358895804874,-0.026770535817196697
g0_R2_R3_R7_to_R5,42,-0.0483054737280183,-0.0544684353377267,0.0263200929647159,-0.006162961609708403,0.0807885283024426,0.07462556669273421
g0_R2_R3_R7_to_R6,42,-0.0097830068507596,-0.0117350149353055,-0.0920048630565913,-0.0019520080845458997,-0.08026984812128579,-0.0822218562058317
g0_R2_R3_to_R4,42,-0.0027825391666073,-0.00224264144418,-0.2255505474250119,0.0005398977224273,-0.22330790598083192,-0.2227680082584046
g0_R2_R3_to_R5,42,-0.0226772433268186,-0.0258063274687651,-0.0012827232066451,-0.0031290841419465004,0.02452360426212,0.0213945201201735
g0_R2_R3_to_R6,42,-0.0238363772881129,-0.0230772382899812,-0.2168819549719775,0.0007591389981317018,-0.19380471668199628,-0.1930455776838646
g0_R2_R3_to_R7,42,-0.0156505168454053,-0.0112822282824364,-0.191578483389064,0.0043682885629689,-0.18029625510662758,-0.1759279665436587
g0_R2_R4_R5_to_R3,42,-0.0685371250971695,-0.0758309335309789,0.0361085085710948,-0.007293808433809404,0.11193944210207371,0.10464563366826429
g0_R2_R4_R5_to_R6,42,-0.0054088319555153,-0.008151477176615,-0.0110256690700311,-0.0027426452210996995,-0.0028741918934161014,-0.005616837114515801
g0_R2_R4_R5_to_R7,42,0.0020964198108153,0.0003389593719256,0.0459293089596464,-0.0017574604388897,0.0455903495877208,0.0438328891488311
g0_R2_R4_R6_to_R3,42,-0.077449314521284,-0.0754368520167284,-0.057054222561757,0.0020124625045555983,0.0183826294549714,0.020395091959526997
g0_R2_R4_R6_to_R5,42,-0.1063052145454581,-0.1050575080457286,-0.0883924372770432,0.001247706499729509,0.016665070768685397,0.017912777268414906
g0_R2_R4_R6_to_R7,42,-0.0013904503705483,-0.0027271602260647,-0.0468814363472518,-0.0013367098555164,-0.0441542761211871,-0.0454909859767035
g0_R2_R4_R7_to_R3,42,-0.064856677653438,-0.0605770453321092,-0.0510207273257083,0.004279632321328802,0.009556318006400895,0.013835950327729697
g0_R2_R4_R7_to_R5,42,-0.1218340759342657,-0.1185321408041267,-0.097604336369576,0.0033019351301390026,0.02092780443455071,0.024229739564689712
g0_R2_R4_R7_to_R6,42,-0.009006367834315,-0.0077176947936299,-0.0459833657772077,0.0012886730406851,-0.0382656709835778,-0.0369769979428927
g0_R2_R4_to_R3,42,-0.0693338805559902,-0.056954906247538,-0.1240995412342971,0.012378974308452202,-0.0671446349867591,-0.054765660678306904
g0_R2_R4_to_R5,42,-0.0895081704200293,-0.0870821442686774,-0.1173594363627428,0.002426026151351901,-0.030277292094065406,-0.027851265942713505
g0_R2_R4_to_R6,42,-0.0021548326753532,-0.001514309946094,-0.1646464896407053,0.0006405227292592003,-0.1631321796946113,-0.1624916569653521
g0_R2_R4_to_R7,42,-0.0008102136323183,-0.0010901306564105,-0.1619877797045468,-0.0002799170240922001,-0.1608976490481363,-0.1611775660722285
g0_R2_R5_R6_to_R3,42,-0.0521982866661464,-0.0530704296564242,-0.0566634294610742,-0.0008721429902778036,-0.003592999804649999,-0.0044651427949278025
g0_R2_R5_R6_to_R4,42,0.0003802649162766,0.0030812070999555,-0.1044241158278503,0.0027009421836789,-0.1075053229278058,-0.1048043807441269
g0_R2_R5_R6_to_R7,42,-0.0013003769281187,-0.0014437748786981,-0.1798028550622017,-0.0001433979505794001,-0.1783590801835036,-0.178502478134083
g0_R2_R5_R7_to_R3,42,-0.0379099290325573,-0.0391973474146446,0.0115839857481944,-0.0012874183820872978,0.050781333162839,0.0494939147807517
g0_R2_R5_R7_to_R4,42,0.0046697375691393,0.005295313858985,-0.0617282486571536,0.0006255762898456996,-0.0670235625161386,-0.06639798622629291
