task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
g0_R2_R3_R4_to_R6,42,-0.005298681962735419,-0.0032511027867025977,-0.08276767969093146,0.002047579176032821,-0.07951657690422886,-0.07746899772819604
g0_R2_R3_R6_to_R5,42,-0.036483088315432566,-0.03456071936009397,0.03994429720940185,0.0019223689553385936,0.07450501656949582,0.07642738552483441
g0_R2_R3_R6_to_R7,42,-0.005332392540651099,-0.00436501129362632,-0.15035839843694188,0.0009673812470247789,-0.14599338714331556,-0.14502600589629078
g0_R2_R3_R7_to_R4,42,0.001499666950429912,0.002565020713720667,-0.025270868866766882,0.001065353763290755,-0.02783588958048755,-0.026770535817196794
g0_R2_R3_to_R4,42,-0.002782539166607312,-0.0022426414441800713,-0.2255505474250119,0.0005398977224272405,-0.22330790598083183,-0.2227680082584046
g0_R2_R3_to_R7,42,-0.015650516845405305,-0.011282228282436413,-0.19157848338906408,0.004368288562968892,-0.18029625510662767,-0.17592796654365878
g0_R2_R4_R5_to_R3,42,-0.06853712509716958,-0.07583093353097892,0.03610850857109482,-0.0072938084338093345,0.11193944210207374,0.1046456336682644
g0_R2_R4_R5_to_R6,42,-0.005408831955515336,-0.008151477176615018,-0.011025669070031108,-0.002742645221099682,-0.0028741918934160893,-0.005616837114515771
g0_R2_R4_R7_to_R5,42,-0.12183407593426576,-0.11853214080412677,-0.097604336369576,0.0033019351301389888,0.02092780443455078,0.024229739564689767
g0_R2_R4_to_R6,42,-0.002154832675353213,-0.001514309946094028,-0.16464648964070533,0.0006405227292591853,-0.1631321796946113,-0.16249165696535212
g0_R2_R5_R6_to_R3,42,-0.052198286666146454,-0.05307042965642428,-0.05666342946107428,-0.0008721429902778244,-0.003592999804649999,-0.004465142794927823
g0_R2_R5_R6_to_R7,42,-0.001300376928118796,-0.0014437748786981786,-0.17980285506220173,-0.00014339795057938254,-0.17835908018350355,-0.17850247813408293
g0_R2_R5_to_R3,42,-0.042757773073515914,-0.03594087261802048,0.01851209419509081,0.006816900455495434,0.05445296681311129,0.061269867268606726
g0_R2_R6_R7_to_R4,42,-0.03687528001378837,-0.04049372747872759,-0.005904198089339396,-0.003618447464939223,0.034589529389388196,0.030971081924448973
g0_R2_R6_to_R5,42,-0.060838704117716746,-0.05823532945045118,-0.08747825541558307,0.0026033746672655678,-0.029242925965131894,-0.026639551297866326
g0_R2_R6_to_R7,42,0.0005360133750521578,0.003546744510135924,-0.12656537065712958,0.0030107311350837662,-0.1301121151672655,-0.12710138403218174
g0_R2_R7_to_R4,42,-0.03450138307485606,-0.03950652987900494,-0.06967157880798858,-0.0050051468041488745,-0.03016504892898364,-0.035170195733132514
g0_R2_to_R3,42,-0.02257040472513927,-0.02257040472513927,-0.02320731380500851,0.0,-0.0006369090798692412,-0.0006369090798692412
g0_R2_to_R6,42,-0.002076256037045421,-0.002076256037045421,-0.002076256037045421,0.0,0.0,0.0
g0_R3_R4_R5_to_R6,42,-0.03836690043368374,-0.03490012022602629,-0.1295682262730894,0.0034667802076574494,-0.0946681060470631,-0.09120132583940566
g0_R3_R4_R6_to_R2,42,-0.02735501123516859,-0.027384587779652136,-0.019212794592582072,-2.9576544483544964e-05,0.008171793187070064,0.00814221664258652
g0_R3_R4_R7_to_R5,42,-0.005212784378403779,-8.287470569168232e-05,0.05656887601699223,0.005129909672712096,0.05665175072268391,0.06178166039539601
g0_R3_R4_to_R6,42,-0.04626504489080063,-0.041938063162394235,-0.17421192158348364,0.004326981728406398,-0.1322738584210894,-0.127946876692683
g0_R3_R5_R6_to_R7,42,0.0007795925043236895,0.0003641473561469821,-0.129439690077926,-0.0004154451481767074,-0.12980383743407298,-0.13021928258224968
g0_R3_R5_R7_to_R2,42,-0.0924797722399795,-0.08916031553710724,0.02807894976489289,0.003319456702872259,0.11723926530200013,0.12055872200487239
g0_R3_R6_R7_to_R4,42,-0.13306209452795092,-0.13003612349091176,-0.08086018257690408,0.0030259710370391657,0.049175940914007676,0.05220191195104684
g0_R3_R6_to_R2,42,-0.09438271430168288,-0.08407447269209456,0.04740059820026832,0.01030824160958832,0.13147507089236288,0.1417833125019512
g0_R3_R6_to_R5,42,-0.01658790008834299,-0.025128198861499418,-0.10750003536968133,-0.00854029877315643,-0.08237183650818192,-0.09091213528133835
g0_R3_R6_to_R7,42,-0.0043338734111819655,-0.0038823037234837487,-0.15441185609408303,0.0004515696876982167,-0.15052955237059928,-0.15007798268290107
g0_R3_R7_to_R4,42,-0.12449514617176494,-0.12439747726816763,0.08414579995638793,9.766890359730329e-05,0.20854327722455557,0.20864094612815287
g0_R3_to_R5,42,0.00015766683394069503,0.00015766683394069503,0.0005145339731664755,0.0,0.0003568671392257805,0.0003568671392257805
g0_R4_R5_R6_to_R3,42,-0.05609384316865518,-0.052317848074925455,0.02481407197776475,0.0037759950937297226,0.0771319200526902,0.08090791514641993
g0_R4_R5_R7_to_R2,42,-0.005315972313018613,-0.001900428816124733,-0.051349340124190235,0.0034155434968938803,-0.0494489113080655,-0.04603336781117162
g0_R4_R5_R7_to_R6,42,-0.0005899473235623232,-0.0028495969279671574,-0.04662007492731879,-0.002259649604404834,-0.04377047799935163,-0.046030127603756466
g0_R4_R5_to_R3,42,-0.10448150721754967,-0.10741686445184717,-0.006143950346755078,-0.0029353572342974976,0.1012729141050921,0.0983375568707946
g0_R4_R5_to_R6,42,-0.005189725671180145,-0.008341397358957336,-0.010419213616976175,-0.003151671687777191,-0.0020778162580188386,-0.00522948794579603
