replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_lenient
0,0.1594948226467322,0.15952985439755585,0.15398673686063657,0.19998154807812085,3.503175082364418e-05,0.04599481121748428,-0.24372310178409196,0.05095670941070708,-0.2488357792850124,0.1037146628254842,-0.17556007467893064,1.1597526253753825,-0.7253861412452596,-0.019720775483047653,-0.30558012867825296,-0.3301737690550099,-0.07035969005094225,-0.3178183933517254,-0.28341254533848736,-0.006260832814710016,0.6694484015029694,-0.23513240263503896
1,0.20093349867644117,0.22448739618813296,0.10150037301651527,0.22222386873260325,0.02355389751169179,0.12072349571608798,-0.19045262726637435,0.13579054732191964,-0.21066362388770782,0.17904195533528885,0.01663752504654048,1.513992123375998,-0.7103867184362257,-0.46774610190123117,-0.23030206783406104,-0.09063612239632804,-0.31755628411759684,-0.007912778858128425,-0.05504442199572847,0.30723480075784476,0.10081869423563486,-0.3825908768660529
2,0.2910753729359997,0.29109644924716105,0.21333201337225172,0.2936668040438827,2.1076311161327688e-05,0.08033479067163096,0.03999958486258065,0.04576563993606508,-0.5179998141068994,0.19105500644478743,0.08111282257800026,1.0962574730574624,-0.5704425030414313,0.02423728734000198,0.05831826587285316,-0.47625082209928726,-0.5919740363051846,-0.031231891532767384,-0.06305273861391902,-0.7216974705874113,1.1247433788808572,-0.3723589435438685
3,0.14131067161486877,0.1480519251296083,0.21852878338496484,0.27367571377340383,0.006741253514739531,0.055146930388438986,-0.32963190027508604,0.07032733584146544,-0.09497393534709969,0.12698935389086646,-0.1048543051665834,1.5085805517169728,-0.8729931713512781,-0.2591157982749125,-0.33526003726744474,-0.5910711178682105,0.008881210756469516,-0.5545911549904557,-0.12299782060121181,0.23831960372096345,0.8744642051901611,-0.2465772768664466
4,0.1327896192777871,0.1332190998254028,0.20861833440647604,0.3317587722780424,0.00042948054761571264,0.12314043787156637,-0.2749505479039193,-0.009326370347562285,-0.28737291616993216,0.0844645159474801,-0.18634742565908713,1.0603693857997607,-0.6682073532781212,0.07239574539129742,-0.40392909368853847,-0.822438357006166,-0.14603850974859867,-0.6455958819382315,-0.191246543581233,-0.36863389629530985,1.389652726181714,-0.4535168549674511
5,0.14937961696221402,0.18461962774291896,0.10745173313672507,0.19797630912571695,0.03524001078070493,0.09052457598899188,-0.1987723938225938,0.09901051723571229,-0.05484667664365425,0.17321241644790852,-0.13022709231423635,1.3972271695323037,-0.720525193801609,-0.5201388967136901,-0.2584919845642346,-0.14563388691612705,-0.14351816683294857,-0.1009651124814456,-0.2672679354086346,0.30074106763576935,0.1391238864428186,-0.31475329020900755
6,0.2260183085841122,0.23178678730018443,0.11766329988780388,0.20939183653902782,0.005768478716072223,0.09172853665122394,-0.20912851254655052,0.10476036228850227,-0.2743950018069295,0.15211873923258656,0.08120478306931544,1.420631069364252,-0.6515745231717067,-0.2566426098104987,-0.2582639468521686,-0.16655802606226083,-0.2591835178668383,-0.11881459096399337,0.020261283897439177,0.09428531787133704,0.44699400349414864,-0.33862861709430864
7,0.1895038475516846,0.19225627916718468,0.19281909403321806,0.2079538739667145,0.002752431615500095,0.015134779933496434,-0.3053230597991816,0.062082656898344996,-0.3216383652869463,0.09088999229395538,-0.0975419234250252,1.1630202743224578,-0.7324454945281694,0.19655691844134288,-0.2934187281381828,0.02621195929687184,0.16457761268081889,-0.4716563112357184,-0.3190945166924423,0.22919590229219036,0.3251294178226051,-0.13920826331183506
8,0.15689854419267957,0.1599114137711085,0.30930076826951625,0.36894889592792357,0.003012869578428945,0.059648127658407324,-0.328765413904628,-0.27090061761902473,-0.3234705339948917,0.03519752287199856,0.1264471953040731,1.144130076102531,-0.4643261502027597,0.20215492936937313,-0.40465351412233663,-0.6123473371625023,-0.06621453561892889,-0.421772926101934,0.009406314601087512,-0.15722938936141967,1.1185515218510516,-0.3414269843215867
9,0.17337692472151134,0.17369913061979303,0.15371322031707968,0.22335740364227785,0.0003222058982816911,0.06964418332519817,-0.12734614127813193,0.022017085835448952,-0.32351111319519477,0.11776562741288354,-0.13930595698046272,0.9444221328437329,-0.48531088267957057,-0.06304366745757906,-0.11217190783552455,-0.3887323080002212,-0.37217166561491843,-0.13539440376690706,-0.2733350895169169,-0.49090285168321474,0.905712712870137,-0.31832316234082436
10,0.16973300265907343,0.1706682030225628,0.31320809990464415,0.34654987591456976,0.0009352003634893746,0.033341776009925606,-0.34666633606294295,-0.09076534441109135,-0.21259308798094353,0.10488845503551666,0.07792734834954784,1.2414699299525407,-0.6473576367409537,0.10276002871871806,-0.23825307786667477,-0.7244765893887575,0.0872485508195686,-0.4967206347471006,0.11716342577383625,0.120150252347266,1.0262513751005906,-0.20109238111441793
11,0.13669727313369318,0.13742820014900947,0.16041827058467473,0.22032052722632145,0.0007309270153162961,0.05990225664164672,-0.2614327861853542,-0.007273941621755656,-0.199601160856124,0.12193266741894977,-0.07983880414172051,1.133085867207,-0.5920411480528603,-0.08375495123174277,-0.3107617655991693,-0.23811007664548764,-0.04624928903214818,-0.25929227904166297,-0.21324008387579593,-0.00657872311427201,0.6196246788406027,-0.2712874381099914
12,0.10784841621391461,0.11975075112820266,0.1799198676503706,0.3133867685571854,0.011902334914288049,0.1334669009068148,-0.21121849336966492,-0.085698331357354,-0.1212507917272081,0.13220003461731084,-0.10896197927707162,1.07656158884871,-0.4623981857664374,-0.2898306719726486,-0.33649470680937676,-0.22467118850670262,-0.1096504955968492,-0.22077957605825474,-0.26452773748423053,-0.17570915363854434,0.6548803068075094,-0.42413501225603994
13,0.197012101149729,0.19740333078422267,0.11509506443870121,0.16056055302651606,0.00039122963449367276,0.04546548858781485,-0.2283850138681608,0.0861800052726176,-0.3350770998857757,0.11752099081973914,-0.06594599828605265,1.1396265304823925,-0.660522847781761,0.07376232768151197,-0.20858941365665729,-0.3709202549530133,-0.21818304943397027,-0.24141937403679262,-0.1762422833139168,-0.20628130511726436,0.865391799105317,-0.24200995539167353
14,0.20468794249016586,0.20658861182972155,0.14400490718250436,0.24481593602160878,0.0019006693395556828,0.10081102883910442,-0.17178682464931017,0.06810018017440686,-0.2872376953356249,0.13794510629652307,0.08144789331955678,1.1317682835476242,-0.4525765893795026,-0.15872862784637268,-0.2922412295732747,-0.20572682542323756,-0.28080362619726684,-0.16075875673632217,-0.002690612079052565,-0.244305188683005,0.7571587052098204,-0.39609657806601395
15,0.16973300265907343,0.1706682030225628,0.31320809990464415,0.34654987591456976,0.0009352003634893746,0.033341776009925606,-0.34666633606294306,-0.09076534441109185,-0.21259308798094292,0.10488845503551614,0.07792734834954865,1.2414699299525378,-0.6473576367409528,0.10276002871872011,-0.2382530778666737,-0.7244765893887577,0.08724855081956698,-0.4967206347470974,0.1171634257738372,0.12015025234726484,1.0262513751005904,-0.20109238111441724
16,0.1506801053839879,0.16335320649875884,0.12479933479130545,0.2590465655595332,0.012673101114770935,0.13424723076822775,-0.23782727154993177,0.0646826145288944,-0.12593259583827277,0.07514483573524844,0.05445068751189017,1.0059055529459497,-0.2575575275788172,-0.32380451887377637,-0.3296416144696428,-0.16565478329744546,-0.242716140641277,-0.18936310891098623,-0.005850080550286074,-0.13395166413927473,0.6260069584087318,-0.440612038479025
17,0.2910753729359997,0.2910964492471614,0.2133320133722516,0.29366680404388235,2.1076311161660755e-05,0.08033479067163074,0.03999958486258154,0.04576563993606535,-0.5179998141068998,0.19105500644478773,0.0811128225779994,1.0962574730574586,-0.5704425030414297,0.024237287340003466,0.058318265872853936,-0.47625082209928754,-0.5919740363051852,-0.031231891532767363,-0.06305273861391918,-0.7216974705874114,1.1247433788808572,-0.37235894354386806
18,0.11372956887747132,0.11420674893670157,0.22161707737309033,0.3386382484116158,0.0004771800592302533,0.1170211710385255,-0.3491494293064712,-0.1269475129326515,-0.25916947991861716,0.024419731361353725,-0.08605553325648224,1.2742156790507417,-0.5775744055786204,-0.06985592647408806,-0.4599322175817533,-0.6382999982742013,-0.14935263126907403,-0.5342827984524061,-0.1519288290273545,-0.08347999222325161,1.0426597736812946,-0.43125133884664296
19,0.1683689914480957,0.27865496677133117,0.12287909669569586,0.32982851088855347,0.11028597532323547,0.20694941419285762,-0.2036203360762603,0.01712677195632316,-0.11527505274893896,0.23387043499706076,-0.11233397268325448,1.3856830034996708,-0.5375071719388326,-0.756974527221917,-0.1339414418721931,-0.0620917999859357,-0.3767538893918854,0.15207897110139076,-0.1077551760564869,0.7282234632851405,-0.5604752234201518,-0.5158497902322774
20,0.14938919797984596,0.14949703860732544,0.19146222037219407,0.28096834401662174,0.00010784062747948298,0.08950612364442767,-0.3175442688441846,0.07958837499980026,-0.21960165295247636,0.1253886504214428,-0.1842184431206855,1.2979813792220343,-0.8568658669041276,-0.03378773364665451,-0.3976220002677399,-0.7343282753600622,-0.015308162324492794,-0.659072957698919,-0.16865077956529811,-0.08866521989733177,1.230859509941885,-0.3409569051312249
21,0.1797790958160035,0.22689291369086084,0.1378848826186777,0.3163363320869794,0.047113817874857356,0.17845144946830171,-0.11516186288622801,0.059692313018321355,-0.26705817130860643,0.3187407313323867,-0.033093637768716114,1.6194608496654046,-0.8543054968861812,-0.6043961070928974,0.08844582132077239,-0.5128677316261443,-0.5946229674890767,-0.04328137402616059,-0.06538283639737871,-0.11660376855726684,0.400816550195704,-0.5067889526944134
22,0.1549241302886114,0.1950275489461376,0.09428872924892939,0.26128364386159364,0.0401034186575262,0.16699491461266425,-0.20040877217359976,0.08925912497117613,-0.14335241332271556,0.1727176124169711,-0.04087025048233739,1.3178506198202187,-0.5563050519585063,-0.5322252219392666,-0.21398964774547014,-0.16480538880883489,-0.35615394797114014,-0.023704197409997074,-0.08581853412597525,0.26093643288996105,0.07771108866700392,-0.4700040807816911
23,0.1292935960079361,0.15331051368233528,0.30040679161800266,0.39324816202392143,0.024016917674399174,0.09284137040591878,-0.1635887373891678,-0.21279949918247645,-0.034944968343096044,0.18685073244755782,-0.027070270873658833,1.4940104894517032,-0.7851390194152228,-0.42584319146502125,-0.08125247856910542,-0.5708779014842199,0.018112702750507765,-0.3842268958591845,-0.0616495825763604,0.19423039831101388,0.6167158728197306,-0.31751838491811607
24,0.2634608727505596,0.2729140631810504,0.1336378846740951,0.23158999923038615,0.009453190430490754,0.09795211455629105,-0.18587515801082427,0.13537665092177464,-0.2989865775524129,0.1903663540617871,0.06878810592755137,1.6049136667638164,-0.8009499254931957,-0.33647966641117477,-0.2889644815315431,-0.010930155937993194,-0.28191062922682664,0.011439063073322361,-0.018825448244074616,0.33448613540440386,0.04615863648517041,-0.3442134217914846
25,0.13647433451366708,0.16189706690134276,0.15290557957567286,0.2301206059105384,0.025422732387675673,0.07721502633486554,-0.30013441233146154,0.030843440668798183,-0.01853096506421148,0.07975045276544279,0.018338314408720746,1.5117978627776387,-0.6481212252467348,-0.4648086832633478,-0.2594065887594138,-0.46955433064269353,-0.057298115357348994,-0.4324388028553737,-0.022559904973752418,0.21204768444415006,0.7437718289795441,-0.294120882338866
