replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_strict
0,0.1594948226467322,0.15952985439755585,0.7143437531195982,0.7700955754618197,3.503175082364418e-05,0.055751822342221535,-0.24372310178409196,0.05095670941070708,-0.2488357792850124,0.1037146628254842,-0.17556007467893064,1.1597526253753825,-0.7253861412452596,-0.019720775483047653,0.32349363982709667,-1.089743597309965,-1.343908288987397,0.011157458732884096,6.661338147750939e-16,0.09738984884393909,0.8803016381283516,-0.31645077203441335
1,0.20093349867644117,0.22448739618813296,0.5157213127502325,0.7169062511613364,0.02355389751169179,0.20118493841110396,-0.19045262726637435,0.13579054732191964,-0.21066362388770782,0.17904195533528885,0.01663752504654048,1.513992123375998,-0.7103867184362257,-0.46774610190123117,-0.17757292404503044,-0.7188928702189351,-0.5010647183773954,-0.39372900935799265,0.0,0.15047342930722524,0.941382037661039,-0.521901141082491
2,0.2910753729359997,0.29109644924716105,0.841881283029387,0.8565093674541557,2.1076311161327688e-05,0.014628084424768706,0.03999958486258065,0.04576563993606508,-0.5179998141068994,0.19105500644478743,0.08111282257800026,1.0962574730574624,-0.5704425030414313,0.02423728734000198,-0.05112589961712444,-2.047233246010811,-1.706097896003461,0.2514103750844977,1.2212453270876722e-15,0.48141175915128753,1.099019311572551,-0.6449271115788145
3,0.14131067161486877,0.1480519251296083,0.5918652103916987,0.720214567216345,0.006741253514739531,0.12834935682464632,-0.32963190027508604,0.07032733584146544,-0.09497393534709969,0.12698935389086646,-0.1048543051665834,1.5085805517169728,-0.8729931713512781,-0.2591157982749125,-0.31529741212145634,-0.934212345781136,-0.4760616717689546,-0.45335832184425673,1.887379141862766e-15,0.010938314097780566,1.185260922810048,-0.4687712269766502
4,0.1327896192777871,0.1332190998254028,0.7139114656656158,0.726900972659454,0.00042948054761571264,0.012989506993838162,-0.2749505479039193,-0.009326370347562285,-0.28737291616993216,0.0844645159474801,-0.18634742565908713,1.0603693857997607,-0.6682073532781212,0.07239574539129742,-0.20047240987242954,-2.2470393039013774,-2.6146408720899865,0.7181031640812242,-4.440892098500626e-16,0.8205211522596886,0.5817481125476157,-0.550558663922048
5,0.14937961696221402,0.18461962774291896,0.6741887354611926,0.7591398088319524,0.03524001078070493,0.0849510733707598,-0.1987723938225938,0.09901051723571229,-0.05484667664365425,0.17321241644790852,-0.13022709231423635,1.3972271695323037,-0.720525193801609,-0.5201388967136901,-0.3001861423703265,-0.8371373991024889,-0.4737040929266967,-0.48258230890998893,-5.551115123125783e-17,0.05336520880883727,1.0657567540613677,-0.422513614259419
6,0.2260183085841122,0.23178678730018443,0.44676642341016326,0.662841661697567,0.005768478716072223,0.21607523828740371,-0.20912851254655052,0.10476036228850227,-0.2743950018069295,0.15211873923258656,0.08120478306931544,1.420631069364252,-0.6515745231717067,-0.2566426098104987,-0.20690746605538018,-0.8643011876817951,-0.6516234650789137,-0.28944117748564513,1.7208456881689926e-15,0.23601820229272816,1.0560123488331206,-0.5212304147966134
7,0.1895038475516846,0.19225627916718468,0.8030265880049753,0.9244693774618252,0.002752431615500095,0.12144278945684994,-0.3053230597991816,0.062082656898344996,-0.3216383652869463,0.09088999229395538,-0.0975419234250252,1.1630202743224578,-0.7324454945281694,0.19655691844134288,0.24164414241978377,-0.6404929982595153,-0.6769599423411518,-0.2949560209940085,4.440892098500626e-16,-0.07175347669936068,0.9629525860400073,-0.45759100270718933
8,0.15689854419267957,0.1599114137711085,0.888746762366502,0.8980911720782071,0.003012869578428945,0.009344409711705137,-0.328765413904628,-0.27090061761902473,-0.3234705339948917,0.03519752287199856,0.1264471953040731,1.144130076102531,-0.4643261502027597,0.20215492936937313,-0.229630824760434,-1.2589736003493182,-1.14691478405093,-0.19188417965326715,-2.220446049250313e-16,0.3234339178484548,1.7987819407852867,-0.29185584840042916
9,0.17337692472151134,0.17369913061979303,0.8096581551508565,0.8331510607283249,0.0003222058982816911,0.023492905577468415,-0.12734614127813193,0.022017085835448952,-0.32351111319519477,0.11776562741288354,-0.13930595698046272,0.9444221328437329,-0.48531088267957057,-0.06304366745757906,-0.4681757897064462,-1.855965753234788,-1.9406085817339713,0.4611261145209241,-3.1086244689504383e-15,0.5738541317123829,1.0634343374960782,-0.7903545748109545
10,0.16973300265907343,0.1706682030225628,0.7494181668954789,0.8344959589544889,0.0009352003634893746,0.08507779205901,-0.34666633606294295,-0.09076534441109135,-0.21259308798094353,0.10488845503551666,0.07792734834954784,1.2414699299525407,-0.6473576367409537,0.10276002871871806,-0.057689746469606784,-1.0934937730356142,-0.7218442930837876,-0.41028756699276664,0.0,0.17442078677641037,1.5822612098420747,-0.38633636022779777
