variant,cpd_dir_variant,cpd_dir_role,stat,boot_mean,boot_sd,ci_lo,ci_hi,n_finite,B,seed,n_degenerate_replicates_any_model,n_degenerate_replicates_by_model,md5
primary,strict,parallel_reported,r2_M0,0.18403850548129075,0.06514553910921175,0.10104648808876215,0.3457331641834315,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,r2_M1,0.2059697863582355,0.06366611124275391,0.12531233066503955,0.36399812188689384,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,r2_M0_sub,0.6807774371925878,0.15113683478527346,0.3561767848121101,0.9333157920644364,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,r2_M2,0.7709387534554112,0.10596394024077817,0.5809074676490995,0.9894899543127421,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,dr2_M1_vs_M0,0.02193128087694477,0.0284533950301826,6.695235612452499e-05,0.10250126994732589,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,dr2_M2_vs_M0sub,0.09016131626282341,0.06775817242044514,0.0014282649232669753,0.2340660795541216,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,beta_M1_d_recall_Camera,-0.22138509270700268,0.09647096545312757,-0.3754948460544225,0.004643528087596049,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,beta_M1_d_recall_Light_T1,0.024979409865701883,0.12769798266989782,-0.2709006176190245,0.23863722678320912,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,beta_M1_d_recall_Light_XM,-0.1878187428410614,0.1417208896279969,-0.5158112633437459,0.049816689677021124,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,beta_M1_d_recall_Sensor,0.13546099381834525,0.07742270602987142,-0.01809372587448964,0.3030862838417166,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,beta_M1_d_recall_Socket,-0.0410019748716203,0.1451376407443717,-0.314198954905225,0.23301069130002872,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,beta_M1_d_recall_l2,1.3472909333195462,0.2891838892720847,0.799736222868482,1.974341981202487,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
primary,strict,parallel_reported,beta_M1_d_recall_max,-0.6651053683176655,0.24592504989743585,-1.1568491754313508,-0.1976678196589735,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,8abe42edfa271ed1e37157d1b4586446
