variant,n_sources,n_tasks,dv_mean,dv_std,dv_min,dv_max,d_recall_Camera_mean,d_recall_Light_T1_mean,d_recall_Light_XM_mean,d_recall_Sensor_mean,d_recall_Socket_mean,d_recall_l2_mean,d_recall_max_mean,cpd_y_mean,cpd_dir_strict_mean,cpd_dir_strict_n_defined,cpd_dir_lenient_mean,cpd_dir_lenient_n_defined
primary,1,30,-0.06998068628841127,0.09547578361196742,-0.3531337243205793,0.0023047584411191,0.3874695560728362,0.47462722713856614,0.29255326501003853,0.214958591028141,-0.001474926253687318,0.9771121592631199,0.6976410029483184,1.0029509741760825,1.1076762951235952,14,1.1076762951235952,14
primary,2,60,-0.09313803106929716,0.10556771983487444,-0.2482353900732354,0.1470192814336699,0.1930521588525557,0.3024810702115747,0.2293073323035796,0.18013105425783404,-0.001474926253687318,0.6778761536375981,0.5330319514348242,0.715782350891482,1.0005136220930733,10,0.6713825826525216,48
primary,3,60,-0.05411254649344665,0.07065256944085403,-0.2320860662066565,0.0569231487659839,0.10398283829016211,0.22505022557371443,0.11911530755546061,0.09743845029114873,-0.0014749262536873364,0.4320645987494373,0.3547887756303791,0.4642753960040728,0.8588589133350439,2,0.5388070681300178,57
sens_dv_a_arm,1,30,-0.07637805712351332,0.09903671078329823,-0.3691402043758562,0.0049260039397747,0.3874695560728362,0.47462722713856614,0.29255326501003853,0.214958591028141,-0.001474926253687318,0.9771121592631199,0.6976410029483184,1.0029509741760825,1.1076762951235952,14,1.1076762951235952,14
sens_dv_a_arm,2,60,-0.03881777527813413,0.03785504501238748,-0.1494687272409286,0.004650711385555,0.1930521588525557,0.3024810702115747,0.2293073323035796,0.18013105425783404,-0.001474926253687318,0.6778761536375981,0.5330319514348242,0.715782350891482,1.0005136220930733,10,0.6713825826525216,48
sens_dv_a_arm,3,60,-0.033521202924862395,0.04029853631776805,-0.1330620945279509,0.0046697375691393,0.10398283829016211,0.22505022557371443,0.11911530755546061,0.09743845029114873,-0.0014749262536873364,0.4320645987494373,0.3547887756303791,0.4642753960040728,0.8588589133350439,2,0.5388070681300178,57
sens_ref_random,1,30,-0.06998068628841127,0.09547578361196742,-0.3531337243205793,0.0023047584411191,0.39585697650154106,0.5511921073420718,0.3580405208157883,0.2934073134759611,0.0,1.0001684275792437,0.7432372489868241,0.9977764704998785,1.1342610483618751,10,1.1342610483618751,10
sens_ref_random,2,60,-0.09313803106929716,0.10556771983487444,-0.2482353900732354,0.1470192814336699,0.20143957928126058,0.37904595041508027,0.29479458810932946,0.258579776705654,0.0,0.7440534620632538,0.6006537295792594,0.7190554502354372,1.221869869465214,4,0.7051974290021688,36
sens_ref_random,3,60,-0.05411254649344665,0.07065256944085403,-0.2320860662066565,0.0569231487659839,0.112370258718867,0.30161510577722006,0.18460256336121053,0.17588717273896876,0.0,0.5122753642279503,0.4273986700555315,0.46482369178473265,,0,0.5404164279285532,48
sens_recall_3model,1,30,-0.06998068628841127,0.09547578361196742,-0.3531337243205793,0.0023047584411191,0.38742844168686585,0.5419565087278565,0.35988596015497987,0.29213690751232835,0.0037675440650084806,1.0766440313396057,0.7555662093098715,1.0029509741760825,1.1076762951235952,14,1.1076762951235952,14
sens_recall_3model,2,60,-0.09313803106929716,0.10556771983487444,-0.2482353900732354,0.1470192814336699,0.16207753257788662,0.3626603527703703,0.25428112410302006,0.23418984056568684,-0.00394309843950798,0.7395107258896589,0.5829110444008113,0.715782350891482,1.0005136220930733,10,0.6713825826525216,48
sens_recall_3model,3,60,-0.05411254649344665,0.07065256944085403,-0.2320860662066565,0.0569231487659839,0.0706703306635526,0.29062159824043415,0.14037171055227535,0.1506208402199705,-0.003957163137116993,0.5112433131877426,0.4241421738593681,0.4642753960040728,0.8588589133350439,2,0.5388070681300178,57
