variant,target_env,n_tasks,dv_mean,dv_std,dv_min,dv_max,cpd_y_mean,d_recall_l2_mean,d_recall_max_mean,cpd_dir_strict_n_defined,cpd_dir_strict_mean,cpd_dir_lenient_n_defined,cpd_dir_lenient_mean,loeo_mse_M0,loeo_n_test_M0,loeo_mse_M1,loeo_n_test_M1,loeo_mse_M0_sub_strict,loeo_n_test_M0_sub_strict,loeo_mse_M2_strict,loeo_n_test_M2_strict,loeo_mse_M0_sub_lenient,loeo_n_test_M0_sub_lenient,loeo_mse_M2_lenient,loeo_n_test_M2_lenient
primary,R2,25,-0.07738188209366163,0.10129128978783311,-0.3531337243205793,0.0873403251159132,0.5337797909447806,0.4850882060375987,0.3792779418503479,3,1.6456132540273558,21,0.797641427231593,0.008393373385956743,25,0.008283247673173101,25,0.006777965831790293,3,0.0028158062793492457,3,0.013410058347848728,21,0.013684878722909003,21
primary,R3,25,-0.04817894723598739,0.08643231577270734,-0.2657809327355812,0.1144651655427813,0.7110302974695412,0.6235228153345092,0.508963422899547,7,1.0429354588638806,22,0.7167424483229781,0.008791336496196529,25,0.008640399183730418,25,0.13070258819232744,7,0.06896804061443461,7,0.009215881231267117,22,0.0075855966125228744,22
primary,R4,25,-0.06306671498312194,0.10717805263859104,-0.2638125415834005,0.1470192814336699,0.6720738884706519,0.5528796607532204,0.44540125132392844,3,1.6392592138573816,18,1.021362185703614,0.012936920037032942,25,0.01360616499168964,25,0.001114031833349287,3,0.0016663076840414213,3,0.011109366293256925,18,0.0131666207930061,18
primary,R5,25,-0.06428844470056819,0.0875708508586691,-0.2567553528420411,0.0569231487659839,0.7129223711172747,0.761731707012297,0.6301046756052097,7,1.176354520156316,22,0.7790615044720574,0.006963798502620974,25,0.006763956623404107,25,0.03169931044777312,7,0.014761690193149176,7,0.008045966916226404,22,0.007745179700392141,22
primary,R6,25,-0.09249148774742616,0.08540534103955452,-0.2359054284845015,0.0837553637952436,0.716277890168392,0.7646249174128793,0.5462236118217675,3,0.3100567828768482,18,0.295956687168126,0.006313333076333929,25,0.00812043084152395,25,0.047041359642443215,3,0.012572224398219513,3,0.00615355489053648,18,0.0060746809188774705,18
primary,R7,25,-0.09197073293591332,0.08249679295327604,-0.2197062624108896,0.0487840283558413,0.6895955233899899,0.6485450902941241,0.4579680449936692,3,0.30350152463500674,18,0.2819965743009348,0.005383836400510209,25,0.005584598943936125,25,0.02562892099467748,3,0.032644264575074515,3,0.007334962375292371,18,0.009772278335684894,18
sens_dv_a_arm,R2,25,-0.06261550871417658,0.07805610329279075,-0.3691402043758562,-0.0013919460275392,0.5337797909447806,0.4850882060375987,0.3792779418503479,3,1.6456132540273558,21,0.797641427231593,0.00611070322133644,25,0.00442624758863051,25,0.01186416797455962,3,0.005959823612553577,3,0.006088707656488947,21,0.0020144096440555897,21
sens_dv_a_arm,R3,25,-0.06738928748489331,0.05930191677848584,-0.2825972342909825,0.0016839411110132,0.7110302974695412,0.6235228153345092,0.508963422899547,7,1.0429354588638806,22,0.7167424483229781,0.00411667197640809,25,0.002605830853498757,25,0.04380286441808136,7,0.003376378946813578,7,0.005188253318525252,22,0.002407495468798518,22
sens_dv_a_arm,R4,25,-0.053025969040922355,0.06526781095102574,-0.2682100893114686,0.0046697375691393,0.6720738884706519,0.5528796607532204,0.44540125132392844,3,1.6392592138573816,18,1.021362185703614,0.004109654096354692,25,0.002630606047381328,25,0.0011583253099201997,3,0.0016139330880953597,3,0.004214288758370793,18,0.0017938801888500487,18
sens_dv_a_arm,R5,25,-0.048783328577329976,0.056789809087246776,-0.2557301362820268,0.0008967192052539,0.7129223711172747,0.761731707012297,0.6301046756052097,7,1.176354520156316,22,0.7790615044720574,0.002908902078509697,25,0.0029631090918756046,25,0.008068063516934149,7,0.006585119079796489,7,0.0036431466672992383,22,0.0017622462433786235,22
sens_dv_a_arm,R6,25,-0.01642282461340324,0.02090299432939388,-0.0878101800880321,0.0018191065128956,0.716277890168392,0.7646249174128793,0.5462236118217675,3,0.3100567828768482,18,0.295956687168126,0.0013392691572258484,25,0.0008804736383281912,25,0.018517788712224866,3,0.0068084988732598105,3,0.0014997234146686994,18,0.0007495337312230173,18
sens_dv_a_arm,R7,25,-0.01703029780468217,0.02996730210186715,-0.0844919211018048,0.0049260039397747,0.6895955233899899,0.6485450902941241,0.4579680449936692,3,0.30350152463500674,18,0.2819965743009348,0.002062190286541306,25,0.0022215767851773453,25,0.03950025531353372,3,0.0015385941779082989,3,0.002819004618000493,18,0.0007186000714292507,18
sens_ref_random,R2,25,-0.07738188209366163,0.10129128978783311,-0.3531337243205793,0.0873403251159132,0.5149185191285649,0.5253405914853357,0.4520679296454123,3,1.2979180254908158,18,0.7728216956929108,0.009011042537117537,25,0.008951843838836782,25,0.005171844112481461,3,0.003116130844257808,3,0.019088443444346733,18,0.025637836081517356,18
sens_ref_random,R3,25,-0.04817894723598739,0.08643231577270734,-0.2657809327355812,0.1144651655427813,0.7189603573509511,0.733718489420251,0.5801557327920055,3,1.4082279500905235,18,0.6754477388834608,0.009222523387313481,25,0.009046209372330331,25,0.005903106226701011,3,0.04988699463638968,3,0.009134023766458717,18,0.005277873505964271,18
sens_ref_random,R4,25,-0.06306671498312194,0.10717805263859104,-0.2638125415834005,0.1470192814336699,0.6556766040191788,0.6001097719803641,0.5009737108711179,3,1.2794639576964466,18,0.8570567673456524,0.012406220004663493,25,0.012423290682834785,25,0.0064415228961539,3,0.00583873452706982,3,0.013127674157134837,18,0.015152153993954634,18
sens_ref_random,R5,25,-0.06428844470056819,0.0875708508586691,-0.2567553528420411,0.0569231487659839,0.7216106440778273,0.827637618543275,0.6968914201086653,3,1.196213645850718,18,0.7286839110217459,0.007845474591702898,25,0.007629222756418745,25,0.03433643636082088,3,0.09225862106979686,3,0.014311701749599396,18,0.018167862152540206,18
