variant,cpd_dir_variant,cpd_dir_role,model,term,std_beta,boot_ci_lo,boot_ci_hi,n_boot_finite,design_rank_deficient,n_boot_degenerate_replicates_this_model,B
primary,strict,parallel_reported,M0,d_recall_Camera,-0.23779330658181724,,,0,False,0,10000
primary,strict,parallel_reported,M0,d_recall_Light_T1,0.09068921237574562,,,0,False,0,10000
primary,strict,parallel_reported,M0,d_recall_Light_XM,-0.19800788962495444,,,0,False,0,10000
primary,strict,parallel_reported,M0,d_recall_Sensor,0.11112068635644093,,,0,False,0,10000
primary,strict,parallel_reported,M0,d_recall_Socket,-0.07875510533250474,,,0,False,0,10000
primary,strict,parallel_reported,M0,d_recall_l2,0.9417816862459664,,,0,False,0,10000
primary,strict,parallel_reported,M0,d_recall_max,-0.5257309511231177,,,0,False,0,10000
primary,strict,parallel_reported,M1,d_recall_Camera,-0.2841166018420118,-0.3754948460544225,0.004643528087596049,10000,False,0,10000
primary,strict,parallel_reported,M1,d_recall_Light_T1,0.07498179982477324,-0.2709006176190245,0.23863722678320912,10000,False,0,10000
primary,strict,parallel_reported,M1,d_recall_Light_XM,-0.15847839098228592,-0.5158112633437459,0.049816689677021124,10000,False,0,10000
primary,strict,parallel_reported,M1,d_recall_Sensor,0.11415090208150838,-0.01809372587448964,0.3030862838417166,10000,False,0,10000
primary,strict,parallel_reported,M1,d_recall_Socket,-0.06726969087371065,-0.314198954905225,0.23301069130002872,10000,False,0,10000
primary,strict,parallel_reported,M1,d_recall_l2,1.291935825462692,0.799736222868482,1.974341981202487,10000,False,0,10000
primary,strict,parallel_reported,M1,d_recall_max,-0.6333696384242836,-1.1568491754313508,-0.1976678196589735,10000,False,0,10000
primary,strict,parallel_reported,M1,cpd_y,-0.24541251908390055,-0.7569745272219163,0.32021557896090586,10000,False,0,10000
primary,strict,parallel_reported,M0_sub,d_recall_Camera,-0.12568294249918122,,,0,True,10000,10000
primary,strict,parallel_reported,M0_sub,d_recall_Light_T1,-0.8509953757154664,,,0,True,10000,10000
primary,strict,parallel_reported,M0_sub,d_recall_Light_XM,-0.4465563471225839,,,0,True,10000,10000
