variant,cpd_dir_variant,model,target_env,n_test,n_train,mse
primary,strict,M0,R2,25,125,0.008393373385956743
primary,strict,M0,R3,25,125,0.008791336496196529
primary,strict,M0,R4,25,125,0.012936920037032942
primary,strict,M0,R5,25,125,0.006963798502620974
primary,strict,M0,R6,25,125,0.006313333076333929
primary,strict,M0,R7,25,125,0.005383836400510209
primary,strict,M1,R2,25,125,0.008283247673173101
primary,strict,M1,R3,25,125,0.008640399183730418
primary,strict,M1,R4,25,125,0.01360616499168964
primary,strict,M1,R5,25,125,0.006763956623404107
primary,strict,M1,R6,25,125,0.00812043084152395
primary,strict,M1,R7,25,125,0.005584598943936125
primary,strict,M0_sub,R2,3,23,0.006777965831790293
primary,strict,M0_sub,R3,7,19,0.13070258819232744
primary,strict,M0_sub,R4,3,23,0.001114031833349287
primary,strict,M0_sub,R5,7,19,0.03169931044777312
primary,strict,M0_sub,R6,3,23,0.047041359642443215
primary,strict,M0_sub,R7,3,23,0.02562892099467748
primary,strict,M2,R2,3,23,0.0028158062793492457
primary,strict,M2,R3,7,19,0.06896804061443461
primary,strict,M2,R4,3,23,0.0016663076840414213
primary,strict,M2,R5,7,19,0.014761690193149176
primary,strict,M2,R6,3,23,0.012572224398219513
primary,strict,M2,R7,3,23,0.032644264575074515
primary,lenient,M0,R2,25,125,0.008393373385956743
primary,lenient,M0,R3,25,125,0.008791336496196529
primary,lenient,M0,R4,25,125,0.012936920037032942
primary,lenient,M0,R5,25,125,0.006963798502620974
primary,lenient,M0,R6,25,125,0.006313333076333929
primary,lenient,M0,R7,25,125,0.005383836400510209
primary,lenient,M1,R2,25,125,0.008283247673173101
primary,lenient,M1,R3,25,125,0.008640399183730418
primary,lenient,M1,R4,25,125,0.01360616499168964
primary,lenient,M1,R5,25,125,0.006763956623404107
primary,lenient,M1,R6,25,125,0.00812043084152395
primary,lenient,M1,R7,25,125,0.005584598943936125
primary,lenient,M0_sub,R2,21,98,0.013410058347848728
primary,lenient,M0_sub,R3,22,97,0.009215881231267117
primary,lenient,M0_sub,R4,18,101,0.011109366293256925
primary,lenient,M0_sub,R5,22,97,0.008045966916226404
primary,lenient,M0_sub,R6,18,101,0.00615355489053648
primary,lenient,M0_sub,R7,18,101,0.007334962375292371
primary,lenient,M2,R2,21,98,0.013684878722909003
primary,lenient,M2,R3,22,97,0.0075855966125228744
primary,lenient,M2,R4,18,101,0.0131666207930061
primary,lenient,M2,R5,22,97,0.007745179700392141
primary,lenient,M2,R6,18,101,0.0060746809188774705
primary,lenient,M2,R7,18,101,0.009772278335684894
sens_dv_a_arm,strict,M0,R2,25,125,0.00611070322133644
sens_dv_a_arm,strict,M0,R3,25,125,0.00411667197640809
sens_dv_a_arm,strict,M0,R4,25,125,0.004109654096354692
sens_dv_a_arm,strict,M0,R5,25,125,0.002908902078509697
sens_dv_a_arm,strict,M0,R6,25,125,0.0013392691572258484
sens_dv_a_arm,strict,M0,R7,25,125,0.002062190286541306
sens_dv_a_arm,strict,M1,R2,25,125,0.00442624758863051
sens_dv_a_arm,strict,M1,R3,25,125,0.002605830853498757
sens_dv_a_arm,strict,M1,R4,25,125,0.002630606047381328
sens_dv_a_arm,strict,M1,R5,25,125,0.0029631090918756046
sens_dv_a_arm,strict,M1,R6,25,125,0.0008804736383281912
sens_dv_a_arm,strict,M1,R7,25,125,0.0022215767851773453
sens_dv_a_arm,strict,M0_sub,R2,3,23,0.01186416797455962
sens_dv_a_arm,strict,M0_sub,R3,7,19,0.04380286441808136
sens_dv_a_arm,strict,M0_sub,R4,3,23,0.0011583253099201997
sens_dv_a_arm,strict,M0_sub,R5,7,19,0.008068063516934149
sens_dv_a_arm,strict,M0_sub,R6,3,23,0.018517788712224866
sens_dv_a_arm,strict,M0_sub,R7,3,23,0.03950025531353372
sens_dv_a_arm,strict,M2,R2,3,23,0.005959823612553577
sens_dv_a_arm,strict,M2,R3,7,19,0.003376378946813578
sens_dv_a_arm,strict,M2,R4,3,23,0.0016139330880953597
sens_dv_a_arm,strict,M2,R5,7,19,0.006585119079796489
sens_dv_a_arm,strict,M2,R6,3,23,0.0068084988732598105
sens_dv_a_arm,strict,M2,R7,3,23,0.0015385941779082989
sens_dv_a_arm,lenient,M0,R2,25,125,0.00611070322133644
sens_dv_a_arm,lenient,M0,R3,25,125,0.00411667197640809
sens_dv_a_arm,lenient,M0,R4,25,125,0.004109654096354692
sens_dv_a_arm,lenient,M0,R5,25,125,0.002908902078509697
sens_dv_a_arm,lenient,M0,R6,25,125,0.0013392691572258484
sens_dv_a_arm,lenient,M0,R7,25,125,0.002062190286541306
sens_dv_a_arm,lenient,M1,R2,25,125,0.00442624758863051
sens_dv_a_arm,lenient,M1,R3,25,125,0.002605830853498757
sens_dv_a_arm,lenient,M1,R4,25,125,0.002630606047381328
sens_dv_a_arm,lenient,M1,R5,25,125,0.0029631090918756046
sens_dv_a_arm,lenient,M1,R6,25,125,0.0008804736383281912
sens_dv_a_arm,lenient,M1,R7,25,125,0.0022215767851773453
sens_dv_a_arm,lenient,M0_sub,R2,21,98,0.006088707656488947
sens_dv_a_arm,lenient,M0_sub,R3,22,97,0.005188253318525252
sens_dv_a_arm,lenient,M0_sub,R4,18,101,0.004214288758370793
sens_dv_a_arm,lenient,M0_sub,R5,22,97,0.0036431466672992383
sens_dv_a_arm,lenient,M0_sub,R6,18,101,0.0014997234146686994
sens_dv_a_arm,lenient,M0_sub,R7,18,101,0.002819004618000493
sens_dv_a_arm,lenient,M2,R2,21,98,0.0020144096440555897
sens_dv_a_arm,lenient,M2,R3,22,97,0.002407495468798518
sens_dv_a_arm,lenient,M2,R4,18,101,0.0017938801888500487
sens_dv_a_arm,lenient,M2,R5,22,97,0.0017622462433786235
sens_dv_a_arm,lenient,M2,R6,18,101,0.0007495337312230173
sens_dv_a_arm,lenient,M2,R7,18,101,0.0007186000714292507
sens_ref_random,strict,M0,R2,25,125,0.009011042537117537
sens_ref_random,strict,M0,R3,25,125,0.009222523387313481
sens_ref_random,strict,M0,R4,25,125,0.012406220004663493
sens_ref_random,strict,M0,R5,25,125,0.007845474591702898
sens_ref_random,strict,M0,R6,25,125,0.0054820901472516
sens_ref_random,strict,M0,R7,25,125,0.004724859541201404
sens_ref_random,strict,M1,R2,25,125,0.008951843838836782
sens_ref_random,strict,M1,R3,25,125,0.009046209372330331
sens_ref_random,strict,M1,R4,25,125,0.012423290682834785
sens_ref_random,strict,M1,R5,25,125,0.007629222756418745
sens_ref_random,strict,M1,R6,25,125,0.007359477725664064
sens_ref_random,strict,M1,R7,25,125,0.005139416775145543
sens_ref_random,strict,M0_sub,R2,3,11,0.005171844112481461
sens_ref_random,strict,M0_sub,R3,3,11,0.005903106226701011
sens_ref_random,strict,M0_sub,R4,3,11,0.0064415228961539
sens_ref_random,strict,M0_sub,R5,3,11,0.03433643636082088
sens_ref_random,strict,M0_sub,R6,1,13,0.04511566249580416
sens_ref_random,strict,M0_sub,R7,1,13,0.037889270576080276
sens_ref_random,strict,M2,R2,3,11,0.003116130844257808
sens_ref_random,strict,M2,R3,3,11,0.04988699463638968
sens_ref_random,strict,M2,R4,3,11,0.00583873452706982
sens_ref_random,strict,M2,R5,3,11,0.09225862106979686
sens_ref_random,strict,M2,R6,1,13,0.3324651050483864
sens_ref_random,strict,M2,R7,1,13,0.0072098982799054185
sens_ref_random,lenient,M0,R2,25,125,0.009011042537117537
sens_ref_random,lenient,M0,R3,25,125,0.009222523387313481
sens_ref_random,lenient,M0,R4,25,125,0.012406220004663493
sens_ref_random,lenient,M0,R5,25,125,0.007845474591702898
sens_ref_random,lenient,M0,R6,25,125,0.0054820901472516
sens_ref_random,lenient,M0,R7,25,125,0.004724859541201404
sens_ref_random,lenient,M1,R2,25,125,0.008951843838836782
sens_ref_random,lenient,M1,R3,25,125,0.009046209372330331
sens_ref_random,lenient,M1,R4,25,125,0.012423290682834785
sens_ref_random,lenient,M1,R5,25,125,0.007629222756418745
sens_ref_random,lenient,M1,R6,25,125,0.007359477725664064
sens_ref_random,lenient,M1,R7,25,125,0.005139416775145543
sens_ref_random,lenient,M0_sub,R2,18,76,0.019088443444346733
sens_ref_random,lenient,M0_sub,R3,18,76,0.009134023766458717
sens_ref_random,lenient,M0_sub,R4,18,76,0.013127674157134837
sens_ref_random,lenient,M0_sub,R5,18,76,0.014311701749599396
sens_ref_random,lenient,M0_sub,R6,11,83,0.005350941015074806
sens_ref_random,lenient,M0_sub,R7,11,83,0.004763967618321183
sens_ref_random,lenient,M2,R2,18,76,0.025637836081517356
sens_ref_random,lenient,M2,R3,18,76,0.005277873505964271
sens_ref_random,lenient,M2,R4,18,76,0.015152153993954634
sens_ref_random,lenient,M2,R5,18,76,0.018167862152540206
sens_ref_random,lenient,M2,R6,11,83,0.010863201643569654
sens_ref_random,lenient,M2,R7,11,83,0.005824460997390984
sens_recall_3model,strict,M0,R2,25,125,0.01105637587680438
sens_recall_3model,strict,M0,R3,25,125,0.00811874291244303
sens_recall_3model,strict,M0,R4,25,125,0.01297264824510922
sens_recall_3model,strict,M0,R5,25,125,0.00709870615278334
sens_recall_3model,strict,M0,R6,25,125,0.005719450148071605
sens_recall_3model,strict,M0,R7,25,125,0.005049106098673649
sens_recall_3model,strict,M1,R2,25,125,0.011084319383078314
sens_recall_3model,strict,M1,R3,25,125,0.008351327048634914
sens_recall_3model,strict,M1,R4,25,125,0.012985407149866922
sens_recall_3model,strict,M1,R5,25,125,0.007304562552625449
