variant,task,n_sources,source_envs,target_env,n_ref,n_ref_dir_defined,cpd_dir_strict,cpd_dir_lenient,per_ref_cpd_dir,dir_included_rows,defined_strict,defined_lenient
primary,g0_R3_to_R2,1,R3,R2,1,0,,,nan,,False,False
primary,g0_R4_to_R2,1,R4,R2,1,0,,,nan,,False,False
primary,g0_R5_to_R2,1,R5,R2,1,0,,,nan,,False,False
primary,g0_R6_to_R2,1,R6,R2,1,1,1.4393436294372945,1.4393436294372945,1.4393436294372945,Light_T1;Light_XM;Sensor,True,True
primary,g0_R7_to_R2,1,R7,R2,1,1,1.8962325243239355,1.8962325243239355,1.8962325243239355,Light_T1;Light_XM;Sensor,True,True
primary,g0_R3_R4_to_R2,2,R3;R4,R2,2,1,,0.16478091605763887,nan;0.16478091605763887,|Light_T1,False,True
primary,g0_R3_R5_to_R2,2,R3;R5,R2,2,0,,,nan;nan,|,False,False
primary,g0_R3_R6_to_R2,2,R3;R6,R2,2,1,,0.8719409496806062,nan;0.8719409496806062,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R7_to_R2,2,R3;R7,R2,2,1,,0.990895668548526,nan;0.990895668548526,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_to_R2,2,R4;R5,R2,2,1,,0.2559510454142139,0.2559510454142139;nan,Light_T1|,False,True
primary,g0_R4_R6_to_R2,2,R4;R6,R2,2,1,,0.869193710636136,nan;0.869193710636136,|Light_XM;Sensor,False,True
primary,g0_R4_R7_to_R2,2,R4;R7,R2,2,1,,0.7826072936257594,nan;0.7826072936257594,|Light_XM;Sensor,False,True
primary,g0_R5_R6_to_R2,2,R5;R6,R2,2,1,,1.0368153003631522,nan;1.0368153003631522,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R5_R7_to_R2,2,R5;R7,R2,2,1,,0.7129096320436085,nan;0.7129096320436085,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R6_R7_to_R2,2,R6;R7,R2,2,2,1.6012636083208374,1.6012636083208374,1.5694649350135004;1.6330622816281744,Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,True,True
primary,g0_R3_R4_R5_to_R2,3,R3;R4;R5,R2,3,1,,0.17732399156690512,nan;0.17732399156690512;nan,|Light_T1|,False,True
primary,g0_R3_R4_R6_to_R2,3,R3;R4;R6,R2,3,2,,0.3288938537806743,nan;0.12973265143419746;0.5280550561271512,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_R7_to_R2,3,R3;R4;R7,R2,3,2,,0.3586623504232438,nan;0.13019483185662414;0.5871298689898634,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R5_R6_to_R2,3,R3;R5;R6,R2,3,1,,0.8435456827113782,nan;nan;0.8435456827113782,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R5_R7_to_R2,3,R3;R5;R7,R2,3,1,,0.9259360794822566,nan;nan;0.9259360794822566,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R6_R7_to_R2,3,R3;R6;R7,R2,3,2,,0.9054294842750324,nan;0.8580432185918708;0.9528157499581941,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_R6_to_R2,3,R4;R5;R6,R2,3,2,,0.4245610626061668,0.2416701193913309;nan;0.6074520058210027,Light_T1||Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_R7_to_R2,3,R4;R5;R7,R2,3,2,,0.4389882725672223,0.3052075777691435;nan;0.5727689673653011,Light_T1||Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R6_R7_to_R2,3,R4;R6;R7,R2,3,2,,0.8703393654701046,nan;0.9026819772900356;0.8379967536501736,|Light_XM;Sensor|Light_XM;Sensor,False,True
primary,g0_R5_R6_R7_to_R2,3,R5;R6;R7,R2,3,2,,0.8548555505287614,nan;0.852098179260548;0.8576129217969749,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_to_R3,1,R2,R3,1,0,,,nan,,False,False
primary,g0_R4_to_R3,1,R4,R3,1,1,0.3136706883808019,0.3136706883808019,0.3136706883808019,Light_T1,True,True
primary,g0_R5_to_R3,1,R5,R3,1,0,,,nan,,False,False
primary,g0_R6_to_R3,1,R6,R3,1,1,1.659839747874877,1.659839747874877,1.659839747874877,Light_T1;Light_XM;Sensor,True,True
primary,g0_R7_to_R3,1,R7,R3,1,1,1.964935103516096,1.964935103516096,1.964935103516096,Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_R4_to_R3,2,R2;R4,R3,2,1,,0.0447462313919453,nan;0.0447462313919453,|Light_T1,False,True
primary,g0_R2_R5_to_R3,2,R2;R5,R3,2,0,,,nan;nan,|,False,False
primary,g0_R2_R6_to_R3,2,R2;R6,R3,2,1,,1.058569640998426,nan;1.058569640998426,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R7_to_R3,2,R2;R7,R3,2,1,,1.0869937405023995,nan;1.0869937405023995,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_to_R3,2,R4;R5,R3,2,1,,0.23451289766018213,0.23451289766018213;nan,Light_T1|,False,True
primary,g0_R4_R6_to_R3,2,R4;R6,R3,2,2,0.530406929200824,0.530406929200824,0.16865583098577824;0.8921580274158697,Light_T1|Light_T1;Light_XM;Sensor,True,True
