config,seed,best_base,m_rf,m_xgboost,m_lightgbm,m_stacking
full94,42,0.91007095630772,0.8983436381527579,0.91007095630772,0.9073859758902374,0.8706688010992997
full94,43,0.9073859758902374,0.8953953127635241,0.905481652925195,0.9073859758902374,0.8703203483818088
full94,44,0.9073859758902374,0.8952958053023694,0.9055941360109301,0.9073859758902374,0.8736649983571825
full94,45,0.908976257527798,0.8991620563049135,0.908976257527798,0.9073859758902374,0.8754882435836399
full94,46,0.9080956162739708,0.8943649512580233,0.9080956162739708,0.9073859758902374,0.878363479108749
full94+N33,42,0.915336887052268,0.9015715012966001,0.9122491553448082,0.915336887052268,0.8968390959503246
full94+N33,43,0.915336887052268,0.89786407081181,0.9150909604242911,0.915336887052268,0.891242371652458
full94+N33,44,0.915336887052268,0.8961751060884018,0.912330005543663,0.915336887052268,0.8813914877378528
full94+N33,45,0.915336887052268,0.900573553813113,0.9114908298194873,0.915336887052268,0.8969817850063487
full94+N33,46,0.915336887052268,0.8980032924240422,0.9132342421285558,0.915336887052268,0.8930217079594195
full94+N89,42,0.921813595755655,0.8937166511774371,0.9189122466327774,0.921813595755655,0.8848868242118824
full94+N89,43,0.921813595755655,0.8955525606469003,0.9170307731129407,0.921813595755655,0.8745200117357388
full94+N89,44,0.921813595755655,0.8975022499240437,0.9206557171246199,0.921813595755655,0.8787527211079423
full94+N89,45,0.921813595755655,0.8939103864086835,0.9198687707597937,0.921813595755655,0.8849378018435177
full94+N89,46,0.921813595755655,0.8956463595676247,0.9198704629468388,0.921813595755655,0.8845782077774205
