family,d_auc_sum,n_pos_tasks,n_cols
rssi,5.442594357007461,8,8
singletons,0.04402476257702862,5,13
subwin,0.008092083522418225,6,9
interarrival,-0.008589319477275117,5,12
time,-0.009753948168471312,4,19
up,-0.03178143993905774,3,7
subtype,-0.044544967858654125,1,16
timeup,-0.0869912436360965,1,10
timedn,-0.0905901116100909,2,10
down,-0.16485579694272087,0,6
len,-0.17790990702864717,1,14
burst,-0.22621383691098904,1,7
unique,-0.31213514430756006,0,2
seq,-0.5121398392471073,1,18
dir,-0.5257655341323628,0,32
