task,family,pair,auc_base,auc_drop_f,d_auc
g0_R2_R3_to_R4,dir,Camera|Light_T1,0.9995644538110292,0.9991991570073763,-0.00036529680365293693
g0_R2_R3_to_R4,time,Camera|Light_T1,0.9995644538110292,0.9997962767825781,0.00023182297154888953
g0_R2_R3_to_R4,seq,Camera|Light_T1,0.9995644538110292,0.999072708113804,-0.0004917456972252099
g0_R2_R3_to_R4,subtype,Camera|Light_T1,0.9995644538110292,0.9994099051633298,-0.0001545486476993707
g0_R2_R3_to_R4,len,Camera|Light_T1,0.9995644538110292,0.9996136283807517,4.917456972253209e-05
g0_R2_R3_to_R4,singletons,Camera|Light_T1,0.9995644538110292,0.9995293291183702,-3.5124692658983214e-05
g0_R2_R3_to_R4,interarrival,Camera|Light_T1,0.9995644538110292,0.9996417281348788,7.727432384962984e-05
g0_R2_R3_to_R4,timedn,Camera|Light_T1,0.9995644538110292,0.9997190024587286,0.0001545486476993707
g0_R2_R3_to_R4,timeup,Camera|Light_T1,0.9995644538110292,0.9995785036880926,1.4049877063437854e-05
g0_R2_R3_to_R4,subwin,Camera|Light_T1,0.9995644538110292,0.9995855286266245,2.1074815595323315e-05
g0_R2_R3_to_R4,rssi,Camera|Light_T1,0.9995644538110292,0.9544994731296101,-0.045064980681419065
g0_R2_R3_to_R4,burst,Camera|Light_T1,0.9995644538110292,0.9995012293642431,-6.322444678608097e-05
g0_R2_R3_to_R4,up,Camera|Light_T1,0.9995644538110292,0.9995644538110292,0.0
g0_R2_R3_to_R4,down,Camera|Light_T1,0.9995644538110292,0.9995995785036881,3.512469265887219e-05
g0_R2_R3_to_R4,unique,Camera|Light_T1,0.9995644538110292,0.9997049525816649,0.0001404987706357108
g0_R2_R3_to_R4,dir,Camera|Light_XM,0.9990175585284281,0.9987109810479375,-0.0003065774804905663
g0_R2_R3_to_R4,time,Camera|Light_XM,0.9990175585284281,0.9988782051282051,-0.0001393534002229746
g0_R2_R3_to_R4,seq,Camera|Light_XM,0.9990175585284281,0.9975891861761427,-0.0014283723522854341
g0_R2_R3_to_R4,subtype,Camera|Light_XM,0.9990175585284281,0.9988921404682274,-0.00012541806020072155
g0_R2_R3_to_R4,len,Camera|Light_XM,0.9990175585284281,0.9995192307692308,0.0005016722408026641
g0_R2_R3_to_R4,singletons,Camera|Light_XM,0.9990175585284281,0.9990036231884057,-1.3935340022364073e-05
g0_R2_R3_to_R4,interarrival,Camera|Light_XM,0.9990175585284281,0.9993380713489409,0.0003205128205128194
g0_R2_R3_to_R4,timedn,Camera|Light_XM,0.9990175585284281,0.9991360089186175,0.00011845039018942849
g0_R2_R3_to_R4,timeup,Camera|Light_XM,0.9990175585284281,0.9989409141583054,-7.664437012266934e-05
g0_R2_R3_to_R4,subwin,Camera|Light_XM,0.9990175585284281,0.9989060758082497,-0.00011148272017835748
g0_R2_R3_to_R4,rssi,Camera|Light_XM,0.9990175585284281,0.9639423076923077,-0.0350752508361204
g0_R2_R3_to_R4,burst,Camera|Light_XM,0.9990175585284281,0.9991360089186175,0.00011845039018942849
g0_R2_R3_to_R4,up,Camera|Light_XM,0.9990175585284281,0.9990175585284281,0.0
g0_R2_R3_to_R4,down,Camera|Light_XM,0.9990175585284281,0.9990105908584169,-6.967670011182037e-06
g0_R2_R3_to_R4,unique,Camera|Light_XM,0.9990175585284281,0.9990036231884059,-1.3935340022253051e-05
g0_R2_R3_to_R4,dir,Camera|Sensor,0.9978538036549086,0.9985621192803513,0.0007083156254427125
g0_R2_R3_to_R4,time,Camera|Sensor,0.9978538036549086,0.9973721490296076,-0.0004816546253010312
g0_R2_R3_to_R4,seq,Camera|Sensor,0.9978538036549086,0.9982575435614109,0.0004037399065023317
g0_R2_R3_to_R4,subtype,Camera|Sensor,0.9978538036549086,0.9971596543419747,-0.0006941493129338783
g0_R2_R3_to_R4,len,Camera|Sensor,0.9978538036549086,0.9979600509987251,0.00010624734381647905
