fs,task,model,device,n_win,p,mode_pred,mode_share,plur_ok,vote30,shuf30,n_blocks
full94,g0_R2_R3_to_R4,rf,Camera,390,0.8589743589743589,Camera,0.8589743589743589,1,1.0,1.0,13
full94,g0_R2_R3_to_R4,rf,Light_T1,365,0.7972602739726027,Light_T1,0.7972602739726027,1,1.0,1.0,12
full94,g0_R2_R3_to_R4,rf,Light_XM,368,0.024456521739130436,Light_T1,0.8967391304347826,0,0.0,0.0,12
full94,g0_R2_R3_to_R4,rf,Sensor,362,0.8480662983425414,Sensor,0.8480662983425414,1,1.0,1.0,12
full94,g0_R2_R3_to_R4,rf,Socket,368,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R2_R3_to_R4,stacking,Camera,390,0.8794871794871795,Camera,0.8794871794871795,1,1.0,1.0,13
full94,g0_R2_R3_to_R4,stacking,Light_T1,365,0.19726027397260273,Sensor,0.7452054794520548,0,0.0,0.0,12
full94,g0_R2_R3_to_R4,stacking,Light_XM,368,0.024456521739130436,Sensor,0.8614130434782609,0,0.0,0.0,12
full94,g0_R2_R3_to_R4,stacking,Sensor,362,0.0718232044198895,Light_T1,0.9171270718232044,0,0.0,0.0,12
full94,g0_R2_R3_to_R4,stacking,Socket,368,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R2_R4_to_R3,rf,Camera,365,0.9917808219178083,Camera,0.9917808219178083,1,1.0,1.0,12
full94,g0_R2_R4_to_R3,rf,Light_T1,363,0.24242424242424243,Light_XM,0.4931129476584022,0,0.0,0.03749999999999999,12
full94,g0_R2_R4_to_R3,rf,Light_XM,369,0.7317073170731707,Light_XM,0.7317073170731707,1,1.0,0.9958333333333332,12
full94,g0_R2_R4_to_R3,rf,Sensor,364,0.18681318681318682,Light_T1,0.6373626373626373,0,0.08333333333333333,0.0,12
full94,g0_R2_R4_to_R3,rf,Socket,376,1.0,Socket,1.0,1,1.0,1.0,13
full94,g0_R2_R4_to_R3,stacking,Camera,365,1.0,Camera,1.0,1,1.0,1.0,12
full94,g0_R2_R4_to_R3,stacking,Light_T1,363,0.2066115702479339,Sensor,0.5757575757575758,0,0.0,0.004166666666666667,12
full94,g0_R2_R4_to_R3,stacking,Light_XM,369,0.25745257452574527,Sensor,0.4959349593495935,0,0.16666666666666666,0.037500000000000006,12
full94,g0_R2_R4_to_R3,stacking,Sensor,364,0.04120879120879121,Light_XM,0.4835164835164835,0,0.0,0.0,12
full94,g0_R2_R4_to_R3,stacking,Socket,376,1.0,Socket,1.0,1,1.0,1.0,13
full94,g0_R3_R4_to_R2,rf,Camera,362,0.9033149171270718,Camera,0.9033149171270718,1,1.0,1.0,12
full94,g0_R3_R4_to_R2,rf,Light_T1,363,0.6143250688705234,Light_T1,0.6143250688705234,1,1.0,1.0,12
full94,g0_R3_R4_to_R2,rf,Light_XM,365,0.7972602739726027,Light_XM,0.7972602739726027,1,1.0,1.0,12
full94,g0_R3_R4_to_R2,rf,Sensor,363,0.7272727272727273,Sensor,0.7272727272727273,1,1.0,1.0,12
full94,g0_R3_R4_to_R2,rf,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R3_R4_to_R2,stacking,Camera,362,0.9834254143646409,Camera,0.9834254143646409,1,1.0,1.0,12
full94,g0_R3_R4_to_R2,stacking,Light_T1,363,0.6143250688705234,Light_T1,0.6143250688705234,1,0.6666666666666666,0.9916666666666666,12
full94,g0_R3_R4_to_R2,stacking,Light_XM,365,0.03287671232876712,Light_T1,0.9260273972602739,0,0.0,0.0,12
full94,g0_R3_R4_to_R2,stacking,Sensor,363,0.6528925619834711,Sensor,0.6528925619834711,1,1.0,0.975,12
full94,g0_R3_R4_to_R2,stacking,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
