fs,unit,model,miss,win,nb_win,m1,nb_m1,m5,nb_m5,margin,n_mode_wrong
full94,pos_R5,rf,0,0.7012224296594887,1816,0.7726907548510337,304,0.7585470085470085,60,0.5288233914383093,1
full94,pos_R5,stacking,0,0.7180085899308039,1816,0.7791493042993677,304,0.7562864721485412,60,0.574995824923238,1
full94,jit_R6,rf,0,0.7488747806643499,1988,0.9094232101795768,333,0.9690476190476189,66,0.5824843972659248,0
full94,jit_R6,stacking,0,0.6955971167332627,1988,0.7964493489703574,333,0.854055829228243,66,0.47931460715968727,1
full94,jit_R7,rf,0,0.8219721259799911,1993,0.9728552149604781,333,1.0,66,0.7097707121411672,0
full94,jit_R7,stacking,0,0.7291714113522227,1993,0.8000471376363525,333,0.7938738738738739,66,0.5230544543679817,1
full94,loro_R2,rf,0,0.8097991283932819,1816,0.9470675770308123,304,1.0,60,0.6735824035056884,0
full94,loro_R2,stacking,0,0.6370202122940894,1816,0.6861489509794173,304,0.7,60,0.35799528346634163,1
full94,loro_R3,rf,0,0.6148161314237031,1837,0.6133997012797558,308,0.567843137254902,61,0.35186359132536577,2
full94,loro_R3,stacking,0,0.4907165901894059,1837,0.45599189461176587,308,0.43636363636363634,61,0.1900127834717635,3
full94,loro_R4,rf,0,0.6592117370350504,1853,0.7127219945355192,308,0.7333333333333333,61,0.44197861304460045,1
full94,loro_R4,stacking,0,0.4406293692733776,1853,0.40782461240310075,308,0.4,61,-0.0865539394372,3
full94,iid_R5,rf,0,0.9503685397315025,546,1.0,90,1.0,20,0.9030191826522103,0
full94,iid_R5,stacking,0,0.9559107580908572,546,1.0,90,1.0,20,0.9140283569641368,0
full94,iid_R6,rf,0,0.6789949823897495,596,0.6828785254210992,100,0.7366666666666667,20,0.499169213670464,0
full94,iid_R6,stacking,0,0.6731120728612646,596,0.6553591336200031,100,0.7976190476190477,20,0.4752718347689173,0
full94,iid_R7,rf,0,0.8450880344951491,598,0.9297171590194846,100,1.0,20,0.7510527939989555,0
full94,iid_R7,stacking,0,0.8782862921843677,598,0.9604737604737604,100,1.0,20,0.7899204766652423,0
strict59,pos_R5,rf,0,0.7087208097559137,1816,0.804899797589307,304,0.8432234432234432,60,0.5417956603803875,0
strict59,pos_R5,stacking,0,0.7753110134084465,1816,0.8853979511426321,304,0.9314285714285713,60,0.6508264400261952,0
strict59,jit_R6,rf,0,0.688950998291257,1988,0.8063712368841802,333,0.8740125391849529,66,0.4969964840611933,1
strict59,jit_R6,stacking,0,0.7397436255702243,1988,0.8841161616161616,333,0.9392463768115942,66,0.5814819632893314,0
strict59,jit_R7,rf,0,0.8045573204158167,1993,0.9758450905819327,333,1.0,66,0.6984603765843655,0
strict59,jit_R7,stacking,0,0.8505831885597676,1993,0.9909519533004041,333,1.0,66,0.7719565667679869,0
strict59,loro_R2,rf,0,0.7871380596743727,1816,0.897545754938163,304,1.0,60,0.6906472526118467,0
strict59,loro_R2,stacking,0,0.8445065430199878,1816,0.9768261167566947,304,1.0,60,0.7751718515803473,0
strict59,loro_R3,rf,0,0.8041317039101127,1837,0.9543182256444556,308,1.0,61,0.6958674181986669,0
strict59,loro_R3,stacking,0,0.8320363079622524,1837,0.9773601357410598,308,1.0,61,0.7480441247539298,0
strict59,loro_R4,rf,0,0.7444062669663986,1853,0.8594307406694985,308,0.9158095238095239,61,0.5601299413241292,0
strict59,loro_R4,stacking,0,0.8024936713266004,1853,0.9362777342998267,308,0.984,61,0.6902187632176379,0
strict59,iid_R5,rf,0,0.8220075281712719,546,0.9444358644358644,90,0.9492063492063492,20,0.7089741451209342,0
strict59,iid_R5,stacking,0,0.8679492583705508,546,0.9777691977691978,90,1.0,20,0.7784987489574645,0
strict59,iid_R6,rf,0,0.7654757801848205,596,0.8978562259306804,100,1.0,20,0.6608039270167639,0
strict59,iid_R6,stacking,0,0.7949919568967188,596,0.9391527599486521,100,1.0,20,0.6932578494026118,0
strict59,iid_R7,rf,0,0.8229010269356616,598,0.9702376485303315,100,1.0,20,0.7391627498457011,0
strict59,iid_R7,stacking,0,0.8445834062008662,598,0.9702313946216385,100,1.0,20,0.7543429703084346,0
