source_env,target_env,ref_task,tgt_task,min_err,cpd_dir,is_defined,n_included_rows,included_classes,excluded_classes,exclusion_reasons,n_err_ref_Camera,n_err_ref_Light_T1,n_err_ref_Light_XM,n_err_ref_Sensor,n_err_ref_Socket,n_err_tgt_Camera,n_err_tgt_Light_T1,n_err_tgt_Light_XM,n_err_tgt_Sensor,n_err_tgt_Socket
R2,R3,g0_iid_R2_time_block,g0_R2_to_R3,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:both_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,0.0,11.0,13.0,1.0,0.0,10.0,355.0,85.0,364.0,0.0
R2,R4,g0_iid_R2_time_block,g0_R2_to_R4,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:both_below;Socket:both_below,0.0,11.0,13.0,1.0,0.0,109.0,245.0,346.0,2.0,0.0
R2,R5,g0_iid_R2_time_block,g0_R2_to_R5,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,0.0,11.0,13.0,1.0,0.0,44.0,148.0,172.0,356.0,0.0
R2,R6,g0_iid_R2_time_block,g0_R2_to_R6,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:both_below;Socket:both_below,0.0,11.0,13.0,1.0,0.0,397.0,394.0,395.0,0.0,0.0
R2,R7,g0_iid_R2_time_block,g0_R2_to_R7,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:both_below;Socket:both_below,0.0,11.0,13.0,1.0,0.0,398.0,396.0,394.0,0.0,0.0
R3,R2,g0_iid_R3_time_block,g0_R3_to_R2,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,1.0,0.0,10.0,13.0,1.0,53.0,301.0,95.0,355.0,0.0
R3,R4,g0_iid_R3_time_block,g0_R3_to_R4,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,1.0,0.0,10.0,13.0,1.0,71.0,63.0,362.0,341.0,0.0
R3,R5,g0_iid_R3_time_block,g0_R3_to_R5,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:ref_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,1.0,0.0,10.0,13.0,1.0,225.0,365.0,61.0,44.0,0.0
R3,R6,g0_iid_R3_time_block,g0_R3_to_R6,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:both_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,1.0,0.0,10.0,13.0,1.0,399.0,1.0,395.0,405.0,0.0
R3,R7,g0_iid_R3_time_block,g0_R3_to_R7,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:both_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,1.0,0.0,10.0,13.0,1.0,398.0,0.0,394.0,398.0,0.0
R4,R2,g0_iid_R4_time_block,g0_R4_to_R2,20,,False,0,,Camera;Light_T1;Light_XM;Sensor;Socket,Camera:ref_below;Light_T1:tgt_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,10.0,38.0,4.0,16.0,0.0,109.0,13.0,239.0,70.0,0.0
R4,R3,g0_iid_R4_time_block,g0_R4_to_R3,20,0.3136706883808019,True,1,Light_T1,Camera;Light_XM;Sensor;Socket,Camera:both_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,10.0,38.0,4.0,16.0,0.0,18.0,324.0,342.0,190.0,0.0
R4,R5,g0_iid_R4_time_block,g0_R4_to_R5,20,0.9521276318016708,True,1,Light_T1,Camera;Light_XM;Sensor;Socket,Camera:ref_below;Light_XM:ref_below;Sensor:ref_below;Socket:both_below,10.0,38.0,4.0,16.0,0.0,230.0,89.0,219.0,184.0,0.0
