feature_set,task,n_src,group,n_windows,consensus_correct,broken,consensus_wrong,rescued,swap,net,break_rate,rescue_rate
full94,g0_R2_R3_to_R4,2,hard,1095,535,533,376,59,309,-474,0.9963,0.1569
full94,g0_R2_R3_to_R4,2,easy,758,701,0,35,0,35,0,0.0,0.0
full94,g0_R2_R4_to_R3,2,hard,1096,297,210,494,47,237,-163,0.7071,0.0951
full94,g0_R2_R4_to_R3,2,easy,741,737,0,1,1,0,1,0.0,1.0
full94,g0_R3_R4_to_R2,2,hard,1091,640,406,179,93,46,-313,0.6344,0.5196
full94,g0_R3_R4_to_R2,2,easy,725,663,0,8,2,3,2,0.0,0.25
full94,g0_R2_to_R3,1,hard,1096,264,0,645,0,1,0,0.0,0.0
full94,g0_R2_to_R3,1,easy,741,644,0,7,0,0,0,0.0,0.0
full94,g0_R2_to_R4,1,hard,1095,421,0,559,0,0,0,0.0,0.0
full94,g0_R2_to_R4,1,easy,758,393,0,94,0,0,0,0.0,0.0
full94,g0_R3_to_R2,1,hard,1091,244,2,635,0,1,-2,0.0082,0.0
full94,g0_R3_to_R2,1,easy,725,665,0,10,0,0,0,0.0,0.0
full94,g0_R3_to_R4,1,hard,1095,206,1,696,0,0,-1,0.0049,0.0
full94,g0_R3_to_R4,1,easy,758,676,0,26,0,0,0,0.0,0.0
full94,g0_R4_to_R2,1,hard,1091,663,0,273,2,0,2,0.0,0.0073
full94,g0_R4_to_R2,1,easy,725,317,0,101,1,0,1,0.0,0.0099
full94,g0_R4_to_R3,1,hard,1096,109,0,796,3,0,3,0.0,0.0038
full94,g0_R4_to_R3,1,easy,741,571,0,13,0,0,0,0.0,0.0
strict59_ra,g0_R2_R3_to_R4,2,hard,1095,776,31,144,1,6,-30,0.0399,0.0069
strict59_ra,g0_R2_R3_to_R4,2,easy,758,530,0,122,42,0,42,0.0,0.3443
strict59_ra,g0_R2_R4_to_R3,2,hard,1096,841,1,102,0,0,-1,0.0012,0.0
strict59_ra,g0_R2_R4_to_R3,2,easy,741,513,0,86,5,0,5,0.0,0.0581
strict59_ra,g0_R3_R4_to_R2,2,hard,1091,876,23,93,0,3,-23,0.0263,0.0
strict59_ra,g0_R3_R4_to_R2,2,easy,725,521,0,77,9,1,9,0.0,0.1169
strict59_ra,g0_R2_to_R3,1,hard,1096,824,0,126,0,0,0,0.0,0.0
strict59_ra,g0_R2_to_R3,1,easy,741,400,0,146,0,0,0,0.0,0.0
strict59_ra,g0_R2_to_R4,1,hard,1095,751,2,166,0,0,-2,0.0027,0.0
strict59_ra,g0_R2_to_R4,1,easy,758,472,0,144,0,0,0,0.0,0.0
strict59_ra,g0_R3_to_R2,1,hard,1091,830,0,107,0,0,0,0.0,0.0
strict59_ra,g0_R3_to_R2,1,easy,725,467,0,108,0,0,0,0.0,0.0
strict59_ra,g0_R3_to_R4,1,hard,1095,716,0,175,0,0,0,0.0,0.0
strict59_ra,g0_R3_to_R4,1,easy,758,438,0,214,0,0,0,0.0,0.0
strict59_ra,g0_R4_to_R2,1,hard,1091,833,0,101,0,0,0,0.0,0.0
strict59_ra,g0_R4_to_R2,1,easy,725,525,0,83,0,0,0,0.0,0.0
strict59_ra,g0_R4_to_R3,1,hard,1096,793,2,113,0,0,-2,0.0025,0.0
strict59_ra,g0_R4_to_R3,1,easy,741,459,0,176,1,0,1,0.0,0.0057
