task,n_sources,n_classes,cluster_size,cluster,severity_src_oof_rf_H,target_H_best_base,target_H_stacking,gap_H,n_consensus_correct_H,n_override_H,override_rate_H,n_consensus_correct_E,n_override_E,override_rate_E
g0_R2_R3_R4_to_R5,3,5,3,Light_T1|Light_XM|Sensor,0.551784,0.540385,0.562241,0.021856,495,34,0.068687,640,0,0.0
g0_R2_R3_R4_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.650328,0.722956,0.619496,-0.10346,914,185,0.202407,395,0,0.0
g0_R2_R3_R4_to_R7,3,5,3,Light_T1|Light_XM|Sensor,0.551784,0.720785,0.559816,-0.160968,730,226,0.309589,764,0,0.0
g0_R2_R3_R5_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.421939,0.527554,0.143699,-0.383856,598,566,0.946488,702,0,0.0
g0_R2_R3_R5_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.551903,0.581011,0.330926,-0.250085,704,510,0.724432,395,0,0.0
g0_R2_R3_R5_to_R7,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.551903,0.593145,0.318512,-0.274633,863,580,0.672074,406,0,0.0
g0_R2_R3_R6_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.49063,0.729076,0.629409,-0.099667,728,189,0.259615,729,0,0.0
g0_R2_R3_R6_to_R5,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.581402,0.622588,0.672518,0.04993,782,87,0.111253,363,0,0.0
g0_R2_R3_R6_to_R7,3,5,3,Light_T1|Light_XM|Sensor,0.49063,0.775465,0.527476,-0.247989,835,330,0.39521,780,0,0.0
g0_R2_R3_R7_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.504825,0.719504,0.674892,-0.044612,722,113,0.15651,746,0,0.0
g0_R2_R3_R7_to_R5,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.587732,0.635542,0.668443,0.0329,747,48,0.064257,363,0,0.0
g0_R2_R3_R7_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.587732,0.771089,0.656083,-0.115006,1006,187,0.185885,395,0,0.0
g0_R2_R3_to_R4,2,5,3,Light_T1|Light_XM|Sensor,0.283772,0.464354,0.090361,-0.373993,535,533,0.996262,701,0,0.0
g0_R2_R3_to_R5,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.446632,0.581156,0.579553,-0.001603,696,177,0.25431,363,0,0.0
g0_R2_R3_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.446632,0.534034,0.262931,-0.271102,705,556,0.788652,395,0,0.0
g0_R2_R3_to_R7,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.446632,0.522188,0.282715,-0.239473,681,542,0.795888,406,0,0.0
g0_R2_R4_R5_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.541525,0.511757,0.57638,0.064623,375,13,0.034667,737,0,0.0
g0_R2_R4_R5_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.633523,0.561322,0.54754,-0.013782,870,78,0.089655,395,0,0.0
g0_R2_R4_R5_to_R7,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.633523,0.589773,0.647185,0.057412,995,83,0.083417,406,0,0.0
g0_R2_R4_R6_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.624152,0.481982,0.40025,-0.081732,403,23,0.057072,739,0,0.0
g0_R2_R4_R6_to_R5,3,5,3,Light_T1|Light_XM|Sensor,0.624152,0.485386,0.366252,-0.119134,303,20,0.066007,695,0,0.0
g0_R2_R4_R6_to_R7,3,5,3,Light_T1|Light_XM|Sensor,0.624152,0.800979,0.722412,-0.078568,847,91,0.107438,787,0,0.0
g0_R2_R4_R7_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.65625,0.486857,0.414709,-0.072148,423,31,0.073286,738,0,0.0
g0_R2_R4_R7_to_R5,3,5,3,Light_T1|Light_XM|Sensor,0.65625,0.479003,0.356962,-0.122041,304,16,0.052632,693,0,0.0
g0_R2_R4_R7_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.716498,0.751575,0.694096,-0.057479,990,94,0.094949,395,0,0.0
g0_R2_R4_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.514775,0.369165,0.180041,-0.189123,297,210,0.707071,737,0,0.0
g0_R2_R4_to_R5,2,5,3,Light_T1|Light_XM|Sensor,0.514775,0.423494,0.275758,-0.147736,283,57,0.201413,688,0,0.0
g0_R2_R4_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.592738,0.532899,0.32709,-0.205808,716,336,0.469274,395,0,0.0
g0_R2_R4_to_R7,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.592738,0.577902,0.375418,-0.202485,904,354,0.391593,406,0,0.0
g0_R2_R5_R6_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.442716,0.649909,0.560773,-0.089136,546,141,0.258242,736,0,0.0
g0_R2_R5_R6_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.442716,0.735884,0.572016,-0.163869,719,223,0.310153,734,0,0.0
g0_R2_R5_R6_to_R7,3,5,3,Light_T1|Light_XM|Sensor,0.442716,0.793728,0.498851,-0.294877,837,318,0.379928,783,0,0.0
g0_R2_R5_R7_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.464541,0.625889,0.648301,0.022413,529,64,0.120983,736,0,0.0
g0_R2_R5_R7_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.464541,0.75316,0.657189,-0.095972,741,155,0.209177,740,0,0.0
g0_R2_R5_R7_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.534042,0.756607,0.595331,-0.161276,1012,224,0.221344,395,0,0.0
g0_R2_R5_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.454064,0.376059,0.419257,0.043198,288,2,0.006944,694,0,0.0
g0_R2_R5_to_R4,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.530035,0.519753,0.384527,-0.135226,654,97,0.148318,368,0,0.0
g0_R2_R5_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.530035,0.108966,0.110504,0.001538,406,1,0.002463,395,0,0.0
g0_R2_R5_to_R7,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.530035,0.106985,0.106135,-0.00085,398,0,0.0,406,0,0.0
g0_R2_R6_R7_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.701386,0.514608,0.42337,-0.091238,424,0,0.0,736,0,0.0
g0_R2_R6_R7_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.701386,0.757596,0.749491,-0.008105,698,0,0.0,747,2,0.002677
g0_R2_R6_R7_to_R5,3,5,3,Light_T1|Light_XM|Sensor,0.701386,0.514284,0.368617,-0.145667,355,0,0.0,676,22,0.032544
g0_R2_R6_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.378431,0.42097,0.437991,0.017021,325,0,0.0,735,21,0.028571
g0_R2_R6_to_R4,2,5,3,Light_T1|Light_XM|Sensor,0.378431,0.69094,0.638487,-0.052453,614,204,0.332248,739,20,0.027064
g0_R2_R6_to_R5,2,5,3,Light_T1|Light_XM|Sensor,0.378431,0.401702,0.323752,-0.07795,357,1,0.002801,665,94,0.141353
g0_R2_R6_to_R7,2,5,3,Light_T1|Light_XM|Sensor,0.378431,0.781205,0.572742,-0.208463,828,248,0.299517,783,8,0.010217
g0_R2_R7_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.415318,0.423153,0.437394,0.014242,396,5,0.012626,731,1,0.001368
g0_R2_R7_to_R4,2,5,3,Light_T1|Light_XM|Sensor,0.415318,0.727404,0.6337,-0.093704,672,227,0.337798,738,5,0.006775
g0_R2_R7_to_R5,2,5,3,Light_T1|Light_XM|Sensor,0.415318,0.391493,0.399133,0.00764,306,0,0.0,697,83,0.119082
g0_R2_R7_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.427962,0.73877,0.519397,-0.219373,948,309,0.325949,395,0,0.0
g0_R2_to_R3,1,5,3,Light_T1|Light_XM|Sensor,0.929139,0.271639,0.255102,-0.016537,264,0,0.0,644,0,0.0
g0_R2_to_R4,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.945481,0.484899,0.319504,-0.165395,462,0,0.0,352,0,0.0
g0_R2_to_R5,1,5,3,Light_T1|Light_XM|Sensor,0.929139,0.31826,0.294397,-0.023862,280,0,0.0,674,0,0.0
g0_R2_to_R6,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.945481,0.103947,0.101351,-0.002595,405,0,0.0,392,0,0.0
g0_R2_to_R7,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.945481,0.100453,0.100453,0.0,399,0,0.0,403,0,0.0
g0_R3_R4_R5_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.461584,0.718369,0.556802,-0.161567,704,246,0.349432,707,0,0.0
g0_R3_R4_R5_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.563612,0.694597,0.532637,-0.16196,811,309,0.381011,395,0,0.0
g0_R3_R4_R5_to_R7,3,5,3,Light_T1|Light_XM|Sensor,0.461584,0.689062,0.459764,-0.229299,606,336,0.554455,772,0,0.0
g0_R3_R4_R6_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.476758,0.759204,0.72053,-0.038674,657,106,0.161339,703,0,0.0
g0_R3_R4_R6_to_R5,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.588073,0.566555,0.637709,0.071154,765,90,0.117647,363,0,0.0
