fs,unit,kind,group,n,margin,mode,mode_correct
full94,pos_R5,single,Camera,363,0.7382920110192838,Camera,1
full94,pos_R5,single,Light_T1,365,0.1232876712328767,Light_XM,0
full94,pos_R5,single,Light_XM,363,0.6749311294765841,Light_XM,1
full94,pos_R5,single,Sensor,362,0.425414364640884,Sensor,1
full94,pos_R5,single,Socket,363,1.0,Socket,1
full94,pos_R5,merged,Camera+Light_T1,728,0.15521978021978022,Camera,1
full94,pos_R5,merged,Camera+Light_XM,726,0.03856749311294766,Light_XM,1
full94,pos_R5,merged,Camera+Sensor,725,0.06068965517241376,Camera,1
full94,pos_R5,merged,Camera+Socket,726,0.08677685950413222,Socket,1
full94,pos_R5,merged,Light_T1+Light_XM,728,0.4340659340659341,Light_XM,1
full94,pos_R5,merged,Light_T1+Sensor,727,0.23246217331499314,Sensor,1
full94,pos_R5,merged,Light_T1+Socket,728,0.2802197802197802,Socket,1
full94,pos_R5,merged,Light_XM+Sensor,725,0.11310344827586205,Light_XM,1
full94,pos_R5,merged,Light_XM+Socket,726,0.08677685950413222,Socket,1
full94,pos_R5,merged,Sensor+Socket,725,0.16827586206896555,Socket,1
full94,jit_R6,single,Camera,399,0.5388471177944862,Camera,1
full94,jit_R6,single,Light_T1,394,0.5126903553299493,Light_T1,1
full94,jit_R6,single,Light_XM,395,0.2658227848101266,Light_XM,1
full94,jit_R6,single,Sensor,405,0.5950617283950617,Sensor,1
full94,jit_R6,single,Socket,395,1.0,Socket,1
full94,jit_R6,merged,Camera+Light_T1,793,0.02143757881462799,Camera,1
full94,jit_R6,merged,Camera+Light_XM,794,0.04408060453400503,Camera,1
full94,jit_R6,merged,Camera+Sensor,804,0.11442786069651745,Sensor,1
full94,jit_R6,merged,Camera+Socket,794,0.13727959697732994,Socket,1
full94,jit_R6,merged,Light_T1+Light_XM,789,0.13561470215462607,Light_T1,1
full94,jit_R6,merged,Light_T1+Sensor,799,0.04881101376720903,Sensor,1
full94,jit_R6,merged,Light_T1+Socket,789,0.1634980988593156,Socket,1
full94,jit_R6,merged,Light_XM+Sensor,800,0.12624999999999997,Sensor,1
full94,jit_R6,merged,Light_XM+Socket,790,0.21392405063291137,Socket,1
full94,jit_R6,merged,Sensor+Socket,800,0.10750000000000004,Socket,1
full94,jit_R7,single,Camera,398,0.8567839195979899,Camera,1
full94,jit_R7,single,Light_T1,396,0.5833333333333334,Light_T1,1
full94,jit_R7,single,Light_XM,394,0.47715736040609136,Light_XM,1
full94,jit_R7,single,Sensor,399,0.631578947368421,Sensor,1
full94,jit_R7,single,Socket,406,1.0,Socket,1
full94,jit_R7,merged,Camera+Light_T1,794,0.07934508816120905,Camera,1
full94,jit_R7,merged,Camera+Light_XM,792,0.10732323232323232,Camera,1
full94,jit_R7,merged,Camera+Sensor,797,0.04015056461731492,Camera,1
full94,jit_R7,merged,Camera+Socket,804,0.05597014925373134,Socket,1
full94,jit_R7,merged,Light_T1+Light_XM,790,0.054430379746835456,Light_T1,1
full94,jit_R7,merged,Light_T1+Sensor,795,0.015094339622641506,Sensor,1
full94,jit_R7,merged,Light_T1+Socket,802,0.14713216957605985,Socket,1
full94,jit_R7,merged,Light_XM+Sensor,793,0.052963430012610335,Sensor,1
full94,jit_R7,merged,Light_XM+Socket,800,0.16749999999999993,Socket,1
full94,jit_R7,merged,Sensor+Socket,805,0.12049689440993788,Socket,1
strict59,pos_R5,single,Camera,363,0.1294765840220386,Camera,1
strict59,pos_R5,single,Light_T1,365,0.1671232876712329,Light_T1,1
strict59,pos_R5,single,Light_XM,363,0.71900826446281,Light_XM,1
strict59,pos_R5,single,Sensor,362,0.6933701657458564,Sensor,1
strict59,pos_R5,single,Socket,363,1.0,Socket,1
strict59,pos_R5,merged,Camera+Light_T1,728,0.10164835164835162,Light_T1,1
strict59,pos_R5,merged,Camera+Light_XM,726,0.22038567493112945,Light_XM,1
strict59,pos_R5,merged,Camera+Sensor,725,0.31448275862068964,Sensor,1
strict59,pos_R5,merged,Camera+Socket,726,0.290633608815427,Socket,1
strict59,pos_R5,merged,Light_T1+Light_XM,728,0.13736263736263737,Light_XM,1
strict59,pos_R5,merged,Light_T1+Sensor,727,0.2613480055020633,Sensor,1
strict59,pos_R5,merged,Light_T1+Socket,728,0.24725274725274726,Socket,1
strict59,pos_R5,merged,Light_XM+Sensor,725,0.026206896551724146,Light_XM,1
strict59,pos_R5,merged,Light_XM+Socket,726,0.08126721763085398,Socket,1
strict59,pos_R5,merged,Sensor+Socket,725,0.09517241379310348,Socket,1
strict59,jit_R6,single,Camera,399,0.002506265664160401,Light_T1,0
strict59,jit_R6,single,Light_T1,394,0.5456852791878173,Light_T1,1
strict59,jit_R6,single,Light_XM,395,0.24303797468354427,Light_XM,1
strict59,jit_R6,single,Sensor,405,0.6987654320987655,Sensor,1
strict59,jit_R6,single,Socket,395,1.0,Socket,1
strict59,jit_R6,merged,Camera+Light_T1,793,0.3556116015132409,Light_T1,1
strict59,jit_R6,merged,Camera+Light_XM,794,0.05163727959697734,Light_T1,0
strict59,jit_R6,merged,Camera+Sensor,804,0.26865671641791045,Sensor,1
strict59,jit_R6,merged,Camera+Socket,794,0.3073047858942065,Socket,1
strict59,jit_R6,merged,Light_T1+Light_XM,789,0.21799746514575408,Light_T1,1
strict59,jit_R6,merged,Light_T1+Sensor,799,0.08510638297872342,Sensor,1
strict59,jit_R6,merged,Light_T1+Socket,789,0.13307984790874527,Socket,1
strict59,jit_R6,merged,Light_XM+Sensor,800,0.20999999999999996,Sensor,1
strict59,jit_R6,merged,Light_XM+Socket,790,0.2329113924050633,Socket,1
strict59,jit_R6,merged,Sensor+Socket,800,0.07625000000000004,Socket,1
strict59,jit_R7,single,Camera,398,0.585427135678392,Camera,1
strict59,jit_R7,single,Light_T1,396,0.6414141414141414,Light_T1,1
strict59,jit_R7,single,Light_XM,394,0.583756345177665,Light_XM,1
strict59,jit_R7,single,Sensor,399,0.681704260651629,Sensor,1
strict59,jit_R7,single,Socket,406,1.0,Socket,1
strict59,jit_R7,merged,Camera+Light_T1,794,0.0730478589420655,Light_T1,1
strict59,jit_R7,merged,Camera+Light_XM,792,0.012626262626262597,Camera,1
strict59,jit_R7,merged,Camera+Sensor,797,0.0903387703889586,Sensor,1
strict59,jit_R7,merged,Camera+Socket,804,0.14925373134328357,Socket,1
strict59,jit_R7,merged,Light_T1+Light_XM,790,0.06708860759493668,Light_T1,1
strict59,jit_R7,merged,Light_T1+Sensor,795,0.02264150943396226,Sensor,1
strict59,jit_R7,merged,Light_T1+Socket,802,0.12468827930174564,Socket,1
strict59,jit_R7,merged,Light_XM+Sensor,793,0.060529634300126145,Sensor,1
strict59,jit_R7,merged,Light_XM+Socket,800,0.15124999999999994,Socket,1
strict59,jit_R7,merged,Sensor+Socket,805,0.10807453416149065,Socket,1
