task,class,f1_rf,f1_xgb,f1_lgb,f1_spread,w_rf,w_xgb,w_lgb,best_f1_model,heaviest_w_model,aligned
g0_R2_R3_to_R4,Camera,0.922865,0.939435,0.937838,0.01657,0.7532,0.2007,0.0462,xgboost,rf,False
g0_R2_R3_to_R4,Light_T1,0.54039,0.526212,0.544916,0.018704,1.0,0.0,0.0,lightgbm,rf,False
g0_R2_R3_to_R4,Light_XM,0.046632,0.045685,0.055,0.009315,0.6998,0.2989,0.0013,lightgbm,rf,False
g0_R2_R3_to_R4,Sensor,0.786172,0.798054,0.793146,0.011882,1.0,0.0,0.0,xgboost,rf,False
g0_R2_R3_to_R4,Socket,1.0,1.0,1.0,0.0,0.3531,0.2419,0.4049,rf,lightgbm,False
g0_R2_R4_to_R3,Camera,0.967914,0.930769,0.939198,0.037145,0.9359,0.0641,0.0,rf,rf,True
g0_R2_R4_to_R3,Light_T1,0.225641,0.113055,0.142259,0.112586,0.9046,0.0954,0.0,rf,rf,True
g0_R2_R4_to_R3,Light_XM,0.624277,0.59743,0.608163,0.026847,0.9728,0.0272,0.0,rf,rf,True
g0_R2_R4_to_R3,Sensor,0.257576,0.025862,0.075388,0.231714,0.8248,0.0795,0.0957,rf,rf,True
g0_R2_R4_to_R3,Socket,0.998672,0.998672,0.998672,0.0,0.3949,0.2096,0.3955,rf,lightgbm,False
g0_R3_R4_to_R2,Camera,0.946454,0.946609,0.957265,0.010811,0.6718,0.1973,0.1309,lightgbm,rf,False
g0_R3_R4_to_R2,Light_T1,0.650146,0.515498,0.541401,0.134648,1.0,0.0,0.0,rf,rf,True
g0_R3_R4_to_R2,Light_XM,0.765789,0.748092,0.763021,0.017698,0.7794,0.0328,0.1878,rf,rf,True
g0_R3_R4_to_R2,Sensor,0.686606,0.665848,0.705446,0.039598,0.7285,0.1472,0.1243,lightgbm,rf,False
g0_R3_R4_to_R2,Socket,1.0,1.0,1.0,0.0,0.3239,0.3392,0.3369,rf,xgboost,False
