task,class,group,corr_rf,corr_xgb,corr_lgb
g0_R2_R3_to_R4,Camera,易,0.9802103006985696,0.995801169060378,0.9921301921594854
g0_R2_R3_to_R4,Light_T1,困难,-0.1390430151242106,-0.33159044896670486,-0.3600140890843428
g0_R2_R3_to_R4,Light_XM,困难,0.7037810271819266,0.6222757622462897,0.5606333755193775
g0_R2_R3_to_R4,Sensor,困难,-0.17363799821545958,-0.36825064573133803,-0.40215138809670853
g0_R2_R3_to_R4,Socket,易,0.9993394683697772,0.999859678337616,0.9999931807249689
g0_R2_R4_to_R3,Camera,易,0.9654429876668004,0.9740379715303885,0.9499476730382209
g0_R2_R4_to_R3,Light_T1,困难,0.921550437123058,0.7138413842521912,0.6128604581892658
g0_R2_R4_to_R3,Light_XM,困难,0.6097610335653039,0.4964729833317862,0.43984602557662594
g0_R2_R4_to_R3,Sensor,困难,0.3115410642640232,0.3155486100743774,0.2606905747942478
g0_R2_R4_to_R3,Socket,易,0.9944503798318902,0.999657178826293,0.9997089477341297
g0_R3_R4_to_R2,Camera,易,0.9598919185653202,0.9656352252326095,0.9767787833497455
g0_R3_R4_to_R2,Light_T1,困难,0.2906245730163885,-0.007346489601475824,-0.04034900057891821
g0_R3_R4_to_R2,Light_XM,困难,0.0871113977567513,-0.0407287463102299,-0.06916133155721038
g0_R3_R4_to_R2,Sensor,困难,0.8408961962991567,0.7513652197735244,0.7101923108950302
g0_R3_R4_to_R2,Socket,易,0.9998805046223788,0.9998930635762775,0.9999512584606236
