feature,importance
rssi_min,2818
len_max,2184
rssi_max,1970
rssi_p10,1792
rssi_std,1621
burst_count,1445
rssi_p90,1384
down_ia_std,1332
down_len_std,1220
interarrival_max,1155
retry_ratio,975
down_ia_mean,840
long_gap_ratio,835
rssi_mean,819
interarrival_p50,791
len_p10,786
len_p90,776
interarrival_p75,775
rssi_p50,728
other_packet_ratio,708
subwin_packet_cv,705
subtype_8_ratio,699
interarrival_p90,679
down_packet_ratio,652
len_p25,629
len_range,625
interarrival_p95,603
len_cv,595
burst_packet_ratio,583
len_p95,579
interarrival_p25,544
down_len_mean,536
interarrival_std,522
interarrival_iqr,512
interarrival_cv,492
unique_sa_count,476
burst_size_std,467
down_len_p50,456
len_iqr,442
len_mean,440
len_std,429
up_packet_ratio,416
len_min,412
interarrival_p10,391
packet_count,387
byte_count,382
subtype_0_ratio,377
len_p75,375
burst_size_mean,341
interarrival_mean,334
burst_size_min,293
unique_da_count,286
len_p50,274
subtype_4_ratio,266
burst_size_max,253
subwin_byte_std,232
len_up_down_diff,227
subwin_packet_std,214
interarrival_min,207
null_data_ratio,181
subwin_byte_max,173
up_ia_mean,133
active_subwin_count,116
data_ratio,93
up_down_ratio,77
up_len_mean,63
subwin_packet_max,60
subtype_5_ratio,39
up_ia_std,23
mgmt_ratio,10
subwin_packet_min,7
subwin_byte_min,5
ctrl_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
subtype_7_ratio,0
up_len_std,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_len_p50,0
subwin_packet_mean,0
subwin_byte_mean,0
