feature,importance
rssi_min,0.06762129990388982
rssi_std,0.06469272192109793
len_max,0.04678727578468493
rssi_max,0.03711985327056465
rssi_p10,0.03629404880423627
up_packet_ratio,0.0318214488988397
up_ia_std,0.028783066408735184
rssi_p90,0.028081195726493584
up_ia_mean,0.026049853833883252
up_len_p50,0.025693093211843467
up_len_mean,0.025020376802463152
len_p95,0.02351170579920163
len_range,0.021356178468847978
up_down_ratio,0.021289790497389032
len_p10,0.020902574841721897
down_len_std,0.02004683623081805
rssi_p50,0.01936771606637273
rssi_mean,0.018040482328248092
burst_count,0.017386066718518108
down_packet_ratio,0.01691968852349306
null_data_ratio,0.015790835101854722
len_p90,0.0157200154528671
len_p25,0.015315688432723702
other_packet_ratio,0.01497114994696769
down_ia_std,0.01256112112927636
subtype_4_ratio,0.011935548813265482
subtype_8_ratio,0.011907771574108803
len_cv,0.01107744397545832
qos_data_ratio,0.010995104587097121
len_up_down_diff,0.010455646640426988
interarrival_p75,0.010287940624139331
len_std,0.010181518825845191
down_ia_mean,0.009902392710470692
unique_da_count,0.009809279345302272
interarrival_iqr,0.009805291560294483
down_len_mean,0.009483104227905978
interarrival_p90,0.009122901317156859
len_mean,0.008915964232440586
len_min,0.0088113390505916
byte_count,0.007998474988114993
burst_packet_fraction,0.00771175192469245
burst_packet_ratio,0.007491478668957423
subwin_byte_mean,0.007481463524999912
interarrival_max,0.007090961391814599
interarrival_p50,0.006927389152378747
subtype_0_ratio,0.006732172669982073
len_p50,0.006680732219398838
interarrival_std,0.0064281896974657075
subwin_packet_mean,0.006365371230873124
packet_count,0.006343710843559781
len_p75,0.006297794917309995
burst_size_mean,0.0062396150649051425
interarrival_p95,0.006135362202932988
interarrival_mean,0.005926910992887633
subwin_byte_max,0.005807025418144684
down_len_p50,0.005774684291777028
subwin_byte_std,0.005632236412742603
burst_size_std,0.005615803641967813
retry_ratio,0.005466480620510178
len_iqr,0.005395870771211747
long_gap_ratio,0.005290157669379425
subwin_packet_std,0.00528120282485166
interarrival_cv,0.0050994141469014095
subwin_packet_cv,0.004949758027987176
unique_sa_count,0.004723333312676934
subwin_packet_max,0.004595191065380609
burst_size_max,0.004416571734393432
interarrival_p25,0.004210033578766824
interarrival_p10,0.003252406179161144
interarrival_min,0.002925621927266439
burst_size_min,0.0018268879012022627
active_subwin_count,0.0017453799585773865
subwin_byte_min,0.0005713006722200289
subwin_packet_min,0.00040721339852896565
data_ratio,0.00037568983782729475
mgmt_ratio,0.0003458594346223585
subtype_5_ratio,0.00030470818639944134
side_packet_ratio,0.00029746635362356844
subtype_13_ratio,2.9915540703334997e-06
ctrl_ratio,0.0
subtype_6_ratio,0.0
subtype_7_ratio,0.0
subtype_14_ratio,0.0
subtype_15_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
up_len_std,0.0
bssid_known,0.0
