feature,importance
rssi_min,0.10156600144796578
rssi_std,0.07597853479076601
rssi_p10,0.05677329369362386
rssi_max,0.04948149758715724
rssi_p90,0.041880954569741995
len_max,0.04099342826800217
up_packet_ratio,0.03181683783118291
up_ia_std,0.02920949331502541
rssi_p50,0.027851014586171022
up_ia_mean,0.02697728743429927
up_len_p50,0.02466718406214765
len_p95,0.024481616676247993
up_len_mean,0.023721273237087663
rssi_mean,0.02251332554983045
up_down_ratio,0.02060671183268478
len_range,0.018902923826903676
len_p10,0.017991662187946574
down_len_std,0.01753783520272918
null_data_ratio,0.016458531536433632
len_p90,0.016017731033470466
len_p25,0.014240504066503118
subtype_8_ratio,0.01240368170261168
subtype_4_ratio,0.012242219192626578
burst_count,0.011467108066031054
qos_data_ratio,0.010893854773266883
interarrival_iqr,0.010880110603610927
interarrival_p75,0.010721151702278367
down_packet_ratio,0.010407764925821815
len_std,0.009488567534561348
down_ia_std,0.009013668222256343
len_up_down_diff,0.00894294445672393
len_cv,0.008567579179701376
down_ia_mean,0.008550599284583389
other_packet_ratio,0.008371364975319076
len_mean,0.007778398315818222
down_len_mean,0.0073736128936114885
interarrival_p50,0.006952237478107697
interarrival_std,0.006750625725977101
len_p50,0.006713419937852615
interarrival_max,0.0061967921560001585
byte_count,0.005757819273619143
subwin_byte_mean,0.005426159485304873
len_p75,0.0050478270266698655
interarrival_p90,0.005001916064532104
subwin_packet_mean,0.004951594648255552
interarrival_mean,0.004859683376795659
packet_count,0.004854086885006154
unique_da_count,0.00473438538334673
down_len_p50,0.004683063403736454
retry_ratio,0.004558873792987099
subwin_byte_std,0.0045452946162908145
subwin_byte_max,0.004502860408176714
len_min,0.004365940295793536
burst_packet_ratio,0.004275935068698258
len_iqr,0.004202359213462882
burst_packet_fraction,0.004198672044885841
subtype_0_ratio,0.004160645563687474
interarrival_p25,0.003772498983639421
burst_size_std,0.003758887481915537
burst_size_mean,0.0037150233565519347
interarrival_p95,0.003628663255797611
subwin_packet_std,0.0035473707015590676
long_gap_ratio,0.003501922794245783
interarrival_cv,0.003402847698065532
subwin_packet_cv,0.003332475265580613
unique_sa_count,0.003088163746644947
burst_size_max,0.0030118041247573436
subwin_packet_max,0.0030099884658778713
interarrival_p10,0.0029193640612354176
interarrival_min,0.0023417535298539283
active_subwin_count,0.001004692787418794
burst_size_min,0.0007486823065376559
mgmt_ratio,0.00032977849170499505
data_ratio,0.00028849997898084767
side_packet_ratio,0.0002858864936658137
subtype_5_ratio,0.0002795253538623126
subwin_packet_min,0.00026124608999896057
subwin_byte_min,0.0002543396142591221
subtype_13_ratio,6.125003916356492e-06
ctrl_ratio,0.0
subtype_6_ratio,0.0
subtype_7_ratio,0.0
subtype_14_ratio,0.0
subtype_15_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
up_len_std,0.0
bssid_known,0.0
