feature,importance
rssi_max,3478
rssi_min,2781
rssi_p90,2701
rssi_std,2617
interarrival_max,2166
rssi_p50,2146
rssi_p10,2133
len_max,2119
rssi_mean,1546
retry_ratio,1536
other_packet_ratio,1437
down_len_std,1428
len_p10,1328
interarrival_p90,1253
subwin_packet_cv,1189
down_ia_std,1116
interarrival_p95,1091
burst_count,1055
interarrival_p50,1031
down_packet_ratio,1015
interarrival_p75,1010
len_iqr,994
len_p95,979
interarrival_cv,912
subtype_8_ratio,903
len_range,893
len_cv,856
len_p90,848
len_p25,834
interarrival_std,812
down_ia_mean,792
len_std,779
long_gap_ratio,737
interarrival_p25,729
len_p75,719
down_len_mean,695
burst_size_mean,669
interarrival_min,652
interarrival_p10,648
subtype_0_ratio,635
packet_count,630
down_len_p50,628
burst_packet_ratio,619
byte_count,610
len_min,581
interarrival_mean,580
burst_size_std,550
interarrival_iqr,539
len_mean,531
subwin_packet_std,507
len_p50,445
up_packet_ratio,426
unique_sa_count,403
unique_da_count,398
len_up_down_diff,331
subwin_byte_max,323
subwin_byte_std,311
burst_size_min,266
null_data_ratio,254
subtype_4_ratio,240
burst_size_max,238
subwin_packet_max,230
active_subwin_count,200
subwin_byte_min,124
subtype_5_ratio,56
up_len_mean,34
subwin_packet_min,33
up_down_ratio,21
data_ratio,21
mgmt_ratio,8
up_ia_std,1
up_ia_mean,1
ctrl_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
subtype_7_ratio,0
up_len_std,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_len_p50,0
subwin_packet_mean,0
subwin_byte_mean,0
