feature,importance
up_len_p50,0.35114276
up_len_mean,0.2708472
up_ia_mean,0.084463425
up_packet_ratio,0.058039483
up_down_ratio,0.02296358
rssi_min,0.020081287
len_max,0.018667217
down_packet_ratio,0.011518428
subtype_8_ratio,0.010985203
qos_data_ratio,0.010663585
rssi_std,0.009747957
rssi_max,0.008618543
burst_count,0.0071401945
len_up_down_diff,0.006986265
up_ia_std,0.006113182
other_packet_ratio,0.0052513797
mgmt_ratio,0.004238094
len_p95,0.0032276323
data_ratio,0.0031364812
len_p10,0.00293294
len_range,0.0027776984
len_min,0.002767941
rssi_p50,0.0027417743
rssi_p90,0.0027225942
rssi_p10,0.0025154038
interarrival_p75,0.0024725683
down_len_std,0.0022474227
subtype_0_ratio,0.0022091886
unique_da_count,0.0021574185
rssi_mean,0.0021099204
subtype_5_ratio,0.00210574
interarrival_iqr,0.0020035286
long_gap_ratio,0.0019159694
unique_sa_count,0.0018966501
down_ia_std,0.0017492383
interarrival_max,0.0017326648
down_len_p50,0.0017158991
burst_size_min,0.001670655
down_ia_mean,0.001664576
subtype_4_ratio,0.0016320148
len_p90,0.001615711
interarrival_p90,0.0016069686
burst_packet_ratio,0.0016043489
packet_count,0.0015746957
down_len_mean,0.0015508796
interarrival_p95,0.0014597374
burst_packet_fraction,0.0014528543
len_p75,0.0013793232
interarrival_std,0.0013787254
burst_size_mean,0.0013699881
retry_ratio,0.001349818
interarrival_mean,0.001304786
subwin_byte_std,0.0012688272
interarrival_p10,0.0011984945
len_mean,0.0011759717
active_subwin_count,0.0010967973
len_p50,0.0010878217
len_std,0.0010773102
interarrival_p50,0.0010569223
subwin_packet_min,0.001046487
len_p25,0.0010427639
byte_count,0.0010206052
interarrival_p25,0.0010104905
subwin_byte_min,0.0009434725
subwin_byte_max,0.000915437
subwin_packet_mean,0.00087461044
len_cv,0.0008716413
interarrival_cv,0.0008507797
null_data_ratio,0.0008386097
interarrival_min,0.000837297
len_iqr,0.0008252824
subwin_packet_cv,0.00081135234
subwin_packet_std,0.0007168955
subwin_packet_max,0.0006058221
burst_size_max,0.00056982064
burst_size_std,0.00055371976
subwin_byte_mean,0.00048138533
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
up_len_std,0.0
side_packet_ratio,0.0
bssid_known,0.0
