feature,importance
up_len_p50,0.30334663
up_len_mean,0.24828614
up_ia_mean,0.066911265
up_packet_ratio,0.061352286
up_down_ratio,0.043921974
rssi_min,0.031018665
rssi_max,0.022181956
len_max,0.019104907
rssi_p10,0.010621719
mgmt_ratio,0.0102324495
rssi_std,0.009975811
rssi_p90,0.009620375
burst_count,0.009099971
down_packet_ratio,0.0068992
data_ratio,0.0068278164
len_up_down_diff,0.006813613
len_p10,0.0066389334
qos_data_ratio,0.006282269
len_p95,0.0056066443
down_ia_mean,0.005466767
subtype_8_ratio,0.0052879825
rssi_mean,0.005222199
len_range,0.0050256387
unique_da_count,0.005016339
rssi_p50,0.0047658854
len_mean,0.004752159
len_p50,0.004115853
subtype_5_ratio,0.0039060323
other_packet_ratio,0.0035600814
subtype_0_ratio,0.0029154664
subwin_packet_mean,0.0028817926
subtype_4_ratio,0.002820379
down_ia_std,0.002579021
len_p25,0.002569327
down_len_mean,0.0024194717
interarrival_iqr,0.00234122
len_min,0.002307436
packet_count,0.0021701467
interarrival_std,0.002010764
interarrival_p75,0.0019127477
down_len_std,0.0018770838
down_len_p50,0.0018181591
burst_size_min,0.0017417377
interarrival_mean,0.0017383789
unique_sa_count,0.001649329
interarrival_min,0.0016348265
retry_ratio,0.001574704
interarrival_p10,0.0015575043
interarrival_p25,0.0014475504
interarrival_p90,0.0014235262
long_gap_ratio,0.0012819186
burst_packet_fraction,0.0012537081
up_ia_std,0.0012325089
burst_packet_ratio,0.001196451
interarrival_max,0.0011497088
len_p90,0.0011362466
len_iqr,0.001084909
interarrival_p95,0.0010838322
burst_size_max,0.0010690093
byte_count,0.0010469155
len_p75,0.001020893
active_subwin_count,0.0010145139
len_std,0.0009772372
burst_size_mean,0.00095149415
subwin_byte_std,0.0008894067
len_cv,0.0008654532
subwin_packet_std,0.000862827
interarrival_p50,0.00084203837
interarrival_cv,0.00080846035
subwin_packet_cv,0.0007859734
subwin_byte_min,0.000785623
null_data_ratio,0.0006436212
subwin_packet_max,0.0006144058
subwin_packet_min,0.0006122985
subwin_byte_max,0.0005806581
burst_size_std,0.00053534214
subwin_byte_mean,0.00042244038
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
up_len_std,0.0
side_packet_ratio,0.0
bssid_known,0.0
