feature,importance
rssi_max,2638
rssi_min,1430
len_max,1289
rssi_std,1163
down_ia_std,1096
rssi_mean,835
rssi_p10,791
down_packet_ratio,789
burst_count,758
down_len_std,697
interarrival_max,690
down_ia_mean,672
rssi_p90,656
len_cv,607
subtype_8_ratio,593
retry_ratio,558
len_p95,520
interarrival_p50,476
interarrival_cv,450
other_packet_ratio,433
up_packet_ratio,432
long_gap_ratio,426
rssi_p50,426
subwin_packet_cv,422
len_iqr,391
packet_count,388
interarrival_p10,381
len_p25,364
interarrival_p75,357
interarrival_p90,350
len_p90,349
unique_da_count,326
down_len_mean,325
interarrival_p95,308
len_p10,304
burst_packet_ratio,301
interarrival_std,298
len_std,296
subtype_0_ratio,276
byte_count,273
len_range,258
len_mean,250
subwin_packet_std,224
len_p75,224
len_p50,222
len_up_down_diff,205
interarrival_iqr,201
subwin_byte_max,192
subwin_byte_std,190
interarrival_mean,189
burst_size_mean,179
down_len_p50,171
unique_sa_count,171
subtype_4_ratio,170
interarrival_p25,164
len_min,157
burst_size_std,156
interarrival_min,156
subwin_packet_max,117
up_ia_std,116
burst_size_max,107
null_data_ratio,83
burst_size_min,60
up_len_mean,32
active_subwin_count,29
up_down_ratio,17
up_ia_mean,12
subwin_packet_min,5
data_ratio,0
mgmt_ratio,0
ctrl_ratio,0
subtype_7_ratio,0
subtype_5_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
up_len_std,0
up_len_p50,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
subwin_packet_mean,0
subwin_byte_mean,0
subwin_byte_min,0
