feature,importance
up_down_ratio,0.41049686
up_packet_ratio,0.21583422
burst_size_min,0.03076545
len_max,0.027340017
unique_da_count,0.019933362
rssi_max,0.01916136
rssi_std,0.017888138
subtype_8_ratio,0.016126918
len_min,0.011956891
down_packet_ratio,0.011056402
burst_count,0.010330669
other_packet_ratio,0.008573001
subtype_0_ratio,0.008377079
len_range,0.007866512
subtype_5_ratio,0.007170884
qos_data_ratio,0.006784674
rssi_min,0.0065363236
mgmt_ratio,0.006363025
len_p95,0.0060524247
unique_sa_count,0.00557394
data_ratio,0.00546195
rssi_p50,0.004987402
down_len_std,0.0047829407
interarrival_max,0.0044855434
packet_count,0.004324361
subtype_4_ratio,0.004200892
rssi_p90,0.0041216942
down_ia_mean,0.004073356
len_up_down_diff,0.0040102084
byte_count,0.0036276048
len_mean,0.0034487855
burst_packet_ratio,0.003277396
subwin_packet_std,0.003253684
len_p90,0.0032061646
subwin_packet_min,0.0031583388
interarrival_cv,0.0031576362
interarrival_std,0.0031560555
interarrival_p95,0.0030830714
len_std,0.0030719435
subwin_packet_mean,0.003006722
subwin_packet_max,0.0027578447
len_cv,0.0026811485
len_iqr,0.0026603395
down_ia_std,0.0026304284
rssi_p10,0.0025671553
burst_size_mean,0.0025181735
interarrival_iqr,0.002439373
len_p50,0.0024281673
burst_size_max,0.0024204564
subwin_byte_mean,0.0024183325
rssi_mean,0.0024151215
burst_packet_fraction,0.0023912294
interarrival_p90,0.00235314
down_len_mean,0.002306682
down_len_p50,0.00230227
len_p10,0.0022694927
len_p75,0.002210058
long_gap_ratio,0.0022065574
interarrival_p75,0.0021879142
subwin_byte_max,0.0020803711
interarrival_p25,0.00196722
interarrival_mean,0.0019208351
subwin_byte_std,0.0018533663
interarrival_min,0.0017837285
retry_ratio,0.0017497294
len_p25,0.001737556
burst_size_std,0.0017336656
subwin_packet_cv,0.0016707735
interarrival_p50,0.001659861
null_data_ratio,0.0015318881
subwin_byte_min,0.0014196712
interarrival_p10,0.0013576885
active_subwin_count,0.0012858047
ctrl_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
up_len_std,0.0
bssid_known,0.0
up_len_mean,0.0
side_packet_ratio,0.0
up_len_p50,0.0
up_ia_mean,0.0
up_ia_std,0.0
