feature,importance
rssi_min,2052
rssi_max,1873
rssi_p90,1803
rssi_p10,1597
rssi_std,1058
len_max,1051
rssi_p50,877
interarrival_p50,872
rssi_mean,712
len_p90,614
len_p95,564
retry_ratio,560
len_cv,527
subtype_8_ratio,512
down_packet_ratio,510
down_ia_mean,508
interarrival_p75,481
subwin_packet_cv,475
len_p10,474
interarrival_std,472
down_ia_std,447
interarrival_max,441
down_len_std,437
interarrival_p10,422
burst_count,357
subwin_byte_std,355
len_p25,353
other_packet_ratio,345
burst_packet_ratio,340
len_mean,327
interarrival_p25,319
long_gap_ratio,317
len_std,307
len_range,281
interarrival_p90,275
byte_count,274
burst_size_std,273
len_p50,262
down_len_mean,255
interarrival_mean,254
interarrival_cv,246
subwin_packet_std,233
up_packet_ratio,228
interarrival_min,228
len_iqr,223
interarrival_iqr,207
down_len_p50,189
subtype_4_ratio,188
subtype_0_ratio,185
subwin_byte_max,179
interarrival_p95,179
len_p75,173
packet_count,160
burst_size_mean,144
burst_size_max,93
subwin_packet_max,91
null_data_ratio,89
len_min,88
len_up_down_diff,84
unique_da_count,82
unique_sa_count,60
burst_size_min,53
active_subwin_count,46
data_ratio,14
up_len_mean,8
mgmt_ratio,5
subtype_5_ratio,5
up_ia_std,4
up_ia_mean,2
subwin_packet_min,1
ctrl_ratio,0
subtype_6_ratio,0
subtype_7_ratio,0
subtype_3_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_12_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
side_packet_ratio,0
up_len_std,0
up_len_p50,0
up_down_ratio,0
bssid_known,0
burst_packet_fraction,0
subwin_packet_mean,0
subwin_byte_mean,0
subwin_byte_min,0
