feature,importance
up_ia_mean,0.18177317
up_down_ratio,0.14593436
up_packet_ratio,0.12881815
up_ia_std,0.09795883
rssi_max,0.059392754
rssi_min,0.05752408
len_max,0.029255895
rssi_p90,0.024896821
rssi_std,0.016357148
len_p95,0.013365609
len_p25,0.012028513
len_up_down_diff,0.011689483
burst_size_std,0.010765851
len_p75,0.009033177
rssi_p10,0.008638335
down_packet_ratio,0.008578324
down_ia_mean,0.007791154
unique_sa_count,0.006997534
burst_count,0.0066691246
packet_count,0.0066126627
len_range,0.0065269517
qos_data_ratio,0.0060841967
len_min,0.0059436983
down_len_mean,0.005786566
len_p50,0.005623646
interarrival_iqr,0.0053177797
other_packet_ratio,0.005317214
down_len_std,0.0053066076
len_mean,0.0052923053
subtype_0_ratio,0.005004767
subwin_packet_max,0.004842153
subtype_8_ratio,0.0043355026
subtype_4_ratio,0.0043251133
rssi_p50,0.004262886
subwin_byte_std,0.0040251357
rssi_mean,0.0039161122
len_cv,0.0038396206
retry_ratio,0.003682744
interarrival_p75,0.003630127
interarrival_p50,0.0033162038
len_p10,0.0032661548
byte_count,0.0032413357
subwin_packet_mean,0.0031357792
mgmt_ratio,0.002988858
burst_size_min,0.0029376643
data_ratio,0.002898134
interarrival_p95,0.0027127413
down_ia_std,0.002588066
long_gap_ratio,0.002305865
null_data_ratio,0.0021858525
interarrival_min,0.0021307368
len_std,0.0020757816
interarrival_std,0.0020465236
interarrival_mean,0.0019911497
subwin_byte_max,0.001875413
len_iqr,0.001674665
burst_packet_ratio,0.0016200393
subwin_packet_std,0.0015486336
interarrival_p90,0.0015178539
burst_packet_fraction,0.0015074938
subwin_packet_cv,0.0014585189
subwin_byte_mean,0.0013700036
burst_size_max,0.0013615959
unique_da_count,0.001358156
interarrival_cv,0.0012624251
interarrival_p10,0.0010772125
active_subwin_count,0.0010222871
interarrival_max,0.0009233417
len_p90,0.0009014139
burst_size_mean,0.0008326081
interarrival_p25,0.00082548225
down_len_p50,0.00075935497
subwin_packet_min,0.00013846277
ctrl_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_5_ratio,0.0
subtype_6_ratio,0.0
up_len_std,0.0
up_len_mean,0.0
side_packet_ratio,0.0
up_len_p50,0.0
bssid_known,0.0
subwin_byte_min,0.0
