feature,importance
rssi_min,0.08712680879262324
rssi_max,0.07489264422617159
rssi_p10,0.06377454917717788
rssi_std,0.05802180825631868
rssi_p50,0.050433418335357943
rssi_p90,0.04057385147288632
rssi_mean,0.03645843826375446
up_packet_ratio,0.03166590487616081
up_len_p50,0.02825232374872747
up_ia_std,0.02788114049865776
len_max,0.027212799342422798
up_ia_mean,0.025966086150325425
up_len_mean,0.022405444505880237
null_data_ratio,0.01892588153114873
up_down_ratio,0.018822748868815718
subtype_8_ratio,0.01862480396893211
len_p25,0.01744354504621554
qos_data_ratio,0.01618732343425821
len_p95,0.015628542855193564
len_p10,0.015276759412237325
burst_count,0.012765059940267463
down_len_std,0.011799999963911255
len_range,0.011334831908965426
subtype_4_ratio,0.010770250518270855
down_packet_ratio,0.010758280143544543
interarrival_iqr,0.009716013738300304
interarrival_p75,0.00934419712870835
len_p50,0.008820699993522923
len_p90,0.00852668837560093
len_std,0.008468634262373813
interarrival_std,0.008293379215666813
interarrival_max,0.00829031673116545
len_mean,0.008177456094054689
other_packet_ratio,0.008097173542791394
down_ia_mean,0.007886032161688568
down_ia_std,0.007841855983315296
len_up_down_diff,0.0075615252292002095
len_cv,0.0071087428287307615
down_len_mean,0.007048274157917292
interarrival_mean,0.006830465776127672
unique_da_count,0.005933949877941626
interarrival_p50,0.005674828753176585
down_len_p50,0.0055911519496601725
interarrival_p90,0.005383752581653584
byte_count,0.005330931273180117
subwin_byte_mean,0.005133057932008284
packet_count,0.004985653142624401
subtype_0_ratio,0.004908885217843991
len_min,0.004805700349903735
subwin_byte_max,0.004771839161546363
interarrival_p95,0.00472981702365286
subwin_byte_std,0.004653032645269589
subwin_packet_mean,0.0044513422419619085
len_p75,0.004142509141006063
burst_packet_ratio,0.0037859886970325017
interarrival_cv,0.0035747730891632595
interarrival_min,0.003543122150289162
len_iqr,0.0035068459764836662
long_gap_ratio,0.0034872415943484384
subwin_packet_std,0.0034641251010100083
subwin_packet_max,0.00341010730510841
burst_packet_fraction,0.003403598303680437
burst_size_mean,0.0033944706034106332
subwin_packet_cv,0.0033275168650454662
burst_size_std,0.003254545578907102
unique_sa_count,0.00282194910336938
burst_size_max,0.002613186136126366
interarrival_p25,0.0024280631064199578
retry_ratio,0.0021625037454129827
interarrival_p10,0.0020543731686944572
active_subwin_count,0.0015513672302628141
burst_size_min,0.0007405626787987679
subwin_byte_min,0.0004414530576239707
subwin_packet_min,0.0003801060865947687
mgmt_ratio,0.00036068926346749346
data_ratio,0.0002916698320173433
subtype_5_ratio,0.00024946312025324975
side_packet_ratio,0.00023489973644125152
subtype_13_ratio,6.22672121897363e-06
ctrl_ratio,0.0
subtype_6_ratio,0.0
subtype_7_ratio,0.0
subtype_14_ratio,0.0
subtype_15_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
up_len_std,0.0
bssid_known,0.0
