feature,importance
rssi_max,2091
rssi_std,1950
interarrival_max,1832
rssi_p90,1748
len_max,1442
rssi_min,1420
rssi_p10,1280
rssi_p50,1253
burst_count,1065
retry_ratio,948
down_len_std,939
rssi_mean,928
down_ia_std,908
len_cv,818
len_p10,817
len_p95,801
subwin_packet_cv,756
down_packet_ratio,697
interarrival_p90,688
down_ia_mean,653
other_packet_ratio,633
long_gap_ratio,631
subtype_8_ratio,627
interarrival_p10,618
interarrival_p95,605
interarrival_p50,603
len_std,597
len_iqr,592
len_p90,572
len_min,569
interarrival_p75,552
interarrival_std,536
burst_size_std,524
len_range,517
down_len_mean,507
interarrival_p25,498
interarrival_min,491
len_mean,483
packet_count,480
subtype_0_ratio,477
len_p25,453
interarrival_mean,452
interarrival_cv,447
byte_count,439
burst_size_mean,413
len_p50,367
burst_packet_ratio,352
down_len_p50,349
subwin_packet_std,346
unique_da_count,325
unique_sa_count,316
subwin_byte_std,295
interarrival_iqr,293
up_packet_ratio,287
subwin_byte_max,265
len_p75,262
burst_size_max,252
len_up_down_diff,242
subwin_packet_max,183
active_subwin_count,180
burst_size_min,119
subtype_4_ratio,97
null_data_ratio,65
subtype_5_ratio,15
up_len_mean,15
mgmt_ratio,13
up_ia_std,10
subwin_packet_min,10
subwin_byte_min,2
up_down_ratio,2
ctrl_ratio,0
data_ratio,0
subtype_7_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
up_len_std,0
up_len_p50,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_ia_mean,0
subwin_packet_mean,0
subwin_byte_mean,0
