feature,importance
up_down_ratio,0.39214256
up_packet_ratio,0.23455895
len_max,0.03006201
rssi_max,0.029228278
rssi_std,0.018874971
rssi_min,0.014938891
subtype_4_ratio,0.013989611
down_packet_ratio,0.01113683
len_p10,0.010818533
len_range,0.0102508925
interarrival_p75,0.009552141
rssi_p50,0.008407326
subwin_packet_min,0.0078037614
len_p95,0.007762414
len_mean,0.007058469
subtype_0_ratio,0.006984692
subtype_8_ratio,0.0061412086
burst_count,0.0060684346
mgmt_ratio,0.005599937
qos_data_ratio,0.005355825
subwin_packet_mean,0.0053111766
len_std,0.005159815
rssi_p10,0.005141165
down_len_std,0.0050748815
interarrival_max,0.0048732515
retry_ratio,0.0046876245
len_p90,0.004561615
interarrival_iqr,0.004425824
other_packet_ratio,0.004393189
len_p75,0.0042298855
burst_size_mean,0.004179858
data_ratio,0.0038986
subwin_byte_std,0.0038093252
packet_count,0.0036613878
interarrival_p90,0.0036271145
rssi_mean,0.0036208609
interarrival_min,0.0035339112
long_gap_ratio,0.0034198384
rssi_p90,0.0033622733
unique_da_count,0.0033585262
len_min,0.0033461337
subwin_byte_max,0.0032953753
interarrival_p50,0.0032708955
interarrival_p95,0.0032469633
burst_packet_ratio,0.0031421608
down_len_mean,0.0031313244
active_subwin_count,0.0029543906
interarrival_std,0.0028943191
interarrival_cv,0.0028630008
down_ia_std,0.0028532345
interarrival_mean,0.0028018004
byte_count,0.002772237
subwin_packet_cv,0.0026346878
burst_size_min,0.0025111055
down_len_p50,0.0024698568
subwin_packet_std,0.0024674027
len_cv,0.0024453315
len_iqr,0.0023986518
interarrival_p25,0.002339693
len_up_down_diff,0.002149091
null_data_ratio,0.0020785178
subwin_byte_mean,0.002018288
burst_size_std,0.0019805862
len_p50,0.0019572007
subwin_packet_max,0.0019143493
down_ia_mean,0.0018195504
side_packet_ratio,0.0018088019
len_p25,0.0017694876
interarrival_p10,0.0017297659
unique_sa_count,0.0016661667
burst_size_max,0.0013949084
subwin_byte_min,0.0012898024
burst_packet_fraction,0.00119411
up_ia_mean,0.00021985506
up_ia_std,0.000105194646
ctrl_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_5_ratio,0.0
subtype_6_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
up_len_std,0.0
up_len_p50,0.0
bssid_known,0.0
up_len_mean,0.0
