filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,n_sources,target_env,grid_kind,split_mode
raw_all,g0_R3_to_R2,fixed_split,['R3'],['R2'],1837,1816,all_features,rf,94,0.5572687224669604,0.5686692595134599,0.5572309306365986,0.5613424171653618,"{'Camera': 0.9196428571428571, 'Light_T1': 0.15776081424936386, 'Light_XM': 0.7058823529411765, 'Sensor': 0.02342606149341142, 'Socket': 1.0}","[[309, 1, 12, 40, 0], [1, 62, 118, 182, 0], [0, 5, 270, 90, 0], [0, 355, 0, 8, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R3_to_R2,fixed_split,['R3'],['R2'],1837,1816,all_features,xgboost,94,0.538546255506608,0.5450195954640817,0.5386117478841587,0.5417058467165916,"{'Camera': 0.96045197740113, 'Light_T1': 0.05660377358490566, 'Light_XM': 0.6748299319727891, 'Sensor': 0.016643550624133148, 'Socket': 1.0}","[[340, 0, 6, 16, 0], [3, 21, 116, 223, 0], [3, 1, 248, 113, 0], [0, 357, 0, 6, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R3_to_R2,fixed_split,['R3'],['R2'],1837,1816,all_features,lightgbm,94,0.5468061674008811,0.5538483228659701,0.5468142590182179,0.5500412176962011,"{'Camera': 0.9571428571428572, 'Light_T1': 0.02789400278940028, 'Light_XM': 0.7140939597315437, 'Sensor': 0.051075268817204304, 'Socket': 1.0}","[[335, 0, 6, 21, 0], [2, 10, 108, 243, 0], [1, 0, 266, 98, 0], [0, 344, 0, 19, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R3_to_R2,fixed_split,['R3'],['R2'],1837,1816,all_features,stacking,94,0.5440528634361234,0.5515809090256912,0.5440791490307463,0.5477103148198859,"{'Camera': 0.9674681753889675, 'Light_T1': 0.0221606648199446, 'Light_XM': 0.7166212534059946, 'Sensor': 0.03230148048452221, 'Socket': 1.0}","[[342, 0, 5, 15, 0], [2, 8, 101, 252, 0], [1, 0, 263, 101, 0], [0, 351, 0, 12, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R4_to_R2,fixed_split,['R4'],['R2'],1853,1816,all_features,rf,94,0.7626651982378855,0.8125483629372521,0.7630900738670635,0.7592176932864217,"{'Camera': 0.8174474959612278, 'Light_T1': 0.6698564593301436, 'Light_XM': 0.45080500894454384, 'Sensor': 0.8579795021961932, 'Socket': 1.0}","[[253, 93, 0, 16, 0], [1, 350, 2, 10, 0], [3, 235, 126, 1, 0], [0, 4, 66, 293, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R4_to_R2,fixed_split,['R4'],['R2'],1853,1816,all_features,xgboost,94,0.5848017621145375,0.6377391569368764,0.5849843473713905,0.5605944421727288,"{'Camera': 0.24158415841584158, 'Light_T1': 0.5529225908372828, 'Light_XM': 0.2972972972972973, 'Sensor': 0.8350071736011477, 'Socket': 0.8761609907120743}","[[61, 261, 1, 39, 0], [1, 350, 8, 4, 0], [1, 287, 77, 0, 0], [0, 5, 67, 291, 0], [80, 0, 0, 0, 283]]",1,R2,ood,fixed
raw_all,g0_R4_to_R2,fixed_split,['R4'],['R2'],1853,1816,all_features,lightgbm,94,0.6183920704845814,0.7456241943636588,0.6185415648959129,0.5780171683154764,"{'Camera': 0.1935483870967742, 'Light_T1': 0.5423465423465423, 'Light_XM': 0.31499051233396586, 'Sensor': 0.8405797101449275, 'Socket': 0.9986206896551724}","[[39, 288, 1, 34, 0], [0, 349, 12, 2, 0], [1, 280, 83, 1, 0], [0, 7, 66, 290, 0], [1, 0, 0, 0, 362]]",1,R2,ood,fixed
raw_all,g0_R4_to_R2,fixed_split,['R4'],['R2'],1853,1816,all_features,stacking,94,0.6618942731277533,0.778016440856422,0.6620789651397249,0.6439354869532243,"{'Camera': 0.4043956043956044, 'Light_T1': 0.5693191140278917, 'Light_XM': 0.3875685557586837, 'Sensor': 0.8583941605839416, 'Socket': 1.0}","[[92, 246, 0, 24, 0], [0, 347, 12, 4, 0], [1, 258, 106, 0, 0], [0, 5, 64, 294, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R5_to_R2,fixed_split,['R5'],['R2'],1816,1816,all_features,rf,94,0.6343612334801763,0.7087999100881518,0.6339789576131196,0.5728903086491407,"{'Camera': 0.5748031496062992, 'Light_T1': 0.026881720430107527, 'Light_XM': 0.5967894239848914, 'Sensor': 0.6659772492244054, 'Socket': 1.0}","[[146, 0, 131, 85, 0], [0, 5, 207, 151, 0], [0, 3, 316, 46, 0], [0, 1, 40, 322, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R5_to_R2,fixed_split,['R5'],['R2'],1816,1816,all_features,xgboost,94,0.6525330396475771,0.645978596894833,0.6522909422830299,0.5919777816463475,"{'Camera': 0.6480446927374302, 'Light_T1': 0.015915119363395226, 'Light_XM': 0.5734265734265734, 'Sensor': 0.722502522704339, 'Socket': 1.0}","[[174, 0, 137, 51, 0], [1, 3, 208, 151, 0], [0, 10, 287, 68, 0], [0, 1, 4, 358, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
