task,task_type,grid_kind,split_mode,n_sources,target_env,train_rounds,test_rounds,n_train,n_test,n_oof,method,method_kind,selected_base_model,macro_f1_5class,macro_f1_4class,worst_class_f1,worst_class_f1_4class,accuracy,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,gain_vs_best_base
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,rf,base_model,,0.7012224296594887,0.6265280370743609,0.2913907284768212,0.2913907284768212,0.711453744493392,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,0.0
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,xgboost,base_model,,0.6603072409777727,0.5753840512222159,0.09540636042402827,0.09540636042402827,0.6855726872246696,0.9226441631504922,0.09540636042402827,0.7036199095022625,0.5798657718120805,1.0,-0.04091518868171595
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,lightgbm,base_model,,0.6583908067353137,0.5729885084191422,0.14965986394557823,0.14965986394557823,0.676762114537445,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,-0.04283162292417497
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,stacking,stacking,,0.7180085899308039,0.6475107374135048,0.37105751391465674,0.37105751391465674,0.7312775330396476,0.9033189033189033,0.37105751391465674,0.676923076923077,0.6387434554973822,1.0,0.016786160271315187
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,best_base_posthoc,reference,rf,0.7012224296594887,0.6265280370743609,0.2913907284768212,0.2913907284768212,0.711453744493392,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,0.0
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,hard_voting,voting,,0.6714929451065272,0.5893661813831591,0.17006802721088435,0.17006802721088435,0.6899779735682819,0.8904899135446686,0.17006802721088435,0.711211778029445,0.5856950067476383,1.0,-0.029729484552961427
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,soft_voting_equal,voting,,0.6673995212284874,0.5842494015356093,0.16040955631399317,0.16040955631399317,0.6861233480176211,0.8872832369942196,0.16040955631399317,0.7090909090909091,0.5802139037433155,1.0,-0.03382290843100122
g0_R2_R3_R4_to_R5,fixed_split,ood,fixed,3,R5,"['R2', 'R3', 'R4']",['R5'],5506,1816,5506,soft_voting_calibrated,voting,,0.6828845126204688,0.603605640775586,0.2057335581787521,0.2057335581787521,0.6987885462555066,0.8982558139534884,0.2057335581787521,0.7090909090909091,0.6013422818791946,1.0,-0.01833791703901988
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,rf,base_model,,0.7488747806643499,0.6860934758304373,0.617169373549884,0.617169373549884,0.7454728370221329,0.8159771754636234,0.617169373549884,0.6191780821917808,0.6920492721164614,1.0,-0.029490015759844335
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,xgboost,base_model,,0.7783647964241942,0.7229559955302428,0.6222791293213829,0.6222791293213829,0.7756539235412475,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,0.0
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,lightgbm,base_model,,0.7640759809256255,0.7050949761570318,0.5947441217150761,0.5947441217150761,0.7605633802816901,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,-0.014288815498568752
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,stacking,stacking,,0.6955971167332627,0.6194963959165785,0.37997432605905007,0.37997432605905007,0.6921529175050302,0.897196261682243,0.37997432605905007,0.5333333333333333,0.6674816625916871,1.0,-0.08276767969093146
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,best_base_posthoc,reference,xgboost,0.7783647964241942,0.7229559955302428,0.6222791293213829,0.6222791293213829,0.7756539235412475,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,0.0
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,hard_voting,voting,,0.7749882489527751,0.7187353111909689,0.6095979247730221,0.6095979247730221,0.7716297786720322,0.9023746701846965,0.6095979247730221,0.6490649064906491,0.713903743315508,1.0,-0.0033765474714191335
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,soft_voting_equal,voting,,0.7759265379312068,0.7199081724140085,0.6174496644295302,0.6174496644295302,0.772635814889336,0.9038208168642952,0.6174496644295302,0.6528066528066528,0.7055555555555556,1.0,-0.0024382584929873996
g0_R2_R3_R4_to_R6,fixed_split,ood,fixed,3,R6,"['R2', 'R3', 'R4']",['R6'],5506,1988,5506,soft_voting_calibrated,voting,,0.7765208753786581,0.7206510942233226,0.6126126126126126,0.6126126126126126,0.7731388329979879,0.8941798941798942,0.6126126126126126,0.6494960806270996,0.7263157894736842,1.0,-0.001843921045536101
g0_R2_R3_R4_to_R7,fixed_split,ood,fixed,3,R7,"['R2', 'R3', 'R4']",['R7'],5506,1993,5506,rf,base_model,,0.8219721259799911,0.7774651574749889,0.6873508353221957,0.6873508353221957,0.8208730556949323,0.94750656167979,0.6873508353221957,0.7157894736842105,0.7592137592137592,1.0,0.0
g0_R2_R3_R4_to_R7,fixed_split,ood,fixed,3,R7,"['R2', 'R3', 'R4']",['R7'],5506,1993,5506,xgboost,base_model,,0.8154367714214587,0.7692959642768232,0.6994011976047905,0.6994011976047905,0.814350225790266,0.9609375,0.6994011976047905,0.7005917159763314,0.7162534435261708,1.0,-0.006535354558532491
g0_R2_R3_R4_to_R7,fixed_split,ood,fixed,3,R7,"['R2', 'R3', 'R4']",['R7'],5506,1993,5506,lightgbm,base_model,,0.8088477748505276,0.7610597185631595,0.6735598227474151,0.6735598227474151,0.809332664325138,0.9703989703989704,0.7016645326504481,0.6986155484558041,0.6735598227474151,1.0,-0.01312435112946353
