fs,kind,task,model,N,macro_f1,hard_mean,n_blocks
full94,OOD,g0_R2_R3_to_R4,rf,1,0.6592117370350504,0.45773122380038256,1853
full94,OOD,g0_R2_R3_to_R4,rf,6,0.7127219945355192,0.5264116575591986,308
full94,OOD,g0_R2_R3_to_R4,rf,30,0.7333333333333333,0.5555555555555555,61
full94,OOD,g0_R2_R3_to_R4,stacking,1,0.4406293692733776,0.09036054299186114,1853
full94,OOD,g0_R2_R3_to_R4,stacking,6,0.40782461240310075,0.015625,308
full94,OOD,g0_R2_R3_to_R4,stacking,30,0.4,0.0,61
full94,OOD,g0_R2_R4_to_R3,rf,1,0.6148161314237031,0.36916474662139404,1837
full94,OOD,g0_R2_R4_to_R3,rf,6,0.6133997012797558,0.3583761958998641,308
full94,OOD,g0_R2_R4_to_R3,rf,30,0.567843137254902,0.2797385620915033,61
full94,OOD,g0_R2_R4_to_R3,stacking,1,0.4907165901894059,0.1800413349256078,1837
full94,OOD,g0_R2_R4_to_R3,stacking,6,0.45599189461176587,0.10894482435294307,308
full94,OOD,g0_R2_R4_to_R3,stacking,30,0.43636363636363634,0.06060606060606061,61
full94,OOD,g0_R3_R4_to_R2,rf,1,0.8097991283932819,0.7008470760245004,1816
full94,OOD,g0_R3_R4_to_R2,rf,6,0.9470675770308123,0.9145804154995331,304
full94,OOD,g0_R3_R4_to_R2,rf,30,1.0,1.0,60
full94,OOD,g0_R3_R4_to_R2,stacking,1,0.6370202122940894,0.4005585490352687,1816
full94,OOD,g0_R3_R4_to_R2,stacking,6,0.6861489509794173,0.4769149182990288,304
full94,OOD,g0_R3_R4_to_R2,stacking,30,0.7,0.5,60
full94,OOD,g0_R2_to_R3,rf,1,0.5525575101442647,0.27163923700236553,1837
full94,OOD,g0_R2_to_R3,rf,6,0.5873015873015873,0.31216931216931215,308
full94,OOD,g0_R2_to_R3,rf,30,0.6,0.3333333333333333,61
full94,OOD,g0_R2_to_R3,stacking,1,0.5293501963392562,0.25510204081632654,1837
full94,OOD,g0_R2_to_R3,stacking,6,0.582820705176294,0.31007751937984496,308
full94,OOD,g0_R2_to_R3,stacking,30,0.6,0.3333333333333333,61
full94,OOD,g0_R2_to_R4,rf,1,0.5879190029361334,0.36817604996537345,1853
full94,OOD,g0_R2_to_R4,rf,6,0.5725569842197545,0.32782485875706213,308
full94,OOD,g0_R2_to_R4,rf,30,0.5227692307692308,0.21794871794871795,61
full94,OOD,g0_R2_to_R4,stacking,1,0.4556030512949477,0.31277083212993767,1853
full94,OOD,g0_R2_to_R4,stacking,6,0.44359634076615206,0.29488279016580904,308
full94,OOD,g0_R2_to_R4,stacking,30,0.3892857142857143,0.19047619047619047,61
