criterion,quantity,value_numeric,value_text
scope,n_outer_tasks,150.0,
scope,n_outer_folds,6.0,
scope,f1_metric,,5-class macro-F1 (§10 主指标 1；落盘值，未重算)
scope,aggregation_primary,,环境等权（先每环境均值再 6 环境平均，§15.1）
cond1,mean_regret_selector_env_equal,0.024693813690819803,
cond1,mean_regret_selector_task_level,0.024693813690819806,
cond2,mean_regret_selector_env_R2,0.01668000645343908,
cond2,mean_regret_selector_env_R3,0.022936404082600198,
cond2,mean_regret_selector_env_R4,0.01844989424768351,
cond2,mean_regret_selector_env_R5,0.02215907679883772,
cond2,mean_regret_selector_env_R6,0.03182290490046185,
cond2,mean_regret_selector_env_R7,0.03611459566189648,
cond2,worst_env_mean_regret_selector,0.03611459566189648,
cond2,worst_env_name_selector,,R7
cond2,max_single_task_regret_selector,0.17510593525515228,
cond3,mean_regret_always_rf_env_equal,0.02025257360760886,
cond3,mean_regret_always_stacking_env_equal,0.07925332889961229,
cond3,mean_regret_always_soft_voting_env_equal,0.04592521853737878,
cond3,mean_regret_always_rf_task_level,0.020252573607608865,
cond3,mean_regret_always_stacking_task_level,0.07925332889961229,
cond3,mean_regret_always_soft_voting_task_level,0.045925218537378784,
cond3,delta_selector_minus_always_rf_env_equal,0.004441240083210944,
cond3,delta_selector_minus_always_stacking_env_equal,-0.054559515208792486,
cond3,worst_env_mean_regret_always_rf,0.03182290490046185,
cond3,worst_env_mean_regret_always_stacking,0.09241197767457508,
cond3,n_tasks_selector_f1_gt_always_rf,8.0,
cond3,n_tasks_selector_f1_lt_always_rf,16.0,
cond3,n_tasks_selector_f1_gt_always_stacking,103.0,
cond3,n_tasks_selector_f1_lt_always_stacking,41.0,
cond4,n_tasks_selected_nonrf,25.0,
cond4,n_tasks_selected_stacking,6.0,
cond4,n_tasks_selected_soft_voting,19.0,
cond4,n_tasks_selected_rf,125.0,
cond4,tau_repro,0.002,D10 追记 v1.5：条件 4 primary 口径的 regret 门槛（= 登记表 E1-G0-GRID 实测复现界）
cond4,n_tasks_nonrf_and_regret_le_tau_repro_primary,7.0,
cond4,n_tasks_nonrf_and_regret_zero_tau0_parallel,6.0,
cond4,n_tasks_nonrf_and_f1_ge_rf_lenient,9.0,
cond4,n_envs_with_any_nonrf_selection,5.0,
cond4,n_envs_with_tau_repro_hit_primary,2.0,
cond4,n_envs_with_tau0_hit_parallel,2.0,
cond4,n_envs_with_lenient_hit,3.0,
cond4,envs_with_tau_repro_hit_primary,,R4;R7
cond4,envs_with_tau0_hit_parallel,,R4;R7
cond4,oracle_distribution_rf_only,63.0,
cond4,oracle_distribution_stacking_only,37.0,
cond4,oracle_distribution_soft_voting_only,49.0,
cond4,oracle_distribution_ties,1.0,
cond4,n_tasks_top2_candidate_gap_lt_tau_repro_selected_variant,10.0,
cond4,median_top2_candidate_gap_selected_variant,0.0267290956302918,
cond4,min_top2_candidate_gap_selected_variant,0.0,
cond4,n_tasks_top2_candidate_gap_lt_tau_repro_calibrated,12.0,
cond4,median_top2_candidate_gap_calibrated,0.027091518512810997,
cond4,min_top2_candidate_gap_calibrated,0.0,
cond4,n_tasks_top2_candidate_gap_lt_tau_repro_equal,8.0,
cond4,median_top2_candidate_gap_equal,0.02891681928827705,
cond4,min_top2_candidate_gap_equal,0.0,
cond5,uds_signature,,"uds(pred_src_oof, pred_tgt, *, class_order=None) -> 'float'"
cond5,n_label_tokens_on_selection_path,0.0,
cond5,n_selection_path_functions_audited,12.0,
cond5,audit_document,,g1_leakage_audit.md
