fold_e_out,target_env,task,n_sources,train_rounds,uds,f1_rf,f1_stacking,f1_soft_voting_equal,f1_soft_voting_calibrated,fold_soft_variant,f1_soft_voting_selected_variant,fold_t1,fold_t2,selected_candidate,f1_selected,oracle_f1,oracle_candidate,regret,regret_always_rf,regret_always_stacking,regret_always_soft_voting
R5,R5,g0_R2_R3_R4_to_R5,3,R2|R3|R4,0.15648633400732515,0.7012224296594887,0.7180085899308039,0.6673995212284874,0.6828845126204688,soft_voting_equal,0.6673995212284874,0.1041932018935652,0.20166548896426872,soft_voting,0.6673995212284874,0.7180085899308039,stacking,0.050609068702316407,0.016786160271315187,0.0,0.050609068702316407
R6,R6,g0_R2_R3_R4_to_R6,3,R2|R3|R4,0.2314823840193476,0.7488747806643499,0.6955971167332627,0.7759265379312068,0.7765208753786581,soft_voting_equal,0.7759265379312068,0.0860502526586395,0.13076959734287436,rf,0.7488747806643499,0.7759265379312068,soft_voting,0.027051757266856935,0.027051757266856935,0.08032942119794406,0.0
R7,R7,g0_R2_R3_R4_to_R7,3,R2|R3|R4,0.14891254657780004,0.8219721259799911,0.7291714113522227,0.8185859178150231,0.8245867664508427,soft_voting_calibrated,0.8245867664508427,0.16073106187609176,0.17406054962014167,stacking,0.7291714113522227,0.8245867664508427,soft_voting,0.09541535509861998,0.0026146404708515814,0.09541535509861998,0.0
R4,R4,g0_R2_R3_R5_to_R4,3,R2|R3|R5,0.22222838346252718,0.6972893016537488,0.47461343317046917,0.7067139261295678,0.7100151021543868,soft_voting_calibrated,0.7100151021543868,0.12993470281943537,0.21272068822027523,rf,0.6972893016537488,0.7100151021543868,soft_voting,0.012725800500637985,0.012725800500637985,0.23540166898391762,0.0
R6,R6,g0_R2_R3_R5_to_R6,3,R2|R3|R5,0.5009974584869884,0.5750811606983018,0.46474080588278266,0.6684926656343252,0.6372598347165364,soft_voting_equal,0.6684926656343252,0.0860502526586395,0.13076959734287436,rf,0.5750811606983018,0.6684926656343252,soft_voting,0.09341150493602335,0.09341150493602335,0.20375185975154253,0.0
R7,R7,g0_R2_R3_R5_to_R7,3,R2|R3|R5,0.3322349091587341,0.617621595139765,0.45480975286319403,0.676533717625109,0.6710774213112658,soft_voting_calibrated,0.6710774213112658,0.16073106187609176,0.17406054962014167,rf,0.617621595139765,0.6710774213112658,soft_voting,0.0534558261715008,0.0534558261715008,0.21626766844807177,0.0
R4,R4,g0_R2_R3_R6_to_R4,3,R2|R3|R6,0.1649757897448584,0.8161061115207913,0.7740087744464488,0.8378429419149246,0.8394614932949056,soft_voting_calibrated,0.8394614932949056,0.12993470281943537,0.21272068822027523,soft_voting,0.8394614932949056,0.8394614932949056,soft_voting,0.0,0.023355381774114337,0.06545271884845683,0.0
R5,R5,g0_R2_R3_R6_to_R5,3,R2|R3|R6,0.213313140576077,0.6980702348606684,0.7380145320700703,0.6580836959776045,0.6805030053079337,soft_voting_equal,0.6580836959776045,0.1041932018935652,0.20166548896426872,rf,0.6980702348606684,0.7380145320700703,stacking,0.03994429720940185,0.03994429720940185,0.0,0.07993083609246576
R7,R7,g0_R2_R3_R6_to_R7,3,R2|R3|R6,0.17400623728470954,0.8331060188718364,0.7121324921415534,0.8610676416251681,0.8579005184645163,soft_voting_calibrated,0.8579005184645163,0.16073106187609176,0.17406054962014167,soft_voting,0.8579005184645163,0.8579005184645163,soft_voting,0.0,0.024794499592679875,0.14576802632296293,0.0
R4,R4,g0_R2_R3_R7_to_R4,3,R2|R3|R7,0.17941584691963694,0.8278215102098271,0.8026243979170447,0.8300662938340381,0.833069023216251,soft_voting_calibrated,0.833069023216251,0.12993470281943537,0.21272068822027523,soft_voting,0.833069023216251,0.833069023216251,soft_voting,0.0,0.005247513006423898,0.03044462529920633,0.0
R5,R5,g0_R2_R3_R7_to_R5,3,R2|R3|R7,0.2370770849556297,0.7084339581405116,0.7347540511052275,0.674011657701729,0.6855392071581774,soft_voting_equal,0.674011657701729,0.1041932018935652,0.20166548896426872,rf,0.7084339581405116,0.7347540511052275,stacking,0.026320092964715935,0.026320092964715935,0.0,0.06074239340349852
R6,R6,g0_R2_R3_R7_to_R6,3,R2|R3|R7,0.18975454556955074,0.7699473908448551,0.7248664928736577,0.807742185714139,0.8086985384655796,soft_voting_equal,0.807742185714139,0.0860502526586395,0.13076959734287436,rf,0.7699473908448551,0.807742185714139,soft_voting,0.03779479486928394,0.03779479486928394,0.08287569284048135,0.0
R4,R4,g0_R2_R3_to_R4,2,R2|R3,0.3380896406813217,0.6592117370350504,0.4406293692733776,0.6660248042721603,0.6715747153040648,soft_voting_calibrated,0.6715747153040648,0.12993470281943537,0.21272068822027523,rf,0.6592117370350504,0.6715747153040648,soft_voting,0.012362978269014335,0.012362978269014335,0.23094534603068717,0.0
R5,R5,g0_R2_R3_to_R5,2,R2|R3,0.1894851830565625,0.6649250626239468,0.6636423394173017,0.6414266505094435,0.6470120518152054,soft_voting_equal,0.6414266505094435,0.1041932018935652,0.20166548896426872,soft_voting,0.6414266505094435,0.6649250626239468,rf,0.02349841211450332,0.0,0.001282723206645131,0.02349841211450332
R6,R6,g0_R2_R3_to_R6,2,R2|R3,0.2773344931772003,0.5375723002637741,0.4103448508826203,0.6097813897826391,0.6121043783265527,soft_voting_equal,0.6097813897826391,0.0860502526586395,0.13076959734287436,rf,0.5375723002637741,0.6097813897826391,soft_voting,0.07220908951886496,0.07220908951886496,0.19943653890001878,0.0
R7,R7,g0_R2_R3_to_R7,2,R2|R3,0.754676472227186,0.5440584636629346,0.4261717261177626,0.6106884916803896,0.6117054873383939,soft_voting_calibrated,0.6117054873383939,0.16073106187609176,0.17406054962014167,rf,0.5440584636629346,0.6117054873383939,soft_voting,0.06764702367545927,0.06764702367545927,0.1855337612206313,0.0
R3,R3,g0_R2_R4_R5_to_R3,3,R2|R4|R5,0.22275195048331342,0.7043397850824636,0.7404482936535585,0.6402362000432686,0.6564195917633173,soft_voting_calibrated,0.6564195917633173,0.09803656851781944,0.2421418733518932,soft_voting,0.6564195917633173,0.7404482936535585,stacking,0.08402870189024114,0.03610850857109482,0.0,0.08402870189024114
R6,R6,g0_R2_R4_R5_to_R6,3,R2|R4|R5,0.4555873055523852,0.6167828517260407,0.6380317894565277,0.6511981465379663,0.6455900140914803,soft_voting_equal,0.6511981465379663,0.0860502526586395,0.13076959734287436,rf,0.6167828517260407,0.6511981465379663,soft_voting,0.03441529481192551,0.03441529481192551,0.01316635708143854,0.0
R7,R7,g0_R2_R4_R5_to_R7,3,R2|R4|R5,0.44309772956007004,0.670764367595287,0.7177476211373202,0.671614830389939,0.6750268173787684,soft_voting_calibrated,0.6750268173787684,0.16073106187609176,0.17406054962014167,rf,0.670764367595287,0.7177476211373202,stacking,0.04698325354203314,0.04698325354203314,0.0,0.042720803758551806
R3,R3,g0_R2_R4_R6_to_R3,3,R2|R4|R6,0.256283625866873,0.6840850926983947,0.6270308701366376,0.6132650818239225,0.6306312191788621,soft_voting_calibrated,0.6306312191788621,0.09803656851781944,0.2421418733518932,rf,0.6840850926983947,0.6840850926983947,rf,0.0,0.0,0.05705422256175707,0.05345387351953257
R5,R5,g0_R2_R4_R6_to_R5,3,R2|R4|R6,0.49859476671975395,0.6723637119227293,0.583971274645686,0.5658903434953318,0.5860381293146585,soft_voting_equal,0.5658903434953318,0.1041932018935652,0.20166548896426872,rf,0.6723637119227293,0.6723637119227293,rf,0.0,0.0,0.08839243727704327,0.10647336842739741
R7,R7,g0_R2_R4_R6_to_R7,3,R2|R4|R6,0.15958349103943412,0.8534222782940016,0.829884566836349,0.872393143056712,0.8715538541849892,soft_voting_calibrated,0.8715538541849892,0.16073106187609176,0.17406054962014167,stacking,0.829884566836349,0.8715538541849892,soft_voting,0.04166928734864017,0.018131575890987572,0.04166928734864017,0.0
R3,R3,g0_R2_R4_R7_to_R3,3,R2|R4|R7,0.2643737584371249,0.6864867025883405,0.6354659752626322,0.6280739906070163,0.6432482082025699,soft_voting_calibrated,0.6432482082025699,0.09803656851781944,0.2421418733518932,rf,0.6864867025883405,0.6864867025883405,rf,0.0,0.0,0.05102072732570839,0.043238494385770654
R5,R5,g0_R2_R4_R7_to_R5,3,R2|R4|R7,0.47974703473291824,0.6715114346503079,0.5739070982807319,0.5513533238249377,0.5820691478351145,soft_voting_equal,0.5513533238249377,0.1041932018935652,0.20166548896426872,rf,0.6715114346503079,0.6715114346503079,rf,0.0,0.0,0.097604336369576,0.1201581108253702
R6,R6,g0_R2_R4_R7_to_R6,3,R2|R4|R7,0.21887106903321718,0.7774372232012368,0.7552765655579357,0.7945366768692831,0.8066362074563977,soft_voting_equal,0.7945366768692831,0.0860502526586395,0.13076959734287436,rf,0.7774372232012368,0.7945366768692831,soft_voting,0.017099453668046327,0.017099453668046327,0.039260111311347434,0.0
R3,R3,g0_R2_R4_to_R3,2,R2|R4,0.4788774783865408,0.6148161314237031,0.4907165901894059,0.5480052219973534,0.5619818224899621,soft_voting_calibrated,0.5619818224899621,0.09803656851781944,0.2421418733518932,rf,0.6148161314237031,0.6148161314237031,rf,0.0,0.0,0.12409954123429717,0.05283430893374097
R5,R5,g0_R2_R4_to_R5,2,R2|R4,0.6774901706863817,0.6343932044908975,0.5170337681281547,0.5420707532995823,0.5538660702533953,soft_voting_equal,0.5420707532995823,0.1041932018935652,0.20166548896426872,rf,0.6343932044908975,0.6343932044908975,rf,0.0,0.0,0.11735943636274282,0.09232245119131521
R6,R6,g0_R2_R4_to_R6,2,R2|R4,0.7950892401978612,0.547415483717195,0.4616723301508074,0.6292054883453477,0.630971286143962,soft_voting_equal,0.6292054883453477,0.0860502526586395,0.13076959734287436,rf,0.547415483717195,0.6292054883453477,soft_voting,0.08179000462815278,0.08179000462815278,0.16753315819454034,0.0
R7,R7,g0_R2_R4_to_R7,2,R2|R4,0.6316342095734614,0.6311282716635265,0.5003340804398875,0.6636989497840468,0.6629508744687097,soft_voting_calibrated,0.6629508744687097,0.16073106187609176,0.17406054962014167,rf,0.6311282716635265,0.6629508744687097,soft_voting,0.03182260280518323,0.03182260280518323,0.16261679402882223,0.0
R3,R3,g0_R2_R5_R6_to_R3,3,R2|R5|R6,0.1956000765290019,0.7872241775787381,0.7305607481176638,0.7382112637846358,0.7529873537631313,soft_voting_calibrated,0.7529873537631313,0.09803656851781944,0.2421418733518932,soft_voting,0.7529873537631313,0.7872241775787381,rf,0.034236823815606776,0.0,0.05666342946107428,0.034236823815606776
R4,R4,g0_R2_R5_R6_to_R4,3,R2|R5|R6,0.17196236398406503,0.8352313653335163,0.731916961427629,0.8324678929811367,0.8360794020424882,soft_voting_calibrated,0.8360794020424882,0.12993470281943537,0.21272068822027523,soft_voting,0.8360794020424882,0.8360794020424882,soft_voting,0.0,0.0008480367089719332,0.10416244061485924,0.0
R7,R7,g0_R2_R5_R6_to_R7,3,R2|R5|R6,0.13659927982630854,0.8492038703077757,0.6926024784367819,0.8649049718295977,0.8677084136919342,soft_voting_calibrated,0.8677084136919342,0.16073106187609176,0.17406054962014167,stacking,0.6926024784367819,0.8677084136919342,soft_voting,0.17510593525515228,0.018504543384158523,0.17510593525515228,0.0
R3,R3,g0_R2_R5_R7_to_R3,3,R2|R5|R7,0.2191169593384038,0.7725428960282625,0.784126881776457,0.7363908075335858,0.7527855712112962,soft_voting_calibrated,0.7527855712112962,0.09803656851781944,0.2421418733518932,soft_voting,0.7527855712112962,0.784126881776457,stacking,0.03134131056516076,0.011583985748194414,0.0,0.03134131056516076
R4,R4,g0_R2_R5_R7_to_R4,3,R2|R5|R7,0.17591737618878342,0.8485413852962342,0.7868131366390806,0.8446844498528717,0.8572953216535802,soft_voting_calibrated,0.8572953216535802,0.12993470281943537,0.21272068822027523,soft_voting,0.8572953216535802,0.8572953216535802,soft_voting,0.0,0.008753936357346004,0.07048218501449965,0.0
R6,R6,g0_R2_R5_R7_to_R6,3,R2|R5|R7,0.2121282358644735,0.7765352528265127,0.6762644030601748,0.8117947366844904,0.8127539127539128,soft_voting_equal,0.8117947366844904,0.0860502526586395,0.13076959734287436,rf,0.7765352528265127,0.8117947366844904,soft_voting,0.035259483857977725,0.035259483857977725,0.13553033362431566,0.0
R3,R3,g0_R2_R5_to_R3,2,R2|R5,0.26330702323565747,0.621243250606439,0.6397553448015298,0.5777836325437051,0.5894783360292035,soft_voting_calibrated,0.5894783360292035,0.09803656851781944,0.2421418733518932,rf,0.621243250606439,0.6397553448015298,stacking,0.01851209419509081,0.01851209419509081,0.0,0.050277008772326326
R4,R4,g0_R2_R5_to_R4,2,R2|R5,0.3551069210094829,0.6158027595420854,0.507621802453401,0.5695914250177336,0.5885681689858661,soft_voting_calibrated,0.5885681689858661,0.12993470281943537,0.21272068822027523,rf,0.6158027595420854,0.6158027595420854,rf,0.0,0.0,0.10818095708868436,0.02723459055621935
R6,R6,g0_R2_R5_to_R6,2,R2|R5,1.0218710762627035,0.28717278364337184,0.28840294634134356,0.2842288058204464,0.28418808214566266,soft_voting_equal,0.2842288058204464,0.0860502526586395,0.13076959734287436,rf,0.28717278364337184,0.28840294634134356,stacking,0.001230162697971715,0.001230162697971715,0.0,0.004174140520897152
R7,R7,g0_R2_R5_to_R7,2,R2|R5,1.0981472837278525,0.2802824004034291,0.2849083825663674,0.28244354838709673,0.28244354838709673,soft_voting_calibrated,0.28244354838709673,0.16073106187609176,0.17406054962014167,rf,0.2802824004034291,0.2849083825663674,stacking,0.0046259821629383024,0.0046259821629383024,0.0,0.0024648341792706807
R3,R3,g0_R2_R6_R7_to_R3,3,R2|R6|R7,0.23638904654752382,0.7030938870945135,0.6494086420412424,0.6227190121056771,0.6362853453346103,soft_voting_calibrated,0.6362853453346103,0.09803656851781944,0.2421418733518932,soft_voting,0.6362853453346103,0.7030938870945135,rf,0.06680854175990314,0.0,0.0536852450532711,0.06680854175990314
R4,R4,g0_R2_R6_R7_to_R4,3,R2|R6|R7,0.25635879349951823,0.8522351872435838,0.8463309891542444,0.8100071610115214,0.8331934240668668,soft_voting_calibrated,0.8331934240668668,0.12993470281943537,0.21272068822027523,rf,0.8522351872435838,0.8522351872435838,rf,0.0,0.0,0.005904198089339396,0.01904176317671702
R5,R5,g0_R2_R6_R7_to_R5,3,R2|R6|R7,0.45570049393571876,0.6902865774067293,0.6001791744620821,0.5700944067845336,0.5864964597443102,soft_voting_equal,0.5700944067845336,0.1041932018935652,0.20166548896426872,rf,0.6902865774067293,0.6902865774067293,rf,0.0,0.0,0.09010740294464714,0.12019217062219567
R3,R3,g0_R2_R6_to_R3,2,R2|R6,0.5310322967722277,0.6453461755964374,0.6532202993714883,0.5842815922161787,0.6008510431983284,soft_voting_calibrated,0.6008510431983284,0.09803656851781944,0.2421418733518932,rf,0.6453461755964374,0.6532202993714883,stacking,0.007874123775050923,0.007874123775050923,0.0,0.052369256173159906
R4,R4,g0_R2_R6_to_R4,2,R2|R6,0.5413353630510004,0.8101310379020692,0.7673095162085705,0.7653475860856576,0.7726064291518793,soft_voting_calibrated,0.7726064291518793,0.12993470281943537,0.21272068822027523,rf,0.8101310379020692,0.8101310379020692,rf,0.0,0.0,0.04282152169349873,0.037524608750189925
R5,R5,g0_R2_R6_to_R5,2,R2|R6,0.684144133939658,0.6266165540784692,0.5391382986628861,0.5647927974486946,0.5744925260167045,soft_voting_equal,0.5647927974486946,0.1041932018935652,0.20166548896426872,rf,0.6266165540784692,0.6266165540784692,rf,0.0,0.0,0.08747825541558307,0.06182375662977457
R7,R7,g0_R2_R6_to_R7,2,R2|R6,0.5064576161171852,0.8365780285011718,0.7372920854705429,0.8680224090026375,0.863849108737113,soft_voting_calibrated,0.863849108737113,0.16073106187609176,0.17406054962014167,rf,0.8365780285011718,0.863849108737113,soft_voting,0.02727108023594116,0.02727108023594116,0.12655702326657003,0.0
R3,R3,g0_R2_R7_to_R3,2,R2|R7,0.8707907057245475,0.6447758029004468,0.6543226368260688,0.6323749647160728,0.6276786386459082,soft_voting_calibrated,0.6276786386459082,0.09803656851781944,0.2421418733518932,rf,0.6447758029004468,0.6543226368260688,stacking,0.009546833925622056,0.009546833925622056,0.0,0.02664399818016061
R4,R4,g0_R2_R7_to_R4,2,R2|R7,0.8632510066542646,0.8331048567628148,0.7634332779548262,0.7978656350591427,0.809000371411248,soft_voting_calibrated,0.809000371411248,0.12993470281943537,0.21272068822027523,rf,0.8331048567628148,0.8331048567628148,rf,0.0,0.0,0.06967157880798858,0.02410448535156673
R5,R5,g0_R2_R7_to_R5,2,R2|R7,0.8388796721061396,0.6193006721153218,0.6008946897827764,0.5459794560564855,0.565550099767069,soft_voting_equal,0.5459794560564855,0.1041932018935652,0.20166548896426872,rf,0.6193006721153218,0.6193006721153218,rf,0.0,0.0,0.018405982332545423,0.07332121605883635
R6,R6,g0_R2_R7_to_R6,2,R2|R7,0.8754346444371744,0.7518566016731629,0.6155174995011239,0.7783663464643439,0.7910554235951068,soft_voting_equal,0.7783663464643439,0.0860502526586395,0.13076959734287436,rf,0.7518566016731629,0.7783663464643439,soft_voting,0.026509744791180956,0.026509744791180956,0.16284884696322,0.0
R3,R3,g0_R2_to_R3,1,R2,0.213463446689753,0.5525575101442647,0.5293501963392562,0.5264737925190655,0.5317593397277645,soft_voting_calibrated,0.5317593397277645,0.09803656851781944,0.2421418733518932,soft_voting,0.5317593397277645,0.5525575101442647,rf,0.020798170416500228,0.0,0.02320731380500851,0.020798170416500228
R4,R4,g0_R2_to_R4,1,R2,0.5435061689460597,0.5879190029361334,0.4556030512949477,0.45693829580440504,0.5088287824977462,soft_voting_calibrated,0.5088287824977462,0.12993470281943537,0.21272068822027523,rf,0.5879190029361334,0.5879190029361334,rf,0.0,0.0,0.1323159516411857,0.0790902204383872
R5,R5,g0_R2_to_R5,1,R2,0.38279171454650296,0.5684245705839173,0.5449837581753731,0.5374380493638867,0.542017047096771,soft_voting_equal,0.5374380493638867,0.1041932018935652,0.20166548896426872,rf,0.5684245705839173,0.5684245705839173,rf,0.0,0.0,0.02344081240854412,0.03098652122003054
R6,R6,g0_R2_to_R6,1,R2,0.6851023738019887,0.2831573371181265,0.2810810810810811,0.2810810810810811,0.2810810810810811,soft_voting_equal,0.2810810810810811,0.0860502526586395,0.13076959734287436,rf,0.2831573371181265,0.2831573371181265,rf,0.0,0.0,0.002076256037045421,0.002076256037045421
R7,R7,g0_R2_to_R7,1,R2,0.05947385720933035,0.28036253776435044,0.28036253776435044,0.28036253776435044,0.28036253776435044,soft_voting_calibrated,0.28036253776435044,0.16073106187609176,0.17406054962014167,stacking,0.28036253776435044,0.28036253776435044,stacking|soft_voting|rf,0.0,0.0,0.0,0.0
R2,R2,g0_R3_R4_R5_to_R2,3,R3|R4|R5,0.11262664810794865,0.8262527671183302,0.7321605397577721,0.828469855820954,0.8333122602847883,soft_voting_equal,0.828469855820954,0.13759225024093813,0.2137835001398824,stacking,0.7321605397577721,0.828469855820954,soft_voting,0.09630931606318194,0.002217088702623826,0.09630931606318194,0.0
R6,R6,g0_R3_R4_R5_to_R6,3,R3|R4|R5,0.3090310503252557,0.7556775592504165,0.6261093329773271,0.7168314967579097,0.7421596396855135,soft_voting_equal,0.7168314967579097,0.0860502526586395,0.13076959734287436,rf,0.7556775592504165,0.7556775592504165,rf,0.0,0.0,0.1295682262730894,0.03884606249250677
R7,R7,g0_R3_R4_R5_to_R7,3,R3|R4|R5,0.22713514219403452,0.8048099592689717,0.6689966327340112,0.7468892680284487,0.777861512799569,soft_voting_calibrated,0.777861512799569,0.16073106187609176,0.17406054962014167,rf,0.8048099592689717,0.8048099592689717,rf,0.0,0.0,0.13581332653496048,0.026948446469402643
R2,R2,g0_R3_R4_R6_to_R2,3,R3|R4|R6,0.228058133144759,0.8501474198023358,0.8309346252097537,0.8106540265609088,0.8387629014540782,soft_voting_equal,0.8106540265609088,0.13759225024093813,0.2137835001398824,rf,0.8501474198023358,0.8501474198023358,rf,0.0,0.0,0.019212794592582072,0.03949339324142698
R5,R5,g0_R3_R4_R6_to_R5,3,R3|R4|R6,0.4173172846479232,0.6402894352401071,0.7101675125497902,0.6279570409842659,0.6422539953389615,soft_voting_equal,0.6279570409842659,0.1041932018935652,0.20166548896426872,rf,0.6402894352401071,0.7101675125497902,stacking,0.0698780773096831,0.0698780773096831,0.0,0.0822104715655243
R7,R7,g0_R3_R4_R6_to_R7,3,R3|R4|R6,0.2423752801491482,0.8388432623012895,0.7545024798067955,0.8716913038965888,0.8718283234392971,soft_voting_calibrated,0.8718283234392971,0.16073106187609176,0.17406054962014167,rf,0.8388432623012895,0.8718283234392971,soft_voting,0.03298506113800759,0.03298506113800759,0.11732584363250154,0.0
R2,R2,g0_R3_R4_R7_to_R2,3,R3|R4|R7,0.24027749817413288,0.8502409166824106,0.8323739147396736,0.816252965908216,0.8405534716025278,soft_voting_equal,0.816252965908216,0.13759225024093813,0.2137835001398824,rf,0.8502409166824106,0.8502409166824106,rf,0.0,0.0,0.01786700194273705,0.033987950774194586
R5,R5,g0_R3_R4_R7_to_R5,3,R3|R4|R7,0.4619419378562319,0.6368564312541782,0.6953910163329167,0.6311740404119581,0.6309424867051195,soft_voting_equal,0.6311740404119581,0.1041932018935652,0.20166548896426872,rf,0.6368564312541782,0.6953910163329167,stacking,0.05853458507873843,0.05853458507873843,0.0,0.06421697592095854
R6,R6,g0_R3_R4_R7_to_R6,3,R3|R4|R7,0.18986753123878441,0.7758726574941364,0.7184704610156529,0.8011079600087893,0.8062839505867896,soft_voting_equal,0.8011079600087893,0.0860502526586395,0.13076959734287436,rf,0.7758726574941364,0.8011079600087893,soft_voting,0.02523530251465289,0.02523530251465289,0.08263749899313633,0.0
R2,R2,g0_R3_R4_to_R2,2,R3|R4,0.26164556948202816,0.8097991283932819,0.6370202122940894,0.7885377539437706,0.797404750664821,soft_voting_equal,0.7885377539437706,0.13759225024093813,0.2137835001398824,rf,0.8097991283932819,0.8097991283932819,rf,0.0,0.0,0.1727789160991925,0.021261374449511372
R5,R5,g0_R3_R4_to_R5,2,R3|R4,0.4853357896278534,0.625551852021447,0.5930813605651208,0.6307370148799629,0.6243585270700425,soft_voting_equal,0.6307370148799629,0.1041932018935652,0.20166548896426872,rf,0.625551852021447,0.6307370148799629,soft_voting,0.00518516285851589,0.00518516285851589,0.03765565431484208,0.0
