task,target_env,n_sources,uds
g0_R2_R3_R4_to_R5,R5,3,0.15648633400732515
g0_R2_R3_R4_to_R6,R6,3,0.2314823840193476
g0_R2_R3_R4_to_R7,R7,3,0.14891254657780004
g0_R2_R3_R5_to_R4,R4,3,0.22222838346252718
g0_R2_R3_R5_to_R6,R6,3,0.5009974584869884
g0_R2_R3_R5_to_R7,R7,3,0.3322349091587341
g0_R2_R3_R6_to_R4,R4,3,0.1649757897448584
g0_R2_R3_R6_to_R5,R5,3,0.213313140576077
g0_R2_R3_R6_to_R7,R7,3,0.17400623728470954
g0_R2_R3_R7_to_R4,R4,3,0.17941584691963694
g0_R2_R3_R7_to_R5,R5,3,0.2370770849556297
g0_R2_R3_R7_to_R6,R6,3,0.18975454556955074
g0_R2_R3_to_R4,R4,2,0.3380896406813217
g0_R2_R3_to_R5,R5,2,0.1894851830565625
g0_R2_R3_to_R6,R6,2,0.2773344931772003
g0_R2_R3_to_R7,R7,2,0.754676472227186
g0_R2_R4_R5_to_R3,R3,3,0.22275195048331342
g0_R2_R4_R5_to_R6,R6,3,0.4555873055523852
g0_R2_R4_R5_to_R7,R7,3,0.44309772956007004
g0_R2_R4_R6_to_R3,R3,3,0.256283625866873
g0_R2_R4_R6_to_R5,R5,3,0.49859476671975395
g0_R2_R4_R6_to_R7,R7,3,0.15958349103943412
g0_R2_R4_R7_to_R3,R3,3,0.2643737584371249
g0_R2_R4_R7_to_R5,R5,3,0.47974703473291824
g0_R2_R4_R7_to_R6,R6,3,0.21887106903321718
g0_R2_R4_to_R3,R3,2,0.4788774783865408
g0_R2_R4_to_R5,R5,2,0.6774901706863817
g0_R2_R4_to_R6,R6,2,0.7950892401978612
g0_R2_R4_to_R7,R7,2,0.6316342095734614
g0_R2_R5_R6_to_R3,R3,3,0.1956000765290019
g0_R2_R5_R6_to_R4,R4,3,0.17196236398406503
g0_R2_R5_R6_to_R7,R7,3,0.13659927982630854
g0_R2_R5_R7_to_R3,R3,3,0.2191169593384038
g0_R2_R5_R7_to_R4,R4,3,0.17591737618878342
g0_R2_R5_R7_to_R6,R6,3,0.2121282358644735
g0_R2_R5_to_R3,R3,2,0.26330702323565747
g0_R2_R5_to_R4,R4,2,0.3551069210094829
g0_R2_R5_to_R6,R6,2,1.0218710762627035
g0_R2_R5_to_R7,R7,2,1.0981472837278525
g0_R2_R6_R7_to_R3,R3,3,0.23638904654752382
g0_R2_R6_R7_to_R4,R4,3,0.25635879349951823
g0_R2_R6_R7_to_R5,R5,3,0.45570049393571876
g0_R2_R6_to_R3,R3,2,0.5310322967722277
g0_R2_R6_to_R4,R4,2,0.5413353630510004
g0_R2_R6_to_R5,R5,2,0.684144133939658
g0_R2_R6_to_R7,R7,2,0.5064576161171852
g0_R2_R7_to_R3,R3,2,0.8707907057245475
