model,task,scenario,cpd_vs_iid_mean,cpd_vs_iid_max
rf,loro_R2_R3_to_R4,OOD_LORO,0.890499774095554,0.9358069270932199
rf,loro_R2_R4_to_R3,OOD_LORO,0.8396605380838675,0.8933110696945264
rf,loro_R3_R4_to_R2,OOD_LORO,0.3488578019738881,0.37212649541846343
rf,position_R2_R3_R4_to_R5,OOD_Position,0.5670299459851921,0.6218118190150733
rf,jitter_R2_R3_R4_to_R6_R7,OOD_Jitter,0.34043166041783474,0.3793747130689351
cnn1d,loro_R2_R3_to_R4,OOD_LORO,0.8525733325481225,0.9031877433700709
cnn1d,loro_R2_R4_to_R3,OOD_LORO,0.6301979766324393,0.6893913202858782
cnn1d,loro_R3_R4_to_R2,OOD_LORO,0.48193758000875514,0.5943871674402806
cnn1d,position_R2_R3_R4_to_R5,OOD_Position,0.6671774555589224,0.7124375076518048
cnn1d,jitter_R2_R3_R4_to_R6_R7,OOD_Jitter,0.5297065642930289,0.6019288518714274
cnn1d_v2,loro_R2_R3_to_R4,OOD_LORO,0.7745315513959744,0.9022536186063791
cnn1d_v2,loro_R2_R4_to_R3,OOD_LORO,0.8734299558265812,0.891423680764263
cnn1d_v2,loro_R3_R4_to_R2,OOD_LORO,0.5494178674041555,0.6777232152383422
cnn1d_v2,position_R2_R3_R4_to_R5,OOD_Position,0.8763923041718978,1.084056996694501
cnn1d_v2,jitter_R2_R3_R4_to_R6_R7,OOD_Jitter,0.5450310085539259,0.6704544049949513
cnn1d_v3,loro_R2_R3_to_R4,OOD_LORO,0.7863665957850209,0.8612837791787294
cnn1d_v3,loro_R2_R4_to_R3,OOD_LORO,0.8807883380589324,0.9295465188670538
cnn1d_v3,loro_R3_R4_to_R2,OOD_LORO,0.5245073204717419,0.5600288494018365
cnn1d_v3,position_R2_R3_R4_to_R5,OOD_Position,1.2653727604430467,1.366704379331396
cnn1d_v3,jitter_R2_R3_R4_to_R6_R7,OOD_Jitter,0.7914000284882753,0.8248245453962264
transformer,loro_R2_R3_to_R4,OOD_LORO,0.8983249651135278,0.9736303296655245
transformer,loro_R2_R4_to_R3,OOD_LORO,0.8445459737601618,0.9276266215825244
transformer,loro_R3_R4_to_R2,OOD_LORO,0.46684193240846455,0.533124381536152
transformer,position_R2_R3_R4_to_R5,OOD_Position,0.8276148857019662,0.9730634876055293
transformer,jitter_R2_R3_R4_to_R6_R7,OOD_Jitter,0.56197193140355,0.6356271695000374
transformer_v2,loro_R2_R3_to_R4,OOD_LORO,0.7860074843917841,0.8556011571217685
transformer_v2,loro_R2_R4_to_R3,OOD_LORO,0.8828836513935373,0.9605831667292482
transformer_v2,loro_R3_R4_to_R2,OOD_LORO,0.4649667020101307,0.5108816447417387
transformer_v2,position_R2_R3_R4_to_R5,OOD_Position,1.303690296071304,1.4156884096566158
transformer_v2,jitter_R2_R3_R4_to_R6_R7,OOD_Jitter,0.6806871660625552,0.7352978120791722
