config,unit,model,macro_f1,n_cols,n_train,n_test
__full__,JOINT,rf,0.8983436381527579,94,4404,1102
__full__,JOINT,xgboost,0.91007095630772,94,4404,1102
__full__,JOINT,lightgbm,0.9073859758902374,94,4404,1102
__full__,JOINT,stacking,0.8706688010992997,94,4404,1102
__full__,g0_R2_R3_to_R4,rf,0.6592117370350504,94,-1,-1
__full__,g0_R2_R3_to_R4,xgboost,0.6618770405744276,94,-1,-1
__full__,g0_R2_R3_to_R4,lightgbm,0.6661799166983895,94,-1,-1
__full__,g0_R2_R3_to_R4,stacking,0.4406293692733776,94,-1,-1
__full__,g0_R2_R4_to_R3,rf,0.6148161314237031,94,-1,-1
__full__,g0_R2_R4_to_R3,xgboost,0.5331577734068969,94,-1,-1
__full__,g0_R2_R4_to_R3,lightgbm,0.552736123006713,94,-1,-1
__full__,g0_R2_R4_to_R3,stacking,0.4907165901894059,94,-1,-1
__full__,g0_R3_R4_to_R2,rf,0.8097991283932819,94,-1,-1
__full__,g0_R3_R4_to_R2,xgboost,0.7752091537055984,94,-1,-1
__full__,g0_R3_R4_to_R2,lightgbm,0.7934265218076193,94,-1,-1
__full__,g0_R3_R4_to_R2,stacking,0.6370202122940894,94,-1,-1
burst,JOINT,rf,0.8961252129270765,87,4404,1102
burst,JOINT,xgboost,0.9038648818376899,87,4404,1102
burst,JOINT,lightgbm,0.9018338507562647,87,4404,1102
burst,JOINT,stacking,0.8775490536398578,87,4404,1102
burst,g0_R2_R3_to_R4,rf,0.6572389673051888,87,-1,-1
burst,g0_R2_R3_to_R4,xgboost,0.6541041264511787,87,-1,-1
burst,g0_R2_R3_to_R4,lightgbm,0.6537856867013524,87,-1,-1
burst,g0_R2_R3_to_R4,stacking,0.45844318331695727,87,-1,-1
burst,g0_R2_R4_to_R3,rf,0.5884873646074491,87,-1,-1
burst,g0_R2_R4_to_R3,xgboost,0.5328233677948946,87,-1,-1
burst,g0_R2_R4_to_R3,lightgbm,0.5574626401455804,87,-1,-1
burst,g0_R2_R4_to_R3,stacking,0.4618216806051194,87,-1,-1
burst,g0_R3_R4_to_R2,rf,0.8054682911498929,87,-1,-1
burst,g0_R3_R4_to_R2,xgboost,0.7652509310269098,87,-1,-1
burst,g0_R3_R4_to_R2,lightgbm,0.7838891923451811,87,-1,-1
burst,g0_R3_R4_to_R2,stacking,0.6262431778470896,87,-1,-1
down,JOINT,rf,0.8923263652585891,88,4404,1102
down,JOINT,xgboost,0.9087845892580863,88,4404,1102
down,JOINT,lightgbm,0.902811612762001,88,4404,1102
down,JOINT,stacking,0.872483665595122,88,4404,1102
down,g0_R2_R3_to_R4,rf,0.6454347509725417,88,-1,-1
