pair,family,rank,sum,G,L,W,ratio,cond3,accept_family_ok,dominance,accepted,pool
Camera|Light_T1,unique,0,0.0015774606766948418,0.0015774606766948418,0.0,2.2642363862734882e-05,inf,True,True,0.031549213533896836,False,94
Camera|Light_T1,singletons,1,0.0013317963213038686,0.0017046405795777542,-0.00037284425827388556,-0.00036529680365293693,4.571990963383837,True,True,,False,94
Camera|Light_T1,subtype,2,0.0010908791961886655,0.0012480404243336851,-0.00015716122814501965,-0.0001194239550403875,7.941147056843198,True,True,,False,94
Camera|Light_T1,up,3,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Light_T1,down,4,-1.3878912621945183e-05,0.00038811013195738653,-0.0004019890445793317,-0.0003793466807164858,0.9654744008348063,False,False,,False,94
Camera|Light_T1,subwin,5,-0.00018991519249533795,3.0189818483683517e-05,-0.00022010501097902146,-0.00021308007244724703,0.13716097761427593,False,False,,False,94
Camera|Light_T1,interarrival,6,-0.0007327795785444513,0.0,-0.0007327795785444513,-0.0006544602225164731,0.0,False,False,,False,94
Camera|Light_T1,len,7,-0.001164744174727561,0.0,-0.001164744174727561,-0.0006849002328661591,0.0,False,False,,False,94
Camera|Light_T1,burst,8,-0.0031425002895248966,7.547454620948635e-06,-0.003150047744145845,-0.0020161573586230386,0.0023959810244067186,False,False,,False,94
Camera|Light_T1,rssi,9,-0.3263257234750877,0.0,-0.3263257234750877,-0.2316484787604829,0.0,False,False,,False,94
Camera|Light_XM,singletons,0,0.013652126913224927,0.014195605174094572,-0.0005434782608696453,-0.0005434782608696453,26.11991352033016,True,True,0.27304253826449854,False,94
Camera|Light_XM,unique,1,0.006321553346205544,0.006321553346205544,0.0,0.00020903010033435088,inf,True,True,,False,94
Camera|Light_XM,down,2,0.004552167390936557,0.005074742641772767,-0.0005225752508362103,-0.0005225752508362103,9.711027519294698,True,True,,False,94
Camera|Light_XM,burst,3,0.002469838994137663,0.002469838994137663,0.0,0.0005939785425251864,inf,True,True,,False,94
Camera|Light_XM,up,4,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Light_XM,subwin,5,-0.0023629638522345564,0.0006756505921223788,-0.003038614444356935,-0.0029062287141450316,0.22235482799640524,False,False,,False,94
Camera|Light_XM,interarrival,6,-0.003909086466058365,0.0016309120202807614,-0.005539998486339126,-0.005539998486339126,0.2943885317482245,False,False,,False,94
Camera|Light_XM,len,7,-0.005427633295548517,0.002299605030342544,-0.0077272383258910615,-0.0077272383258910615,0.2975972699893874,False,False,,False,94
Camera|Light_XM,subtype,8,-0.006412566602434722,0.0,-0.006412566602434722,-0.0033708282288302804,0.0,False,False,,False,94
Camera|Light_XM,rssi,9,-0.479253082869873,0.0,-0.479253082869873,-0.31946567774161805,0.0,False,False,,False,94
Camera|Sensor,down,0,0.000274135250364127,0.0011999217925889871,-0.0009257865422248601,-0.0009257865422248601,1.296110645230727,False,False,0.00548270500728254,False,94
Camera|Sensor,interarrival,1,0.0002696174771885662,0.0009284203156629811,-0.0006588028384744149,-0.0006021375884389668,1.4092536665642144,False,False,,False,94
Camera|Sensor,subwin,2,0.0001289850188662678,0.00033484011384565804,-0.00020585509497939025,-0.00019832837512390178,1.626581619848571,False,False,,False,94
Camera|Sensor,up,3,-1.4693158841727616e-05,0.0,-1.4693158841727616e-05,-7.610002587310483e-06,0.0,False,False,,False,94
Camera|Sensor,subtype,4,-0.00166751481021854,0.00047182016041891206,-0.002139334970637452,-0.001926840283004716,0.22054524742253198,False,False,,False,94
Camera|Sensor,burst,5,-0.0019130827088554847,0.000262076781413767,-0.0021751594902692517,-0.0013698004657320961,0.12048623679605484,False,False,,False,94
Camera|Sensor,unique,6,-0.0024858099227006436,0.0,-0.0024858099227006436,-0.0015981005433541862,0.0,False,False,,False,94
Camera|Sensor,singletons,7,-0.010039885807208604,0.0,-0.010039885807208604,-0.009363239500225773,0.0,False,False,,False,94
Camera|Sensor,len,8,-0.013592503306834147,0.0,-0.013592503306834147,-0.00718049074213456,0.0,False,False,,False,94
Camera|Sensor,rssi,9,-0.12711148743602996,0.0,-0.12711148743602996,-0.06675494269668036,0.0,False,False,,False,94
Camera|Socket,burst,0,0.0,0.0,0.0,0.0,inf,True,False,0.0,False,94
Camera|Socket,down,1,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,interarrival,2,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,len,3,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,rssi,4,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,singletons,5,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,subtype,6,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,subwin,7,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,unique,8,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Camera|Socket,up,9,-0.012266681838313809,0.0,-0.012266681838313809,-0.012259714168302738,0.0,False,False,,False,94
Light_T1|Light_XM,rssi,0,0.9816586858692516,0.9954931701894146,-0.013834484320162987,-0.013834484320162987,71.95737456860167,True,True,19.63317371738503,True,94
Light_T1|Light_XM,singletons,1,0.008740747870671112,0.02464407564185836,-0.015903327771187248,-0.014733472304943429,1.5496175389472324,False,False,,False,94
Light_T1|Light_XM,up,2,0.0,0.0,0.0,0.0,inf,True,False,,False,94
Light_T1|Light_XM,subtype,3,-0.00436386509499781,0.0004830370957396024,-0.004846902190737412,-0.002777217854823183,0.09965893197983282,False,False,,False,94
Light_T1|Light_XM,subwin,4,-0.0055657999668494995,0.005079436959885442,-0.010645236926734941,-0.007689608576526508,0.4771558392588434,False,False,,False,94
Light_T1|Light_XM,interarrival,5,-0.017579431902014442,0.006875731159666554,-0.024455163061680996,-0.012915556152806679,0.28115662702082717,False,False,,False,94
Light_T1|Light_XM,burst,6,-0.03669453154319996,0.0,-0.03669453154319996,-0.02399456501452063,0.0,False,False,,False,94
Light_T1|Light_XM,unique,7,-0.053932965307991826,0.0,-0.053932965307991826,-0.041426833001112356,0.0,False,False,,False,94
Light_T1|Light_XM,down,8,-0.17820681938092242,0.0,-0.17820681938092242,-0.08444384719329284,0.0,False,False,,False,94
Light_T1|Light_XM,len,9,-0.3001978826859739,0.0,-0.3001978826859739,-0.13939095313818148,0.0,False,False,,False,94
