arm,unit,dev30_acc,n_blocks
flat_183,jit_R6,1.0,66.0
flat_183,jit_R7,1.0,66.0
flat_183,pos_R5,0.8733333333333333,60.0
flat_94,jit_R6,1.0,66.0
flat_94,jit_R7,1.0,66.0
flat_94,pos_R5,0.8033333333333333,60.0
flat_drop_rssi_175,jit_R6,1.0,66.0
flat_drop_rssi_175,jit_R7,1.0,66.0
flat_drop_rssi_175,pos_R5,0.95,60.0
flat_drop_rssi_86,jit_R6,1.0,66.0
flat_drop_rssi_86,jit_R7,1.0,66.0
flat_drop_rssi_86,pos_R5,0.9333333333333333,60.0
override_183,jit_R6,1.0,66.0
override_183,jit_R7,1.0,66.0
override_183,pos_R5,0.9166666666666666,60.0
override_94,jit_R6,0.990909090909091,66.0
override_94,jit_R7,1.0,66.0
override_94,pos_R5,0.8566666666666667,60.0
