inner_task,pair,family,auc_base,auc_drop,d_auc,pool
g0_R2_R3_to_R4,Camera|Light_T1,subtype,0.9983561643835617,0.9982367404285213,-0.0001194239550403875,94
g0_R2_R3_to_R4,Camera|Light_T1,len,0.9983561643835617,0.9981102915349491,-0.00024587284861254943,94
g0_R2_R3_to_R4,Camera|Light_T1,singletons,0.9983561643835617,0.9979908675799087,-0.00036529680365293693,94
g0_R2_R3_to_R4,Camera|Light_T1,interarrival,0.9983561643835617,0.9982929399367756,-6.322444678608097e-05,94
g0_R2_R3_to_R4,Camera|Light_T1,subwin,0.9983561643835617,0.9983491394450299,-7.024938531774438e-06,94
g0_R2_R3_to_R4,Camera|Light_T1,rssi,0.9983561643835617,0.9212644889357218,-0.0770916754478399,94
g0_R2_R3_to_R4,Camera|Light_T1,burst,0.9983561643835617,0.9963400070249386,-0.0020161573586230386,94
g0_R2_R3_to_R4,Camera|Light_T1,up,0.9983561643835617,0.9983561643835617,0.0,94
g0_R2_R3_to_R4,Camera|Light_T1,down,0.9983561643835617,0.9979768177028452,-0.0003793466807164858,94
g0_R2_R3_to_R4,Camera|Light_T1,unique,0.9983561643835617,0.9991499824376536,0.0007938180540919548,94
g0_R2_R3_to_R4,Camera|Light_XM,subtype,0.9960214604236344,0.9957497212931995,-0.0002717391304348782,94
g0_R2_R3_to_R4,Camera|Light_XM,len,0.9960214604236344,0.9962792642140468,0.0002578037904124031,94
g0_R2_R3_to_R4,Camera|Light_XM,singletons,0.9960214604236344,0.9954779821627647,-0.0005434782608696453,94
g0_R2_R3_to_R4,Camera|Light_XM,interarrival,0.9960214604236344,0.9967391304347827,0.0007176700111483081,94
g0_R2_R3_to_R4,Camera|Light_XM,subwin,0.9960214604236344,0.9958890746934225,-0.00013238573021190359,94
g0_R2_R3_to_R4,Camera|Light_XM,rssi,0.9960214604236344,0.8874721293199553,-0.10854933110367904,94
g0_R2_R3_to_R4,Camera|Light_XM,burst,0.9960214604236344,0.9966485507246376,0.0006270903010032747,94
g0_R2_R3_to_R4,Camera|Light_XM,up,0.9960214604236344,0.9960214604236344,0.0,94
g0_R2_R3_to_R4,Camera|Light_XM,down,0.9960214604236344,0.9954988851727982,-0.0005225752508362103,94
g0_R2_R3_to_R4,Camera|Light_XM,unique,0.9960214604236344,0.9962304905239687,0.00020903010033435088,94
g0_R2_R3_to_R4,Camera|Sensor,subtype,0.9983921235302451,0.9981796288426124,-0.00021249468763273605,94
g0_R2_R3_to_R4,Camera|Sensor,len,0.9983921235302451,0.9972234027482647,-0.0011687207819803813,94
g0_R2_R3_to_R4,Camera|Sensor,singletons,0.9983921235302451,0.9979742173112338,-0.000417906219011277,94
g0_R2_R3_to_R4,Camera|Sensor,interarrival,0.9983921235302451,0.9983354582802096,-5.666525003544809e-05,94
g0_R2_R3_to_R4,Camera|Sensor,subwin,0.9983921235302451,0.9981937951551212,-0.00019832837512390178,94
g0_R2_R3_to_R4,Camera|Sensor,rssi,0.9983921235302451,0.9464655050290409,-0.05192661850120417,94
g0_R2_R3_to_R4,Camera|Sensor,burst,0.9983921235302451,0.9986542003116589,0.000262076781413767,94
g0_R2_R3_to_R4,Camera|Sensor,up,0.9983921235302451,0.9983850403739907,-7.083156254417133e-06,94
g0_R2_R3_to_R4,Camera|Sensor,down,0.9983921235302451,0.9987321150304577,0.0003399915002125775,94
g0_R2_R3_to_R4,Camera|Sensor,unique,0.9983921235302451,0.9983850403739907,-7.083156254417133e-06,94
