task,n_src,pair,auc_base,auc_drop_rssi,d_auc
g0_R2_R3_to_R4,2,Camera|Light_T1,0.9983561643835617,0.9212644889357218,-0.0770916754478399
g0_R2_R3_to_R4,2,Camera|Light_XM,0.9960214604236344,0.8874721293199553,-0.10854933110367904
g0_R2_R3_to_R4,2,Camera|Sensor,0.9983921235302451,0.9464655050290409,-0.05192661850120417
g0_R2_R3_to_R4,2,Camera|Socket,1.0,1.0,0.0
g0_R2_R3_to_R4,2,Light_T1|Light_XM,0.14393984514592018,0.681946098868374,0.5380062537224538
g0_R2_R3_to_R4,2,Light_T1|Sensor,0.892825247861954,0.89806251419057,0.005237266328615986
g0_R2_R3_to_R4,2,Light_T1|Socket,1.0,1.0,0.0
g0_R2_R3_to_R4,2,Light_XM|Sensor,0.8811779365841941,0.9119475138121547,0.030769577227960587
g0_R2_R3_to_R4,2,Light_XM|Socket,1.0,1.0,0.0
g0_R2_R3_to_R4,2,Sensor|Socket,1.0,1.0,0.0
g0_R2_R4_to_R3,2,Camera|Light_T1,0.9997207441790257,0.9821351749122608,-0.01758556926676491
g0_R2_R4_to_R3,2,Camera|Light_XM,0.9847347514571037,0.9334966774325277,-0.05123807402457592
g0_R2_R4_to_R3,2,Camera|Sensor,0.9932033719704952,0.9847734457323498,-0.008429926238145424
g0_R2_R4_to_R3,2,Camera|Socket,1.0,1.0,0.0
g0_R2_R4_to_R3,2,Light_T1|Light_XM,0.24034132903312502,0.6978282455000858,0.4574869164669608
g0_R2_R4_to_R3,2,Light_T1|Sensor,7.568189386371178e-05,0.9505570187388369,0.9504813368449732
g0_R2_R4_to_R3,2,Light_T1|Socket,1.0,1.0,0.0
g0_R2_R4_to_R3,2,Light_XM|Sensor,0.9021039935674082,0.88745942404479,-0.014644569522618278
g0_R2_R4_to_R3,2,Light_XM|Socket,1.0,1.0,0.0
g0_R2_R4_to_R3,2,Sensor|Socket,0.9999780804302081,0.9999780804302081,0.0
g0_R3_R4_to_R2,2,Camera|Light_T1,0.9966439888589562,0.7649955100984733,-0.2316484787604829
g0_R3_R4_to_R2,2,Camera|Light_XM,0.9820782562627715,0.6626125785211534,-0.31946567774161805
g0_R3_R4_to_R2,2,Camera|Sensor,0.9932575377075628,0.9265025950108824,-0.06675494269668036
g0_R3_R4_to_R2,2,Camera|Socket,1.0,1.0,0.0
g0_R3_R4_to_R2,2,Light_T1|Light_XM,0.7785576814219404,0.7647231971017774,-0.013834484320162987
g0_R3_R4_to_R2,2,Light_T1|Sensor,0.802419385439671,0.9067610743042749,0.10434168886460393
g0_R3_R4_to_R2,2,Light_T1|Socket,1.0,1.0,0.0
g0_R3_R4_to_R2,2,Light_XM|Sensor,0.952835956073814,0.935288124080154,-0.017547831993659946
g0_R3_R4_to_R2,2,Light_XM|Socket,1.0,1.0,0.0
g0_R3_R4_to_R2,2,Sensor|Socket,1.0,1.0,0.0
g0_R2_to_R3,1,Camera|Light_T1,0.9885429638854296,0.9425487754254878,-0.045994188459941854
g0_R2_to_R3,1,Camera|Light_XM,0.9450198611575158,0.7611018301963841,-0.18391803096113168
g0_R2_to_R3,1,Camera|Sensor,0.9283079933764864,0.9635782026192985,0.0352702092428121
g0_R2_to_R3,1,Camera|Socket,0.9997668318274556,1.0,0.0002331681725443735
g0_R2_to_R3,1,Light_T1|Light_XM,0.9806415970495793,0.685532337417038,-0.2951092596325413
g0_R2_to_R3,1,Light_T1|Sensor,0.0038976175339811565,0.9330063875518422,0.9291087700178611
g0_R2_to_R3,1,Light_T1|Socket,1.0,1.0,0.0
g0_R2_to_R3,1,Light_XM|Sensor,0.8129560141755263,0.8399148277197057,0.026958813544179394
g0_R2_to_R3,1,Light_XM|Socket,1.0,1.0,0.0
g0_R2_to_R3,1,Sensor|Socket,0.9997954173486088,0.9999196282440963,0.00012421089548753095
g0_R2_to_R4,1,Camera|Light_T1,0.9928064629434492,0.8861116965226554,-0.10669476642079379
g0_R2_to_R4,1,Camera|Light_XM,0.99811872909699,0.8299818840579711,-0.16813684503901882
g0_R2_to_R4,1,Camera|Sensor,0.9901756622751098,0.9336237427397648,-0.056551919535345
g0_R2_to_R4,1,Camera|Socket,1.0,1.0,0.0
g0_R2_to_R4,1,Light_T1|Light_XM,0.3550625372245384,0.7182251340083383,0.3631625967837999
g0_R2_to_R4,1,Light_T1|Sensor,0.9563006130326195,0.8893513963520776,-0.06694921668054188
g0_R2_to_R4,1,Light_T1|Socket,1.0,1.0,0.0
g0_R2_to_R4,1,Light_XM|Sensor,0.49418988710064854,0.88454089598847,0.3903510088878214
g0_R2_to_R4,1,Light_XM|Socket,1.0,1.0,0.0
g0_R2_to_R4,1,Sensor|Socket,1.0,1.0,0.0
g0_R3_to_R2,1,Camera|Light_T1,0.9878772658782704,0.8377623548392006,-0.15011491103906982
g0_R3_to_R2,1,Camera|Light_XM,0.9111178384923939,0.6320063573753121,-0.27911148111708184
g0_R3_to_R2,1,Camera|Sensor,0.8628144833569243,0.9129339603975465,0.05011947704062214
g0_R3_to_R2,1,Camera|Socket,1.0,1.0,0.0
g0_R3_to_R2,1,Light_T1|Light_XM,0.6818144080908713,0.6468621457413486,-0.034952262349522756
g0_R3_to_R2,1,Light_T1|Sensor,0.011967913545674634,0.9064043894998065,0.8944364759541319
g0_R3_to_R2,1,Light_T1|Socket,1.0,1.0,0.0
g0_R3_to_R2,1,Light_XM|Sensor,0.9805728518057285,0.890795879089777,-0.08977697271595153
