removed_task,removed_test_env,removed_cpd,removed_gain,n,pearson_r,pearson_p,spearman_r,spearman_p,delta_r_vs_full,still_sig_at_0.05
loro_R2_R3_to_R4,R4,0.8358790194733152,-0.0027825391666073,10,-0.9040209542500444,0.00033019101981751815,-0.5757575757575757,0.08155281477260244,-0.2744753111456143,True
jitter_R2_R3_R4_to_R6,R6,0.3561022243080122,-0.0052986819627354,10,-0.6373406525612892,0.04746284749618995,-0.406060606060606,0.24428229408662647,-0.007795009456859181,True
loro_R3_R4_to_R2,R2,0.3169708549269621,-0.019263761556353,10,-0.6346781852358366,0.04869272654620918,-0.406060606060606,0.24428229408662647,-0.00513254213140657,True
jitter_R2_R3_R4_to_R6_R7,R6+R7,0.2814929493331074,-0.0001146589376269,10,-0.6312911226054505,0.05028777452159177,-0.5272727272727272,0.11730806555020232,-0.0017454795010204416,False
joint_R2_R3_R4,R2+R3+R4,0.0,-0.0030168539808874,10,-0.6267986548045329,0.05245648780335098,-0.6363636363636362,0.04791172612997544,0.0027469882998971684,False
jitter_R2_R3_R4_to_R7,R7,0.2184126447521763,-0.0015281429501126,10,-0.6213156693594634,0.055186363225313874,-0.5272727272727272,0.11730806555020232,0.008229973744966701,False
single_round_R4,R4,0.0628161968037337,-0.0019357624813874,10,-0.6163865418995105,0.05771932806173241,-0.5272727272727272,0.11730806555020232,0.013159101204919588,False
single_round_R3,R3,0.12727181821478,-0.0018145707782505,10,-0.6154882981186982,0.05818902970929918,-0.5151515151515151,0.1275528697032343,0.014057344985731857,False
single_round_R2,R2,0.1179391709316958,-0.0016711875365104,10,-0.6149587171263438,0.0584671316341762,-0.5151515151515151,0.1275528697032343,0.014586925978086307,False
position_R2_R3_R4_to_R5,R5,0.5328385658861537,-0.0333930466217915,10,-0.6018658759709565,0.06562363974072428,-0.3939393939393939,0.25999776683488757,0.027679767133473532,False
loro_R2_R4_to_R3,R3,0.8014316033268614,-0.0693338805559902,10,-0.36664154288361506,0.2973676638509214,-0.3939393939393939,0.25999776683488757,0.262904100220815,False
