arm,unit,dev30_acc,n_blocks
flat_drop_rssi,jit_R6,1.0,66.0
flat_drop_rssi,jit_R7,1.0,66.0
flat_drop_rssi,pos_R5,0.9333333333333333,60.0
flat_full94,jit_R6,1.0,66.0
flat_full94,jit_R7,1.0,66.0
flat_full94,pos_R5,0.8033333333333333,60.0
override_anyfam_loose,jit_R6,0.990909090909091,66.0
override_anyfam_loose,jit_R7,1.0,66.0
override_anyfam_loose,pos_R5,0.8699999999999999,60.0
override_gate3,jit_R6,0.990909090909091,66.0
override_gate3,jit_R7,1.0,66.0
override_gate3,pos_R5,0.8566666666666667,60.0
ovo_full94,jit_R6,1.0,66.0
ovo_full94,jit_R7,1.0,66.0
ovo_full94,pos_R5,0.8,60.0
