unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
pos_R5,flat_full94,42,rf,0.7012224296594887,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,0.8166666666666667,60,0
pos_R5,flat_drop_rssi,42,rf,0.6756305912756534,0.5212765957446809,0.4653179190751445,0.7324675324675325,0.6590909090909091,1.0,0.8666666666666667,60,0
pos_R5,override_gate3,42,rf,0.735154847794702,0.8849557522123894,0.3747870528109029,0.7093821510297483,0.7066492829204694,1.0,0.85,60,841
pos_R5,override_anyfam_loose,42,rf,0.734729463661429,0.8875912408759125,0.3758620689655172,0.7161066048667439,0.6940874035989717,1.0,0.8833333333333333,60,1282
pos_R5,ovo_full94,42,rf,0.6649311167983222,0.8108108108108109,0.22182468694096602,0.6752688172043011,0.616751269035533,1.0,0.8,60,0
pos_R5,flat_full94,42,xgboost,0.6603072409777727,0.9226441631504922,0.09540636042402827,0.7036199095022625,0.5798657718120805,1.0,0.7833333333333333,60,0
pos_R5,flat_drop_rssi,42,xgboost,0.7288858292769937,0.6167247386759582,0.5374823196605375,0.7817938420348058,0.7084282460136674,1.0,0.9333333333333333,60,0
pos_R5,override_gate3,42,xgboost,0.7162756401208836,0.9226441631504922,0.2364341085271318,0.7108571428571429,0.7114427860696517,1.0,0.8166666666666667,60,684
pos_R5,override_anyfam_loose,42,xgboost,0.6967705585377117,0.878698224852071,0.2222222222222222,0.6681034482758621,0.714828897338403,1.0,0.8166666666666667,60,1256
pos_R5,ovo_full94,42,xgboost,0.6497255823610173,0.8931750741839762,0.10896309314586995,0.6638566912539515,0.5826330532212886,1.0,0.7833333333333333,60,0
pos_R5,flat_full94,42,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.7833333333333333,60,0
pos_R5,flat_drop_rssi,42,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,override_gate3,42,lightgbm,0.712304284479619,0.8625730994152047,0.27533460803059273,0.7199100112485939,0.7037037037037037,1.0,0.8166666666666667,60,678
pos_R5,override_anyfam_loose,42,lightgbm,0.6923880853621197,0.8174962292609351,0.24854368932038834,0.6810810810810811,0.7148194271481942,1.0,0.7833333333333333,60,1255
pos_R5,ovo_full94,42,lightgbm,0.6389355031605237,0.8826979472140762,0.08290155440414508,0.6617021276595745,0.5673758865248227,1.0,0.7666666666666667,60,0
pos_R5,flat_full94,43,rf,0.696014444295626,0.8849557522123894,0.26981450252951095,0.6825396825396826,0.6427622841965471,1.0,0.8,60,0
