unit,unit_type,config,model,win_macro_f1,dev_N6_macro_f1,dev_N30_macro_f1
inner_to_R2,inner,drop_rssi,lightgbm,0.7695565272276548,0.9193759091061775,0.9833043478260869
inner_to_R2,inner,drop_rssi,rf,0.7289586509441421,0.8671001377630715,0.8965238208391488
inner_to_R2,inner,drop_rssi,stacking,0.7771352802241426,0.9337035347854457,0.9731818789905746
inner_to_R2,inner,drop_rssi,xgboost,0.7691706156098947,0.9190476849358025,0.949096237096237
inner_to_R2,inner,full94,lightgbm,0.7934265218076193,0.9011306042884991,0.909761583445794
inner_to_R2,inner,full94,rf,0.8192242212888716,0.9557583001296649,1.0
inner_to_R2,inner,full94,stacking,0.6385117011511665,0.6876773482674681,0.7018181818181818
inner_to_R2,inner,full94,xgboost,0.7773528179054354,0.8804778827930735,0.8989740505108926
inner_to_R3,inner,drop_rssi,lightgbm,0.8460666794811063,0.9671277027481018,1.0
inner_to_R3,inner,drop_rssi,rf,0.8194177533385245,0.9519518727550981,1.0
inner_to_R3,inner,drop_rssi,stacking,0.8353927946503532,0.9664785146934747,1.0
inner_to_R3,inner,drop_rssi,xgboost,0.8464324995542786,0.973803074487454,1.0
inner_to_R3,inner,full94,lightgbm,0.552736123006713,0.5286423254165189,0.5333333333333333
inner_to_R3,inner,full94,rf,0.6114038012485007,0.602433271778843,0.5629396485867074
inner_to_R3,inner,full94,stacking,0.5056653337640432,0.4814198837915349,0.47834929047560626
inner_to_R3,inner,full94,xgboost,0.5301468747543832,0.5360096039135323,0.5348571428571429
inner_to_R4,inner,drop_rssi,lightgbm,0.7644700953224918,0.915108461685192,0.984
inner_to_R4,inner,drop_rssi,rf,0.7194573895445915,0.8584466677774145,0.9739999999999999
inner_to_R4,inner,drop_rssi,stacking,0.757331417449963,0.9261614755363461,0.984
inner_to_R4,inner,drop_rssi,xgboost,0.7632846393553951,0.9085146381457887,0.984
inner_to_R4,inner,full94,lightgbm,0.6661799166983895,0.7202734515053244,0.7333333333333333
inner_to_R4,inner,full94,rf,0.6630723421127482,0.7110651750293967,0.7333333333333333
inner_to_R4,inner,full94,stacking,0.44494990238397625,0.41023777579010134,0.4
inner_to_R4,inner,full94,xgboost,0.6634275983834395,0.7187159534714336,0.7333333333333333
jit_R6,outer,drop_rssi,lightgbm,0.7434294873428366,0.8998623817343029,1.0
jit_R6,outer,drop_rssi,rf,0.6977173724006802,0.8425802754370594,0.916915273786522
jit_R6,outer,drop_rssi,stacking,0.7473202242400148,0.9106703159543598,0.9907555555555556
jit_R6,outer,drop_rssi,xgboost,0.7400208933527153,0.8907529335282154,0.993837037037037
jit_R6,outer,full94,lightgbm,0.7640759809256255,0.8988112877184232,0.9690476190476189
jit_R6,outer,full94,rf,0.7467817651313197,0.8961475824404881,0.9571811713191023
jit_R6,outer,full94,stacking,0.6980993933878272,0.7963952682732753,0.8689876374499115
jit_R6,outer,full94,xgboost,0.778674728413977,0.9332261006279271,1.0
jit_R7,outer,drop_rssi,lightgbm,0.8358327659297284,0.9848450830713965,1.0
jit_R7,outer,drop_rssi,rf,0.7938302717526963,0.9788169804326626,1.0
jit_R7,outer,drop_rssi,stacking,0.8281367671908084,0.9810680718090342,1.0
jit_R7,outer,drop_rssi,xgboost,0.8349787209678456,0.9812169194782093,1.0
jit_R7,outer,full94,lightgbm,0.8088477748505276,0.9367889416390183,1.0
jit_R7,outer,full94,rf,0.8234670391862856,0.9722637130972938,1.0
jit_R7,outer,full94,stacking,0.7356365452989059,0.8126905553640382,0.8174709269198432
jit_R7,outer,full94,xgboost,0.8169757777043477,0.9557888004131719,1.0
pos_R5,outer,drop_rssi,lightgbm,0.7334187064794107,0.8629451839961465,0.9327184892402283
pos_R5,outer,drop_rssi,rf,0.6770979603633887,0.804314621181998,0.8825818259701318
pos_R5,outer,drop_rssi,stacking,0.7210685216283961,0.8547561332920977,0.929551414768806
pos_R5,outer,drop_rssi,xgboost,0.7316760808927839,0.8473390224620394,0.929551414768806
pos_R5,outer,full94,lightgbm,0.6583908067353137,0.6994959648853432,0.7117241379310345
pos_R5,outer,full94,rf,0.69598800842628,0.7701262625630632,0.7299345099345099
pos_R5,outer,full94,stacking,0.7203388951412203,0.7795944411930444,0.769200454717696
pos_R5,outer,full94,xgboost,0.6579620123985102,0.6952709480570204,0.7109196538228797
