unit,unit_type,config,model,seed,n_cols,win_macro_f1,dev_N6_macro_f1,dev_N6_n_blocks,dev_N30_macro_f1,dev_N30_n_blocks
inner_to_R2,inner,full94,rf,42,94,0.8097991283932819,0.9470675770308123,304.0,1.0,60.0
inner_to_R2,inner,full94,xgboost,42,94,0.7752091537055984,0.8769447572843572,304.0,0.8893772893772894,60.0
inner_to_R2,inner,full94,lightgbm,42,94,0.7934265218076193,0.9011306042884991,304.0,0.909761583445794,60.0
inner_to_R2,inner,full94,stacking,42,94,0.6370202122940894,0.6861489509794173,304.0,0.7,60.0
inner_to_R2,inner,full94,rf::Camera,42,94,0.9464544138929089,,,,
inner_to_R2,inner,full94,rf::Light_T1,42,94,0.6501457725947521,,,,
inner_to_R2,inner,full94,rf::Light_XM,42,94,0.7657894736842106,,,,
inner_to_R2,inner,full94,rf::Sensor,42,94,0.6866059817945384,,,,
inner_to_R2,inner,full94,rf::Socket,42,94,1.0,,,,
inner_to_R2,inner,full94,xgboost::Camera,42,94,0.9466089466089466,,,,
inner_to_R2,inner,full94,xgboost::Light_T1,42,94,0.5154975530179445,,,,
inner_to_R2,inner,full94,xgboost::Light_XM,42,94,0.7480916030534351,,,,
inner_to_R2,inner,full94,xgboost::Sensor,42,94,0.6658476658476659,,,,
inner_to_R2,inner,full94,xgboost::Socket,42,94,1.0,,,,
inner_to_R2,inner,full94,lightgbm::Camera,42,94,0.9572649572649573,,,,
inner_to_R2,inner,full94,lightgbm::Light_T1,42,94,0.5414012738853503,,,,
inner_to_R2,inner,full94,lightgbm::Light_XM,42,94,0.7630208333333334,,,,
inner_to_R2,inner,full94,lightgbm::Sensor,42,94,0.7054455445544554,,,,
inner_to_R2,inner,full94,lightgbm::Socket,42,94,1.0,,,,
inner_to_R2,inner,full94,stacking::Camera,42,94,0.9834254143646409,,,,
inner_to_R2,inner,full94,stacking::Light_T1,42,94,0.43133462282398455,,,,
inner_to_R2,inner,full94,stacking::Light_XM,42,94,0.048879837067209775,,,,
inner_to_R2,inner,full94,stacking::Sensor,42,94,0.7214611872146118,,,,
