unit,unit_type,config,model,seed,macro_f1,n_cols
pos_R5,main,full94,rf,42,0.7012224296594887,94
pos_R5,main,full94,xgboost,42,0.6603072409777727,94
pos_R5,main,full94,lightgbm,42,0.6583908067353137,94
pos_R5,main,full94,stacking,42,0.7180085899308039,94
pos_R5,main,full94,rf::Camera,42,0.8849557522123894,94
pos_R5,main,full94,rf::Light_T1,42,0.2913907284768212,94
pos_R5,main,full94,rf::Light_XM,42,0.681044267877412,94
pos_R5,main,full94,rf::Sensor,42,0.648721399730821,94
pos_R5,main,full94,rf::Socket,42,1.0,94
pos_R5,main,full94,xgboost::Camera,42,0.9226441631504922,94
pos_R5,main,full94,xgboost::Light_T1,42,0.09540636042402827,94
pos_R5,main,full94,xgboost::Light_XM,42,0.7036199095022625,94
pos_R5,main,full94,xgboost::Sensor,42,0.5798657718120805,94
pos_R5,main,full94,xgboost::Socket,42,1.0,94
pos_R5,main,full94,lightgbm::Camera,42,0.8625730994152047,94
pos_R5,main,full94,lightgbm::Light_T1,42,0.14965986394557823,94
pos_R5,main,full94,lightgbm::Light_XM,42,0.7060158910329172,94
pos_R5,main,full94,lightgbm::Sensor,42,0.5737051792828686,94
pos_R5,main,full94,lightgbm::Socket,42,1.0,94
pos_R5,main,full94,stacking::Camera,42,0.9033189033189033,94
pos_R5,main,full94,stacking::Light_T1,42,0.37105751391465674,94
pos_R5,main,full94,stacking::Light_XM,42,0.676923076923077,94
pos_R5,main,full94,stacking::Sensor,42,0.6387434554973822,94
pos_R5,main,full94,stacking::Socket,42,1.0,94
jit_R6,main,full94,rf,42,0.7488747806643499,94
jit_R6,main,full94,xgboost,42,0.7783647964241942,94
jit_R6,main,full94,lightgbm,42,0.7640759809256255,94
jit_R6,main,full94,stacking,42,0.6955971167332627,94
jit_R6,main,full94,rf::Camera,42,0.8159771754636234,94
jit_R6,main,full94,rf::Light_T1,42,0.617169373549884,94
jit_R6,main,full94,rf::Light_XM,42,0.6191780821917808,94
jit_R6,main,full94,rf::Sensor,42,0.6920492721164614,94
jit_R6,main,full94,rf::Socket,42,1.0,94
jit_R6,main,full94,xgboost::Camera,42,0.9024707412223667,94
jit_R6,main,full94,xgboost::Light_T1,42,0.6222791293213829,94
jit_R6,main,full94,xgboost::Light_XM,42,0.6547085201793722,94
jit_R6,main,full94,xgboost::Sensor,42,0.7123655913978495,94
jit_R6,main,full94,xgboost::Socket,42,1.0,94
jit_R6,main,full94,lightgbm::Camera,42,0.9057104913678619,94
jit_R6,main,full94,lightgbm::Light_T1,42,0.5947441217150761,94
jit_R6,main,full94,lightgbm::Light_XM,42,0.640625,94
jit_R6,main,full94,lightgbm::Sensor,42,0.6793002915451894,94
jit_R6,main,full94,lightgbm::Socket,42,1.0,94
jit_R6,main,full94,stacking::Camera,42,0.897196261682243,94
jit_R6,main,full94,stacking::Light_T1,42,0.37997432605905007,94
jit_R6,main,full94,stacking::Light_XM,42,0.5333333333333333,94
jit_R6,main,full94,stacking::Sensor,42,0.6674816625916871,94
jit_R6,main,full94,stacking::Socket,42,1.0,94
jit_R7,main,full94,rf,42,0.8219721259799911,94
jit_R7,main,full94,xgboost,42,0.8154367714214587,94
jit_R7,main,full94,lightgbm,42,0.8088477748505276,94
jit_R7,main,full94,stacking,42,0.7291714113522227,94
jit_R7,main,full94,rf::Camera,42,0.94750656167979,94
jit_R7,main,full94,rf::Light_T1,42,0.6873508353221957,94
jit_R7,main,full94,rf::Light_XM,42,0.7157894736842105,94
jit_R7,main,full94,rf::Sensor,42,0.7592137592137592,94
jit_R7,main,full94,rf::Socket,42,1.0,94
jit_R7,main,full94,xgboost::Camera,42,0.9609375,94
jit_R7,main,full94,xgboost::Light_T1,42,0.6994011976047905,94
jit_R7,main,full94,xgboost::Light_XM,42,0.7005917159763314,94
jit_R7,main,full94,xgboost::Sensor,42,0.7162534435261708,94
jit_R7,main,full94,xgboost::Socket,42,1.0,94
jit_R7,main,full94,lightgbm::Camera,42,0.9703989703989704,94
jit_R7,main,full94,lightgbm::Light_T1,42,0.7016645326504481,94
jit_R7,main,full94,lightgbm::Light_XM,42,0.6986155484558041,94
jit_R7,main,full94,lightgbm::Sensor,42,0.6735598227474151,94
jit_R7,main,full94,lightgbm::Socket,42,1.0,94
jit_R7,main,full94,stacking::Camera,42,0.9664082687338501,94
jit_R7,main,full94,stacking::Light_T1,42,0.36893203883495146,94
jit_R7,main,full94,stacking::Light_XM,42,0.5964125560538116,94
jit_R7,main,full94,stacking::Sensor,42,0.7141041931385006,94
jit_R7,main,full94,stacking::Socket,42,1.0,94
jit_R6_R7,main,full94,rf,42,0.7857564694967087,94
jit_R6_R7,main,full94,xgboost,42,0.797025777793998,94
jit_R6_R7,main,full94,lightgbm,42,0.7867283612645614,94
jit_R6_R7,main,full94,stacking,42,0.7126399057919368,94
jit_R6_R7,main,full94,rf::Camera,42,0.8844839371155161,94
jit_R6_R7,main,full94,rf::Light_T1,42,0.6517647058823529,94
jit_R6_R7,main,full94,rf::Light_XM,42,0.6684563758389261,94
jit_R6_R7,main,full94,rf::Sensor,42,0.7240773286467487,94
jit_R6_R7,main,full94,rf::Socket,42,1.0,94
jit_R6_R7,main,full94,xgboost::Camera,42,0.9316851008458035,94
jit_R6_R7,main,full94,xgboost::Light_T1,42,0.6621287128712872,94
jit_R6_R7,main,full94,xgboost::Light_XM,42,0.6770293609671848,94
jit_R6_R7,main,full94,xgboost::Sensor,42,0.7142857142857143,94
jit_R6_R7,main,full94,xgboost::Socket,42,1.0,94
jit_R6_R7,main,full94,lightgbm::Camera,42,0.938562091503268,94
jit_R6_R7,main,full94,lightgbm::Light_T1,42,0.6502659574468085,94
jit_R6_R7,main,full94,lightgbm::Light_XM,42,0.6683647478349465,94
jit_R6_R7,main,full94,lightgbm::Sensor,42,0.6764490095377843,94
jit_R6_R7,main,full94,lightgbm::Socket,42,1.0,94
jit_R6_R7,main,full94,stacking::Camera,42,0.9323703217334208,94
jit_R6_R7,main,full94,stacking::Light_T1,42,0.37466666666666665,94
jit_R6_R7,main,full94,stacking::Light_XM,42,0.5658198614318707,94
