feature,importance
rssi_min,0.0648645804359823
rssi_std,0.05771764977424365
up_len_mean,0.04412809587546148
rssi_p10,0.04405662922515876
up_len_p50,0.037920114229253996
up_ia_std,0.025274030495602003
len_max,0.023546063148693234
burst_count,0.021831092318417285
up_packet_ratio,0.02059862595689309
rssi_max,0.02018532769730769
len_min,0.01956642429874657
up_ia_mean,0.019318409584401435
rssi_p90,0.01926023325923292
len_p10,0.017699477315514807
null_data_ratio,0.017376711524044134
down_packet_ratio,0.017345978267783932
len_range,0.017143332781632284
subtype_4_ratio,0.016990657059123875
down_len_std,0.01639430479701678
len_p95,0.015608472545086915
rssi_mean,0.015401140657231593
subtype_8_ratio,0.015193772046412628
rssi_p50,0.014533610875329707
down_ia_std,0.01384146260829499
qos_data_ratio,0.013831477969331362
len_p25,0.013199954674794538
len_cv,0.013096517992915144
other_packet_ratio,0.0122815396614454
len_p90,0.012116028632752083
len_up_down_diff,0.011596670272489727
len_std,0.010908064362862945
len_mean,0.010355167321928496
unique_da_count,0.010150719977477095
down_len_mean,0.009987589611837856
down_ia_mean,0.00920777196733276
burst_packet_fraction,0.009154986702064164
interarrival_iqr,0.00914053723865361
interarrival_p75,0.009099210672731258
len_p50,0.008993691950263677
subwin_packet_mean,0.008918661159299094
burst_packet_ratio,0.00891521980609644
subwin_byte_mean,0.008888085455599819
packet_count,0.008880615298714275
retry_ratio,0.008860240143893859
byte_count,0.00863669670375417
subtype_0_ratio,0.008251149262997534
down_len_p50,0.008228056953235098
len_p75,0.008090040803544831
long_gap_ratio,0.007905901274585804
active_subwin_count,0.007855474811750845
interarrival_p90,0.007764091085820558
len_iqr,0.007441617290556835
interarrival_p50,0.007401649131459607
subwin_byte_max,0.007376606177816334
subwin_byte_std,0.007293464293754796
burst_size_mean,0.007243411006966379
unique_sa_count,0.006909386204976275
subwin_packet_max,0.006852325626068609
subwin_packet_std,0.0067225441570179624
interarrival_max,0.006582263081337603
interarrival_p95,0.006539500609669057
subwin_packet_cv,0.006523683904457229
burst_size_std,0.006492973199231738
burst_size_max,0.006372743958667789
interarrival_std,0.006365420730493944
interarrival_cv,0.006332191597447332
interarrival_mean,0.006187974696495739
interarrival_p25,0.00573162044975917
burst_size_min,0.005248155014178413
interarrival_p10,0.005196436280385027
interarrival_min,0.004968671952000489
up_down_ratio,0.004945130763327218
subwin_packet_min,0.0013557053131901043
subwin_byte_min,0.0012155161608758144
data_ratio,0.0006808119347817784
side_packet_ratio,0.0006683087031732272
subtype_5_ratio,0.0006295296669697517
mgmt_ratio,0.0006119995499033939
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_13_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
subtype_10_ratio,0.0
up_len_std,0.0
bssid_known,0.0
