feature,importance
rssi_max,2889
len_max,2608
rssi_min,2491
rssi_std,2460
rssi_p90,2176
rssi_p10,1836
burst_count,1794
down_ia_std,1627
interarrival_max,1624
down_len_std,1526
other_packet_ratio,1430
retry_ratio,1389
len_p25,1315
rssi_mean,1291
len_p10,1172
rssi_p50,1167
subwin_packet_cv,1127
down_packet_ratio,1109
interarrival_p50,1060
len_p90,1055
down_ia_mean,999
interarrival_p75,973
interarrival_p95,949
interarrival_p90,949
long_gap_ratio,939
interarrival_std,938
subtype_8_ratio,889
len_range,886
len_iqr,874
len_p95,842
interarrival_cv,797
len_cv,758
down_len_mean,732
len_p75,715
burst_packet_ratio,709
byte_count,688
interarrival_p25,669
len_std,663
interarrival_iqr,650
burst_size_mean,637
burst_size_std,629
unique_da_count,574
down_len_p50,573
len_min,570
subtype_0_ratio,557
interarrival_mean,554
interarrival_p10,493
len_mean,487
len_p50,466
packet_count,432
subwin_byte_max,407
up_packet_ratio,393
burst_size_max,364
len_up_down_diff,360
interarrival_min,355
unique_sa_count,335
subtype_4_ratio,326
subwin_byte_std,284
subwin_packet_std,283
subwin_packet_max,244
active_subwin_count,236
data_ratio,207
burst_size_min,207
null_data_ratio,167
up_ia_std,122
subwin_packet_min,97
up_down_ratio,74
up_ia_mean,35
up_len_mean,34
subwin_byte_min,27
mgmt_ratio,26
subtype_5_ratio,7
ctrl_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
subtype_7_ratio,0
up_len_std,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_len_p50,0
subwin_packet_mean,0
subwin_byte_mean,0
