feature,importance
len_range,3160
rssi_max,2931
rssi_min,2628
rssi_std,2494
rssi_p90,2343
down_len_std,2011
rssi_p10,1960
burst_count,1808
down_ia_std,1742
interarrival_max,1740
len_p95,1726
interarrival_p75,1624
other_packet_ratio,1620
retry_ratio,1544
rssi_p50,1371
len_p25,1361
subwin_packet_cv,1319
len_p10,1303
interarrival_p50,1261
rssi_mean,1248
down_ia_mean,1186
len_up_down_diff,1186
len_cv,1095
interarrival_p95,1090
len_iqr,1087
down_packet_ratio,1045
interarrival_std,996
interarrival_p90,984
len_p75,932
long_gap_ratio,927
burst_size_std,889
interarrival_p25,878
interarrival_cv,829
subtype_0_ratio,816
down_len_p50,780
len_min,726
burst_packet_ratio,703
subwin_packet_mean,672
null_data_ratio,641
interarrival_mean,610
len_p50,606
burst_size_mean,597
subwin_byte_max,547
subwin_packet_std,534
unique_da_count,491
interarrival_min,428
unique_sa_count,390
up_len_p50,389
active_subwin_count,275
burst_size_min,246
up_ia_mean,199
up_packet_ratio,198
data_ratio,151
subwin_packet_min,67
up_down_ratio,60
subwin_byte_min,35
subtype_5_ratio,30
subtype_14_ratio,0
subtype_12_ratio,0
up_len_std,0
