feature,importance
rssi_max,2964
rssi_min,2435
len_max,2075
rssi_std,2054
rssi_p90,1956
burst_count,1778
rssi_p10,1656
interarrival_max,1509
down_len_std,1434
down_ia_std,1370
other_packet_ratio,1297
rssi_p50,1289
len_p25,1151
retry_ratio,1125
interarrival_p50,1052
rssi_mean,1021
interarrival_p90,1002
len_p90,908
down_packet_ratio,899
len_p10,896
len_iqr,873
interarrival_p75,848
subwin_packet_cv,842
len_cv,835
down_ia_mean,821
subtype_8_ratio,819
interarrival_cv,760
long_gap_ratio,749
interarrival_std,743
len_p95,730
interarrival_p95,702
interarrival_p25,635
burst_packet_ratio,628
len_std,587
len_p75,575
subtype_0_ratio,557
down_len_mean,532
len_range,512
byte_count,512
interarrival_mean,506
burst_size_std,499
len_mean,495
len_min,491
burst_size_mean,491
down_len_p50,468
packet_count,461
up_packet_ratio,459
unique_da_count,455
interarrival_iqr,449
interarrival_p10,374
subwin_byte_max,364
interarrival_min,345
subtype_4_ratio,334
len_p50,333
unique_sa_count,320
len_up_down_diff,315
subwin_packet_std,293
subwin_byte_std,252
burst_size_max,230
active_subwin_count,190
data_ratio,170
burst_size_min,150
subwin_packet_max,145
up_ia_std,128
null_data_ratio,120
subwin_packet_min,84
up_down_ratio,69
subwin_byte_min,35
up_len_mean,27
subtype_5_ratio,22
mgmt_ratio,8
up_ia_mean,6
ctrl_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
subtype_7_ratio,0
up_len_std,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_len_p50,0
subwin_packet_mean,0
subwin_byte_mean,0
